Jim|  You gonna answer that, Kev?
Kevin| Oh, right. Thanks.  Dunder Mifflin, this is Kevin. Please hold while I transfer you.  Oscar, your mom!
Jim| Charles is having Kevin cover the phones for a while. How do I say this diplomatically?  I think Kevin is doing exactly as well as anyone might have expected someone like him to perform in a position like that.
Kevin| Please hold.  Andy! Phone call.
Jim| No.  Stay there. Kev, thought we nailed the whole transfer thing earlier. 
Kevin| Yeah, I wrote it on my hand... but then I washed it.
Jim| It is transfer, extension, and then transfer again.
Kevin| Okay. Andy, get ready.  Transfer. Extension. Transfer.
Jim| Here we go. 
Kevin| Oh, man!	
Andy| It is 1-3-4, Kev! 
Jim| Kev, cmon.
Dwight| Hustle!
Kevin| Hold it.
Andy| You are murdering the Nard-dog!
Kevin|  This is Kevin. Please hold and I will transfer you. 
Angela| Youre bad at this too!
Kevin|  Just... dont answer that call! 
Stanley| Just transfer the damn call.
Kevin| Your call is very important to us. Ple-
Andy| Hey-o! 
Dwight| Way to go.
Andy| My maid died.
Pam| Today is my first day at my new job at Michael Scott Paper Company Incorporated. You know, Apple Computers started in a garage. And were starting in a condo. So we already have a leg up on Apple.  Look, its official! 
Michael| Oh, good. My hookers here.  Hi.
Pam| Michael, you were expecting me, right?
Michael| Yes I was. Yes I was.
Pam| Are you wearing anything under the robe?
Michael| That is inappropriate, Pam. Come on in.
Pam| This looks great, Michael.
Michael| Thank you. Would you like some french toast?
Pam| Yes, please.
Michael| What shape?
Pam| ... Square is fine.
Michael| Alright. 
Charles| Just want to fill you in on a few details. As you know, I will be running the branch while we search for Michaels replacement. So please feel free to come to me with any questions or concerns.  Yeah.
Kelly| Where will you be staying while youre in Scranton?
Charles| Eh, uh, in a hotel.
Angela| Charles, where were you born?
Charles| Actually, I meant questions more about the day-to-day operations of the company. Kay.  Yeah.
Andy| How are operations of the company? Just, day-to day.
Charles| Okay, lets go over non-discretionary cuts. Okay, guys?  Thank you. So, umm...
Jim|  Would you please stop that?
Dwight| What?
Jim| Youre breathing very heavily.
Dwight| This is how I breathe.
Jim| No its not.
Dwight| If you want to tell me -
Charles| Okay, Jim Halpert. I need your eyes up front.
Jim| Oh no. I was just - 
Charles| No. Hey, hey. I just want to hear "yes".
Jim| ... Yes.
Charles| Good. As I was saying...
Dwight| Oh no! The new boss does not find Jim adorable! Ohhhh! 
Pam| So, what do you say we get started?
Michael| After breakfast.
Pam| Im full.
Michael| So how you feeling about the new company?
Pam| I feel good.  Wow.
Michael| You excited? About the new company?
Pam| Yeah. Im excited to start the company.
Michael| After breakfast.
Pam| We did that. So, whats next? Michael, just stop for a second.  Michael. Stop for a second.
Michael| No, Im whipping them.
Pam| No, I know you are.
Michael| Just let go. 
Pam| Just let me have... Oh.
Michael| Let go, please. Just gimmee - 
Pam| Fine!  Oh, Im sorry. Im sorry.
Michael| I cant do this! This is pathetic, isnt it? I am such an idiot. I gave up the only job I ever loved to do this? I have egg in my Crocs.
Phyllis| I never see him drink. I never see him eat.
Stanley| I dont think he even uses the bathroom.
Creed| Oh, he does. He does.
Michael|  I feel weak today. Felt much stronger yesterday. Like Benjamin Button in reverse.
Pam| You know, Michael. When I feel overwhelmed - 
Michael| Im not overwhelmed, Pam.
Pam| I know! No, Im saying that when I feel overwhelmed, something I like to do is make a list. Make a list of things to do and then start with the easy stuff. 
Micheal| Whatever calms you down.
Pam| Okay, first, work out. And, hey! Look! You did that. Check.  Eat an enormous breakfast. Check.
Michael| Dont patronize me, Pam.
Pam| I think you should get dressed.
Michael| Im not getting dressed. Im not getting dressed. I have too many things to do before I get dressed. I need to find a hundred clients.
Pam| Michael, that seems impossible.
