Michael| Its Britney bitch. And I am back, in the form of a new company. The Michael Scott Paper Company.   Okay. Not gonna make this one.
Jim| LOVE the hair.
Pam| Morning Michael!
Michael| Hello! They took away my parking space but they cant take away my pride!
Michael| I would like to invite you all to come away with me, on a journey.  Welcome! To the Michael Scott Paper Company!
Kelly| So. I thought we could take the customer on a... Then. Then we could...
Jim| You realize youre not actually talking to me, right?
Kelly| And...
Charles| Hey Kelly?
Kelly| Yes? Charles, you wanted me?
Charles| Oh, I meant, I meant that Kelly.
Jim| The new receptionist is also named Kelly. So Kelly Kapoor has decided to hover around my desk, so that she can run into his Charles office every time he calls for Kelly. She thinks if she says "You wanted me" enough, he will in fact want her. Its not the worse plan shes ever had.
Charles| Oh, and Kelly...
Kelly| Yes Charles? Yes, you wanted me?
Charles| Okay, Im gonna call you Kapoor, okay? And you, Hannon.
Erin| If were changing names, can I be Erin? Its my middle name.
Charles| Erin. Okay, thats very pretty.
Kelly| Well you know what my middle name is? Rajani Ghana! And I hate it! I hate it!
Kevin| I thought Rajini Ghanda was a boys name?
Michael| We are in the heart of it.  And the surge of water carries our business out to the sea.
Pam| What should we do now?
Michael| We wait, and hope that people show up to the pancake luncheon.
Michael| I dont know I think weve done absolutely everything you can do to prepare for the day. Ive updated our contacts, I have gotten quotes from suppliers. I have sent out an E-vite for our big grand opening pancake luncheon. Six yeses, one maybe, only eleven noes. Um, and 788 not yet replieds. But of that group, 782 have viewed it.
Michael| I am going to need 800 of these, on nice bright paper. It is a coupon for unparalleled customer service.
Pam| I make that one copy, and I become the girl who makes copies, and by the end of the day Im receptionist again. And the worst part is, I like making copies. The paper comes out all warm and stuff. And its cold in there. Cause its technically a closet.
Andy| What do you think?
Dwight| Let me check.  Oh nope! Clearly a hunter. Who knows how to throw an outfit together.
Andy| Thank you!
Dwight| Yes, I am taking Andy hunting after work. Not long ago we were sexual competitors. I used to hate him, hate him, hate him, hate him. I studied him, to figure out why I hated him so much.  But that blossomed into a very real friendship, as these things often do.
Ryan| You should come into town this weekend man. Yeah, well hang out Scranton style.
Michael| Hey you said you were gonna be out of town this weekend.
Ryan| Please dont listen to my phone calls.  Yeah, shes like um, shed probably be a Six in New York, but shes like a Seven here in Scranton. And then uh, my boss is my old boss from Dunder Mifflin. Its a small space.
Charles| Hey Jim can I get a, um-
Jim| Hi!
Charles| Hi. I need a rundown of your clients, can you get that to me.
Jim| Sure!
Charles| Yeah.
Jim| Okay.
Jim| What the hells a rundown?
Jim| When did you need that rundown by?
Charles| As soon as possible.
Jim| Okay.
Charles| Just get it right.
Jim| Yeah. Gotcha. Of course. Im gonna dive in. To the rundown. Ill be exhausted cause its like a triathlon.  Do you want to close this? Close, or keep it?
Erin| Oh.
Dwight| You know theres a ghost in this office
Erin| Really?
Dwight| A woman was murdered on this very floor in 1816. Haddie McGonagle. She was a prostitute.
Erin| Why was she in this building?
Dwight|  Oh, this whole place used to be a brothel. There was a tavern on the ground floor.
Erin| Thats crazy.
Dwight| Yeah isnt it? She was bludgeoned to death by the business end of a riding crop.
Erin| Oh my god!
Dwight| It was gruesome. They say she walks these hallways. If you ever feel a tapping on your shoulder?
Erin| Hmm.
Dwight| That could be Haddie. Begging for her life. And it could mean, that youre next.
Erin| Oh!
Dwight| Just kidding. You finding everything okay?
Erin| Yeah.
Dwight| Yeah?
Erin| Just got some ice.
Dwight| Erin  Erin...
Andy| Oh, this is awkward.
Erin| Oops!
Andy| Uh oh! Oh! Oh!
Erin| So Ill see you guys around!
Dwight| Hey buddy.
Michael| Hey Ryan?  Could you get to that copy from before?
Ryan| Pams better at that stuff
Pam| That is so insulting.
Ryan| How is it insulting to say that youre good at something?
Pam| Because the thing youre saying Im good at, is pushing a big green button a bunch of times.
Ryan| Im not judging it, its like ... I could run GM but I couldnt fix a car. Its not  saying one is better than the other.
Pam| Seriously? Because it sounds like one of those is better than the other.
Ryan| What the hell?
Michael| Listen. Listen listen listen listen listen listen. I need someone to make a copy of this. Because I dont make copies, Im the boss. Got it? I make originals.
Ryan| Yeah I make originals too.
Pam| Shut up!
Michael| Stop it stop it! Bickering! Stop it!
Pam| Really!
Ryan| Yeah!
Toby| Not much? Whats up with you?  Nah its okay. Im in the bathroom. Hey you been watching Damages this year? Its so good. No, you gotta tune in, its as good as anything on HBO.  Hey does blue go with tan?
Michael| Would someone just make the copy?
Toby| I have like, like a blue shirt? I dont wear a lot of colors, I have a lot of tan. Uh huh.
Michael| Just make that copy okay?
Pam| Seriously? This is whats so important, putting naked pictures on the desktop?
Ryan| Thats me and my friend Jonathan from Thailand.
Pam| I dont want to look at your friend Jasmines boobs all day.
Ryan| You could be hot too if you made any effort. At all.
Pam| Like how? Dyeing my hair blond?
Ryan| This is from the sun.
Pam| Oh yeah I bet.
Michael| Theyre getting on my nerves Mom. Both of them. R thinks hes too good to be here, and P is not as much fun without Jim.
Pam| Michael, we can hear you.
Michael| Im on the phone, please. Mom, Im gonna have to call you back. Ps being a giant B.
Pam| Okay its my turn.
Ryan| No dont take that, give that back!
Pam| Give it back for what? Whatre you gonna do with it?
Ryan| Im gonna make a spreadsheet.
