Michael| Hup!
Pam| Things are a little slow here. And theres only so much cold-calling you can do in a day. Turns out theres no limit to the number of cheese puffs you can throw at someones face.
Michael| Hup!
Pam| Were getting pretty good at it.
Jim| Andy put down a bunch of deposits on stuff for his wedding with Angela, but then she was sleeping with Dwight for... several years. Wait, no, that cant be right.
Pam| The timelines messy.
Jim| Anyway, now we are going bargain hunting in the haunted graveyard of their love.
Andy| This is my solo.
Pam| Im confused. Am I walking down the aisle to You Can Call Me Al?
Andy| Trust me. You will not be walking. You will be boogie-ing.
Jim| I am extremely interested. So, how much will all of this cost?
Andy| Well, 12 guys, airfare, three nights in a hotel, food per diem, table up front for merch... $9,000.
Pam| I dont know. It seems like a lot for an a cappella group from a college we never went to.
Andy| Did you even hear the music I just played for you?
Pam| Mm-hmm.
Phyllis| Whats wrong with you?
Dwight| These sleeves are cutting off my circulation. Not enough blood getting to my hands.
Phyllis| I think you look nice.
Dwight| Doesnt Charles know hes compromising my attack readiness? Its not a dress code. Its a death sentence.
Charles| Looking good.
Dwight| Kay, thank you. Its a straight jacket!  Okay.
Dwight| When Michael was in charge, this place was like the Roman Empire. And the Wild West. And war-torn Poland. And Poland. There was just a lot going on, so what you wore to work was the least of anybodys worries. And in that chaos, I soared.
Michael| Hey.
Dwight| Hey. Eds Tires is thinking of making a change.
Michael|  Is this good?
Dwight| They have some great kitchen ideas.
Michael| Oh. Okay. Eds Tires, huh?
Dwight| Its small, I know.
Michael| I really appreciate it.
Dwight| Thanks, Michael.  Wait, what is this?
Michael| Its for your trouble.
Dwight| Wh-  I dont need $6 to help a friend.
Michael| No, no, listen, as a friend, I want you to have this.
Dwight| Michael, you know I cant take this.
Michael| Yes, I do.
Dwight| But dont forget you owe me $10.
Michael| That was four years ago. Why dont you let it go?
Dwight| Michael.
Andy| What was up with Pam being all pushy and negative in there?
Jim| I think she just didnt want a crucifix cake.
Andy| It scares me to see you going down a road that I went down.
Jim| Am I going down a road?
Andy| When I see her bossing you around like that, it just makes me wonder if this thing really has the legs to go the distance.
Jim| Its so scary how right the things youre saying are. And youre coming at it with almost no knowledge, so of course I trust your opinion on this.
Andy| I know a few things about love.  Horrible, terrible, awful, awful things.
Jim| I was going to use today to purge my inbox, but now something much more pressing has come up.
Michael| Eds Tires. Why dont you tell them that we have fewer clients, so we can spend more time with each of them. Also, try to discuss it over Indian food, and try to mention how you distrust women.
Pam| Im not gonna do that.
Michael| That is smart. That would not seem genuine. Ryan?
Ryan| I can get there.
Michael| Good, you take the lead on this one. Also, do not forget that he has just gone through a messy divorce.
Ryan| Oh, awesome.
Michael| Bring it in. Morning cheer.
Michael, Pam &amp; Ryan| U-G-L-Y, you aint got no alibi! You ugly, huh huh, you ugly! You mama says you ugly! Hey! Go Michael Scott Paper Company!
Pam| Im here. Im a part of this now.
Dwight| You needed to speak to me?
Charles| Dwight, take a seat.
Dwight| I prefer to stand. Less blood clots.
Charles| Nah, thats weird. Youre gonna sit.  Great. You know, Dwight, it has been quite a transition for all of us. Are you happy with the way things have been runnin lately?
Dwight| Do you mean compared to the ways things ran with other bosses? Comparisons are hard.
Charles| Ive just been impressed with your performance and I wanted to make sure good work doesnt go unnoticed.
Dwight| Your concern is noted.
Charles| Yeah, I like your work ethic. Youre so... focused.
Dwight| Like a wolf. Thank you.
Charles| And I wanna start givin you more responsibility. What do you say you and I go out for a drink this week?
Dwight| Really?
Charles| Definitely.
Dwight|  Its firm.
Michael|  I need you to get me the prices that youre charging Eds tires so I can undercut Dunder Mifflin.
Dwight| I dont know that I can do that now. You know, uh, somethings come up.
Michael| Oh n- Is it Mose? Did you put the cover on that well?
Dwight| No, Mose is fine. I roped it off. Its not about Mose. Listen, things are changing here, Michael, theyre changing fast.
Michael| Im not following you.
Dwight| Imagine... Someone has a personal hero they really wanna help. But then theres this new guy. Very cool, very Will Smith-esque, who would not like it if he helped his hero.
Michael| Personal hero, cool new guy. Okay, I think Im getting your drift.
Dwight| Good, do you see what Im saying?
Michael| Crystal clear. So is this for a movie that youre writing?
Dwight| No.
Michael| Can I use it?
Dwight| No.
Michael|  Dwight, are you talking about us?
Dwight| It is possible that I could be talking about us.
Michael| Someone could say that it is like the situation that we are in now?
Dwight| It is the situation that we are in now.
Michael| So I would say that the old boss has always been good to Dwight, and he was there first, so he has dibs. You respect dibs, dont you?
Dwight| Im not a barbarian.
Michael| Good. Will you meet me in 20 minutes at the spot?
Dwight| I will.
Michael| Dwight?
Dwight| Yes?
Michael| Is the cool new guy Charles?
Dwight| Ive said too much.
Michael| Is it Stanley?
Jim| Hey, Andy. You know Ive been thinkin about what you said-
Andy| Noishe.
Jim|  -I just dont know if I can do it.
Andy| Thats interesting, because I hear what youre saying is that you want to do it, which means you can do it. Believe me, I broke up with Angela, and Im like, the happiest guy ever. I mean, Im so happy. Im so happy. Like, total freedom, you know?
Jim| Its just that Pam gets me through the day, you know? I really rely on her. Im pretty emotionally needy.
Andy| And you know what? I am here for you. Let me be your traveling pants.  Ah, whatd you do that for?
Jim|  You know that I was doin this.
Andy|  Totally.
Jim| Okay.
Michael| Hello, Dwight. Whats with the shirt? Are you alright?
Dwight| Im sorry, Michael
Charles|  Hi, Michael.
Michael| Oh my God! Run! Run! Its a setup. Setup!
Charles| No, Mich-Michael.
Michael| Dwight, run!
Charles| Michael, no, lets be cool, ok?
Michael| You be cool.
Charles| Yes.
Michael| Just-whats going on?
Charles| We need to talk about our two companies, and how we should behave. Dwight tells me youve been pestering him for company info.
Michael| Mm-do... Dwight would not-
Charles| He did.
Dwight| I did, Michael.  I was upset about the shirt sleeves at first, but now Im okay with it.
Charles| Michael, I want you to stop pestering my salesmen, and I want you to leave Dunder Mifflin alone. Do you understand?
Michael| I. Understand. Nothing.
Michael|  Wow.
Pam| Michael, are you alright?
Michael| It was a setup. Dwight told Charles. He told him.
Pam| Tell us what youre talking about.
Ryan| Yeah.
Michael| Its like, a girl says shell make out with you, but then her boyfriend is waiting around the corner with a pee-filled balloon.
Pam| We cant help you if you dont just tell us what happened.
Michael| I got hit in the face with a pee-filled water balloon, Pam, ok? I dont know how they did it. They filled the balloon with pee. A funnel? I dont know. Is that clear enough for you?
Andy| Hey, Jim.
Jim|  I just totally blew a sales call.
Andy| Bro, I do that all the time.
Jim| Yeah, well, with you its different, okay? Cause I just- I just suck. I just- I suck!
Andy| Tuna, be nice to my friend Jim, ok?
Jim| Why? When I look in the mirror, I dont like the face that looks back.
Andy| Well, so what?  Your bodys a ten.
Jim| Forget it.
Andy| Jim.
Jim| I said forget it.
Dwight|  Dwight Schrute.
Michael| Hello, traitor.
Dwight| I think you have the wrong number, Michael.
Michael| I want you to listen to me, friend, and I want you to listen to me good. I am going to come at you, and I am going to come at you hard. I am going to steal all of your clients, and then I am going to kill them in front of you.
Pam| Michael!
Michael| Im just getting hardcore with him.
Ryan| Finally.
Michael| Yes, and hear me, Dwight, when I say I brought you into this world, and I can take you out.  Bill Cosby.
Dwight|  Mr. Schofield, please?
Secretary| Hes in a meeting.
Dwight| Dammit!
Michael|  Is Mr. Schofield there?
Automated phone voice| If youd like to reach an outside line, please dial nine first.
