Michael|  Its 430 in the morning.  Do you know where your kids are?  If you are Ryans parents or Pams parents or my parents, you do.  Theyre gonna be in this van.  With me.  Who am I?  Nothing to fear.  I am just a 44 year old guy with a paper route.  
Michael|  Time to make the donuts.   Come on.  Whoa! No, I promise I wont do it again.  Come on.   De-nied!
Ryan| Weve been making 500 AM deliveries for a couple weeks now.  Ever since Ive gotten clean theres something about fresh morning air that... just really makes me sick.
Michael| Hello! Time to make the donuts!  Oh, Halpert! Whoa! Boner patrol. Arrest that man! Your donuts make me go nuts!   Hey Pam.
Pam| We got the van at a used car lot.  We think it says "Alleluia Church of Scranton." in Korean.  It was either this or an old school bus with an owl living in it.
Pam| You didnt happen to bring any coffee, did you, Michael?
Michael| Milk and sugar.
Pam| Oh, awesome.  Youre a life saver.   Wait, is this just milk and sugar?
Michael| Thats what I said.
Pam| Do you drink this every day?
Michael| Every morning.
Michael| Were, uh, were doing okay.  A couple weeks in and, um, were having fun.  Uh, yep.  We have 20-- of those.
Pam|  Oh, oh, excuse me!  Sorry. Sorry, no.  Its, uh, its a paper company now.  Its not for the church.
Charles| Okay, who covers Bans Pet Grooming?
Jim| Oh, theyre my client.
Charles|  No, they were your client.  They just called and told us theyre switching over to Michael Scott Paper Company.
Dwight|  Shame, Jim.  I expected more.
Charles| In the last month we have lost ten major clients to Michael Scott.
Stanley| What are we supposed to do?  They keep undercutting us on price.
Charles| I dont want to hear excuses.  I want to see improvements.  This is unacceptable.
Andy| Hey, Boss. Uh, Id just like to point out that I have been here less time than these guys.
Charles| Why are you telling me this?
Andy| I just think the bar should be lower for a newbie.  
Charles| Is this something you really want to have said?
Andy| I dont want to have said that.  But I think its important that you know it.  
Charles| I dont know what to do to inspire these people. Okay, maybe its my fault-
Dwight| Its not your fault. Some people just dont want to be inspired.
Charles| I wrote a memo to all departments asking them to find ways to save money but, uh-- 
Angela| Charles, I got your memo. Thank you. I want you to know Im putting my foot down when it comes to expense reports.  Waste not, want not.
Charles| Uh, well said, Angela.
Dwight| Been there, done that.
Michael| You know what we need?  We need some couches in here.
Ryan| Michael, we should really consider getting a delivery guy.
