Kevin|  At least once a year, I like to bring in some of my Kevins Famous Chili.  The trick is to undercook the onions.  Everybody is going to get to know each other in the pot.  Im serious about this stuff.  Im up the night before pressing garlic and dicing whole tomatoes.  I toast my own Ancho chilies.  Its a recipe passed down from Malones for generations.  Its probably the thing I do best.  
Michael| Someone is returning!  He started his own company, and now hes back.  Who could it be? Ill give you a hint.  He is a man.  A man you have missed with all your heart.  A man who has ruined all other men for you.  Who is it?
Ryan|  Who is it?
Pam|  Who is it?
Michael|  Its Michael Scott.   Hold it up.  Conference room, five minutes.  
Michael| Well, I guess the first order of business is to welcome back me, and Pam and Ryan.   And how about casual Friday again, huh?  Reinstituting casual Friday?  You all look great.  What I want to do right now is try something a little different.  Im going to throw it out there, starting with this meeting.  I want you guys to run it.  I want you to say whatever you want,  take it away.  Your meeting.  
Dwight|   Wh--what are you doing?
Michael| If there is something that you would like to say as a group, then by all means, you may say it to me right now.  
Angela| Okay.
Michael| Yes.
Angela| People are dressed inappropriately.  
Michael| Take it up with Toby.  What I want you to do, is I want you to look inward.  And I want you to reflect.  And I want you to say something different.  
Jim|  Can you give us a hint?
Michael| When I needed salespeople for my new paper company,  everyone here turned their back on me.  Am I going to ask them to beg for forgiveness?  No. Am I going to ask for big, crying apology? No.  Am I going to ask them to slit their wrists for me? No.  I just want a tiny, microscopic version of that.
Michael| Oscar, what were you going to say?
Oscar| Nothing.  I didnt say anything.
Michael|  All right.
Erin| Do I still have a job here?
Michael| Not important.  Okay, alright.  Yes. Yes, you have a job.  Frankly, you have a job because Ryan and Pam are starting with us as salesmen.  
Dwight| Wait, what?
Stanley| How is that going to work?
Michael| Its going to work very smoothly, because Pam and Ryan are bringing over a ton of clients from Michael Scott Paper Company and--
Phyllis| You mean the clients you stole from us.  
Dwight| Yeah , arent we getting those clients back?
Michael|  No, you lost those clients.  
Andy| I call foul, sir.
Michael| Okay.
Dwight| You were bought out.  So the company then bought out all of the stolen clients. 
Michael|  Okay, Dwight.  Let me explain something to you.  I set the rules and you follow them.  Blindly. Okay?   And if you have a problem with that then you can talk to our complaint department.  Its a trash can.  
Meredith|  Dont fall in love with me, kid.
Pam|    Boscovs at the Steamtown Mall?  
Phyllis| It sure looked good on the mannequin.  
Pam| Well, you have good taste.
Phyllis| Well, thanks.  I sure wish I had more time to talk to my clients, though.  
Pam| What?
Phyllis| Isnt that what you said to a bunch of my clients when you were stealing them?  That I didnt have enough time for them?
Pam|  Oh, I, um...
Phyllis| Close your mouth, sweetie.  You look like a trout.
Angela| The man is wearing sandals.  I dont need to see Oscars toes at work.  Gross!  I mean he looks like he just got off the boat.  
