Erin|   Dunder Mifflin, this is Erin... Hes not available right now... Uh huh... Yes... Sure, Ill give him the message when he gets up-- gets back.
Jim| Michael had chicken potpie for lunch. Actually, let me rephrase that, Michael had an entire chicken pot pie for lunch, and- let me be more specific. Michael ate an entire family-sized chicken potpie for lunch and then he promptly fell asleep, so were all trying to be very quiet so as to not wake him up before 500 pm. Which, actually, should be in about... ten minutes.
Jim|  Okay, Im gonna go in there and change the computer. Are you sure you can change his watch?
Pam|  I can do it.
Dwight|  What do you need from me?
Dwight| Normally I dont condone leaving early, but I have an appointment with the horse doctor. How that horse became a doctor, I dont know.  No, Im kidding. Hes just a regular doctor who shoots your horse in the head when its leg is broken.
Michael| 
Dwight|  Like clockwork.
Jim|  Three, two, one... 
Michael|  Uh oh. Whats so funny?
Pam| You had to be there.
Michael| Oh yay! Geography joke.  Oh! Wow! Okay. Alright, lets all go home. Come on. See you all tamale.
Michael| See you later!
Dwight| Bye Michael!  Yeah!
Jim|  All right, you ready for this?
Pam| Yeah, we walk around, everyone sees our faces and we leave, right?
Jim| Yeah.
Pam| Okay.
Jim| Wait, should I have left the car running? 
Pam| Oh, dont get us wrong, we like picnics.
Jim| Come on, who doesnt like a picnic?
Pam| Tell them what happened last year.
Jim| I had this huge spider in my baseball mitt.
Pam| No, no, that guy who hit on me.
Jim| Oh, right, some drunk guy hit on Pam last year. Said he was grabbing her for balance.
Pam| Yeah, you dont grab these  for balance.
Jim| Well...
Dwight| Im gonna say 30.
Rolph| Ah, 40. Insect repellent, which we clearly need, reduces the effectiveness of SPF.
Dwight| Good point, but, thought of that already. Combination SPF/repellent.
Rolph| Woah. Homemade?
Dwight| Of course. You think the EPA would ever allow that much DEET? 
Dwight| Rolph is my best friend. We met in a shoe store. I heard him asking for a shoe that could increase his speed and not leave any tracks.
Kevin| Michael, isnt that Holly?
Michael| Were just friends.  Hey, hey, wait a second. Who let you in here, is what I want to know.
Holly| Oh no, I see theyre letting just anybody in here.
Michael| Mmhmm. Yeah, thats right.
Holly| All right.
Michael| All right. Mmhmm.  Hey.
Holly| Hi. You remember AJ, my boyfriend?
Michael| A little bit. Uh, I meet a lot of people.
AJ| Hey Michael.
Michael| Hey.  Arrggh. So would you guys like some lemonade? Or one of you? Or both of you? Either or. The combinations are endless.
Holly| Lemonade sounds great.
Michael| Okay.
AJ| Id love an iced tea, actually.
Michael| You can go to hell.  Im kidding. Um, sure, I will get you the best iced tea in the world.
Michael| I lied to Kevin. Holly and I can never be just friends. I wrote down a list of bullet points why Holly and I should be together, and Im going to find the perfect moment today and I am going to tell her. Number one "Holly, you and I are soup snakes." The-and the reason is... because... in terms of the soup, we like to- that doesnt make any sense. Were soul mates. Holly and I are soul mates.
Charles| Jim. Pam.
Jim| Hey, how are you?
Pam| Hey Charles.
Charles| Nice day, huh?
Jim| Yeah.
Charles| Must be nice to get a rest from all your rest. 
Jim| I dont get it. Hes not even my boss anymore.
Pam| Do you want me to beat him up for you?
Jim| No, I shouldnt have to ask you to do stuff like that. You should just do it.
Dwight| Listen up everyone! Ive gone over this lineup very carefully. We cannot forget the humiliation we suffered last year at the softball game with Jims whole spider-in-the-mitt incident. Right?
Jim| Well, I couldve died, so... I looked it up online afterwards.
Dwight| Erin, back row. Ryan, you move up a row!
Andy| Bro-migo, you think you could put Erin on my row?
Dwight| Why? I dont understand.
Andy| If-
Dwight| Woah, woah, woah. W-w-wait a minute. I get it. You want her to set you up so you can spike it.
Andy| Uh... 
Dwight| Ill tell you what, Im gonna do you one better. Im gonna put you next to Phyllis. She is the best setter on the team.
Andy| Thats...
Dwight| Sly dog.
Andy| ... not what I meant.
Dwight| Come on, folks!
Michael| What is up with you two, Holly?
Holly| Um, not much.
AJ| Were designing a house.
Michael| Cool. For who?
AJ| For us.
Michael| Wow... Im designing a chair. Its part of your pants. You sit down, youre supported.
Holly| I remember your chair pants idea. 
AJ| I like that. Put me down for a pair. Im a size 34 waist.
Michael| All right, fatty. I will do it. You know what, we should actually rehearse.
Holly| Okay, yeah.
AJ| You guys are really gonna do this?
Michael| You bet your fat ass we are.
Michael| Well, in his infinite wisdom, David Wallace has authorized us to put on a little presentation about the history of Dunder Mifflin.
Holly| Yep, the old comedy team is back together again.
Michael| Thats right.
Holly|  Have ya hoyd the news? Extry! Extry! Read all about it!
Michael| Newspapers for sale!
Andy|  Are you blind?! Are you blind?!  Sir, with the glasses, are you literally blind? Im concerned you might be in danger.
Man| These are expensive Ray-Bans, jackass.
Andy| Okay, I was just looking out for you.  Youre doing great, by the way.
Erin| Thanks.
Kevin|  I got it. 
Dwight| Ohh! Oh, Kevin! Come on!
Andy| Are you blind?!
Dwight| I couldve gotten that, idiot!
Andy| Can you see things with your eyeballs?!
Dwight| Its not a sledgehammer! Come on, people! We need to get our heads in the game! Lets focus! Come on, youre better than this! I am better than this! Phyllis, why are you sitting on the ground?!
Phyllis| Weve been out here for a while. I dont need this.
Dwight| 
Dwight|  Oh come- Ryan, come on, man! W-w-wait. Net. Net. Her hands on the net.
Woman| So what?
Dwight| Rule violation. Ball is ours. Give it to me. Our point. Okay. Hey, Pam, how ya doin? Hey, do you know if youre right-handed or left-handed? Or do you even know? What hand do you use to answer the phone?
Pam| Back off, Dwight.  Hyuh!  What?
Pam| Maybe I played a little in junior high... and in high school... maybe a little in college... and went to volleyball camp most summers.
Pam|  Hyuh!  Well, look at that, we win!
Jim| Nice job, Beesly.
Dwight| Yes! We advance to the next round!
Phyllis| Oh, Lord in heaven.
Stanley|  Had to be part of the group. 
Michael| I brought some snacky snacks, in case we get hungry.
Holly| Ooh, yes please.  Mmm. So what do you have planned for us today? Hmm?
Michael|  What?
Holly| Do you have a script for the sketch, or...
Michael| Um, no, I just thought wed wing it. That cool?
Holly| Crystal cool.
Dwight|  Hit it Andy!
Andy| Bump! I bumped it!
Kevin| Set!
Dwight| Dont set it to yourself!
Kevin|  Yeah!
Phyllis| Ow, my ankle!
Dwight| What happened?
Phyllis| I... twisted it.
Dwight| You werent even moving.  Okay, sub!
Angela| I can play.
Rolph| Is there a... Meredith here?
Meredith| Yeah! Man in!
Angela| Rolph, did you not hear me?
Rolph| I dont hear cheaters, tramps, or women who break my friends heart. Lets go!
Michael| We could do a movie... sort of thing.
Holly|  We could do Back to the Future.
Michael| Oh!
Holly| We have to convince Dunder and Mifflin to go back in time... fix their parents. 
Michael| Could we get a Delorean?
