Michael|  Parkour!
Dwight &amp; Andy|
Andy| Parkour!
Dwight|  Extreme! Parkour!
Jim|  This... is Parkour.  Internet sensation of 2004. And it was in one of the Bond films. Its pretty impressive.  The goal is to get from point A to point B as creatively as possible, so technically they are doing Parkour, as long as point A is delusion and point B is the hospital.
Dwight|
Dwight &amp; Andy|  Parkour! Parkour!
Dwight| Andy! Leapfrog!
Andy| Do me! Do me!
Dwight| Yeah!  Parkour! Parkour!
Andy| Ow! Get off! Get off!
Dwight| Okay.
Andy &amp; Michael|  Parkour! Parkour!
Dwight|  Jump over the camera! Jump over the camera!
Michael|  Okay, we all go together or we go one at a time.
Andy| Here it is, here it is... truck, to refrigerators, to dumpster,  360 onto the pallets, backflip gainer to the trash can.
Michael &amp; Dwight|  Yeah! Gainer! Woohoo!
Andy|  Hardcore Parkour!
Michael| Parkoooooour!
Dwight| Lets do it!
Andy|
Michael &amp; Dwight|
Andy|  Parkour! 
Dwight|  Good. Excellent. Thank you.
Female Intern|  There you go. Is there anything else I can do?
Dwight|  Yes. Umm... see those files behind Kevins desk?
Female Intern|  Mm hmm.
Dwight| Go put them all in random order.
Female intern|  Mm-kay.
Dwight| Then come back here for your next assignment concerning their order.
Pam|  This is the last day of our summer interns. Its been nice. We havent had interns for a while, ever since Michaels Monica Lewinsky incident.  He didnt do anything sexual.  He just made far, far too many Monica Lewinsky jokes.  It was just easier for corporate to shut down the program.
Meredith|  Think she did him?
Oscar| I bet theres something there. I was with them in the kitchen yesterday, and they were all too happy to be cleaning the freezer.
Kelly| If they get married before I do, Im going to kill myself.
Michael|  Whos getting married?
Pam| Nobody.
Michael| If somebody doesnt tell me, Im gonna start screaming.
Kelly| Its Eric and Megan.
Michael| Oh! Hey, I hired them! Matchmaker! This place is like Spaniard Fly.
Phyllis| Theyre not getting married. Its just talk.
Michael| Did everybody know about this but me?
Phyllis| Theres nothing to know, its just gossip.
Michael|  Okay... okay.
Pam|  We havent told anyone Im pregnant.
Jim| Well, with her being unmarried... knocked up by some guy, I mean the yakity-yaks in this office would have a field day.
Pam| Yeah, we dont want them at the wedding thinking Jims being marched down the aisle by my dad with a shotgum.
Jim| Wait, theres not gonna be a shotgun?
Pam| Nope.
Jim| No shotgun... cause that changes everything.
Pam| Cant back out now, Halpert.
Jim| What are you gonna do about it? Theres no shotgun, so... free at last, free at last!
Pam| No, keep it up.
Michael|  Youll never guess what I know.
Dwight|  Okay, let me finish this thought.
Michael| Eric likes Megan.
Dwight|  He most definitely does. Hes been asking her out repeatedly for weeks. She finally said yes. They went out on a group date the other night; apparently it went very well.
Michael|  How do you know this?
Dwight|  People tell me things. I guess I have a face you can trust. I think its because of my low cheekbones. And... boom.  Okay, what is it, what cant I guess?
Michael|  I hate, hate, hate being left out. Whether its not being picked for a team, or being picked for a team and showing up and realizing the team doesnt exist. Or that the sport doesnt exist? I shouldve known. Poopball?
Michael|  Man, I know how you feel. Third wheel. I have been the third wheel so many times in my life. My mom told me something once that made me feel a lot better. She said "The third wheel is what makes it a tricycle."
Maurie| What are you talking about?
Michael| Im talking about your group date with Megan and Eric.
Maurie| At Tinks?
Michael| Yes
Maurie| Howd you know about that?
Michael| Well...
Maurie| Did Stanley tell you?
Michael|  Stanley was on your group date?
Maurie| No, Stanley was with his wife. I waved at him, but he didnt wave back.
Michael|  Does anybody else know about this?
Maurie| No.
Michael|
Michael| There he goes. There he goes.
Michael| So, what is the scuttlebutt? Anybody hear anything?
Dwight, Jim &amp; Pam|
Michael| Nothing? Well I got a little somethin somethin. I dont know if I should say...
Pam| Just keep it to yourself then.
Michael| Stanly is having a midlife crisis.
Dwight| Stanleys way past the middle of his life. Especially considering his height to weight ratio.
Michael| Well apparently, he and his wife were out dancing at a club for young people.
Phyllis| Teris out of town, Michael.
Michael| Who?
Phyllis| Teri, Stanleys wife. Shes at an interior decorating expo in Philly. Stanley hates crowds, kids, and music. I think you should check your facts.
Michael|
Michael|  You stupid son of a bitch. You set me up.
Maurie| What are you talking about?
Michael| Stanleys wife is out of town.
Maurie| He was with somebody.
Eric| He was definitely with somebody.
Michael| Oh, was he? Well who, his sister?
Eric|
Michael|  I dont get it!
Eric| If that was his sister, then what they were doing was totally illegal.
Michael| Drugs?
Eric| Making out.
