Michael|    Yeah?
Oscar|   You wanted to see me?
Michael|   Yes, Oscar come on in.  Close the door if you would.  Thank you, thanks so much for talking to me.
Oscar|   Yeah sure.
Michael|   Im going in for a procedure today.
Oscar|   Is everything okay?
Michael|   Yeah, its routine.  Im just a little bit scared.
Oscar|   Im sure everything will be fine.    What do you? Whats the procedure, if you dont mind my asking?
Michael|   It is a colonoscopy.
Oscar|   Okay.
Michael|   In your experience, what should I be expecting in terms of sensation or emotions?  Is there anything I can do to make it more pleasurable for me or for Dr. Shaundry?
Oscar|    Oh my God.
Michael|   My main concern, should I have a safe word?
Oscar|   Yeah.
David Wallace|   So Michael, do you think you can give me a run down on the Buffalo clients by Monday?
Michael|   Abso... you know what? Ill do you one better, Sunday, Sunday night.
David|   Okay, I will look at it Monday.
Michael|   Ho, Hol, hold on big guy, Im gonna put it in the mail Sunday night and youll get it Weds.
David|   Okay, Jim you wanna hit the conference room?
Jim|   Sure.
Pam|   Hey, Good luck.
Michael|   Oh right, this thing. I remember now.    Whats this about?
Jim|   Ah, this is just me and David, if thats okay.
Michael|   Its okay with me but hes gonna want me in there.
David|   No, ah its okay Michael.  We got it.
Michael|   Really?
David|   Yeah.
Michael|   Alright, do you mind if it sit this out?  I have so much work to do, I feel like Im gonna blow my brains out.
David|    Okay.
Michael|   Am I worried that Jim and David are having a meeting without me?  No, because we are the Three Amigos.  And once in awhile one of the Amigos will go off... to the bathroom... while the other two have a secret meeting.
Michael|   Hey let me escort you to your desk.
Pam|   Okay, its just three or four steps but thank you, thank you.
Michael|   You and Jim are close, huh?
Pam|   Yeah, I think the pregnancy really brought us together.
Michael|   Hey, what do you think he and David are talking about? What do you...
Pam|    Ummm, I dont know.
Michael|   Well, you said good luck to Jim as he walked in.
Pam|   Did I?  Doesnt sound like me, not very superstitious.
Michael|   If you are lying to me right now Pam, your baby is gonna come out a liar.  Thats how it works.  They inherit things through the breast milk.
Pam|   Please dont talk about my breast milk.
Michael|   I just dont want you to lie to me.  I dont want you to ever lie to me.  Have I ever lied to you?
Pam|   Yeah.
Michael|   I just dont want you to.
Darryl|   I was rushing to fill an order.  I put the ladder up to grab a box of three hole from the top shelf.  Next thing I know, Im on the ground and the ladders on top of me.
Toby|   And thats how you broke your ankle?
Darryl|   Yes.
Dwight|   Hmmm, interesting.  How did the ladder end up on top of you, if you fell off of it?
Darryl|   This doesnt concern you man, you need to walk away.
Dwight|   Oh really, Im sorry I thought this was a free country.  I didnt know we were in communist Sweden.
Darryl|   If we were living in Sweden, I wouldnt have to worry about this cause wed have universal healthcare.
