Dwight|  Could you please sign my expense report?
Michael| No way, no how. Expense reports are a day-to-day item. That is Jims now. I am exclusively big picture, epic.
Dwight|   Sign this.
Jim| Ah, ah, ah. Wheres the "please"? Were not animals.
Dwight| Sign it.
Jim| No, not without a "please."
Dwight| Idiot.
Dwight|  I have a complaint about Jim.
Michael| That is not big picture.
Dwight| I would like to file a huge, enormous, massive complaint about the tallest guy in our office.
Michael| ... Okay.
Dwight| Jim wont sign my expense report.
Michael| That is not-- okay-- that is day-to-day.
Dwight| No, that is huge.
Michael| Youre trying to trick me.
Dwight| This has to do--
Michael| Get out, get out, get out, get out, get out.
Dwight|  Id like to lodge a complaint.
Jim| Im sorry to hear about that. Who is this about?
Dwight| You!
Jim| Okay. Just want to let you know I take complaints very seriously. So... When did this happen?
Dwight| One minute ago.
Jim| Okay. And how do you feel?
Dwight| Angry.
Jim| All right. Did he hit you?
Dwight| No.
Jim| Did you cry?
Dwight| No.
Jim| Did you feel like crying?
Dwight| No.
Jim| Im just gonna write "held back tears."
Dwight| Wait, stop writing that. That is not true.
Jim| If you stop crying, Ill stop writing it.
Dwight| Im not cr-- uhh!
Dwight| I deserved that promotion, not Jim. Oh, man. Makes me want to put him in a triangle choke hold and force him down to the ground and just keep pressing and pressing. And then flip him over and then put him in a hammer lock! And hes gasping, hes panting! Every last breath! And the crowd is going crazy. And boom! I emerge victorious!  Aha! $18,000 and a chance at the title! Ooh hah! 
Erin|  Dwight, Jim wants you to keep it down.
Michael| Everyone, now would be a good time to freshen up, because Id like everyone to meet in the conference room in five minutes. And I suggest that you bring a snack, because we may be in there for a while.
Jim| Michael... 
Michael| Yes?
Jim| Can I talk to you in my office for a second?
Michael| Mmm, sure, but could I first talk to you in my office?
Stanley| Can I also be a boss?
Oscar| Look, it doesnt take a genius to know that any organization thrives when it has two leaders. Go ahead, name a country that doesnt have two presidents. A boat that sets sail without two captains. Where would Catholicism be without the popes? 
Jim| I have noticed that we--
Michael| Welcome.
Jim| Thank you. Ive noticed weve been having a lot of conference room meetings. 
Michael| Mm-hmm.
Jim| And Im wondEring if perhaps those are a bit, um--
Michael| Disruptive.
Jim| Yes.
Michael| No, I dont think they are. I think the meetings are very important. 
Jim| Okay, maybe we should talk specifics. 
Michael| Lets do.
Jim| Okay. Yesterday, we had a meeting about planets.
Michael| N-- well, to be fair, Jim... James... Jimothy... To be fair, Jimothy, the-- ah, that sounds weird. Are you okay with being called Jim?
Jim| I am.
Michael| Alright. Jim, to be fair, the conversation wasnt about planets... 
Jim| Right.
Michael| At first, we were talking about introducing a line of toilet paper. And what part of the human body does one use toilet paper upon? So you draw a line from there to the other planets, and I think by the end, we all learned a little bit about how small we are.
Jim| Yes, I agree. 
Michael| Because its a big universe, and were all just little, tiny specks of dust. 
Jim| I just think that maybe theyre eating large amounts of the day.
Michael| You know what eats a large amount of the day are naps. You go to sleep, its light out, you wake up, its dark. Thats the whole day. Where did that day go? I have no idea.
Jim| You mean on a weekend?
Michael| Yes.
Jim| How about this? I think our goal should be we dont have meetings unless theyre absolutely essential. 
Michael| Alright. No more meetings this week. 
Jim| Really? You just agreed to that?
Michael| I can be very suprising.
Phyllis| Whats going on?
Pam| I need to fit into my wedding dress. However, Im also pregnant.
Ryan| You know, its a myth that women have to gain more than nine pounds in a pregnancy. Look at these actresses. Some of them lose weight. 
Phyllis| Hey, did you guys register for wedding gifts?
Pam| We did, but mostly because people expect us to. Were also accepting other gifts not on the registry... However much.
Pam| Its awkward asking people for money, but we could really use it. Why doesnt Crate & Barrel let you register for a toaster full of cash? 
Phyllis| Perfect. I hate registries.
Pam| Oh, good.
Phyllis| My cousin makes the most amazing romantic birdhouse mailboxes. I know I shouldnt tell you, but youll still be suprised when you see it. Youre not registered for a birdhouse, are you?
Pam| No, were not.
Phyllis| Good. Good.
Michael| Mm-hmm?  
Jim|  Okay, I thought I saw people missing.
Michael| Yeah, just focus-grouping a product expansion idea to these folks. Got one of each.
Jim| Really? Hey, Stanley, what was the last thing Michael said before I came through the door?
Michael| Stanley, you dont need to answer that.
Jim| Stanley?
Stanley| "If you dont smell this, youre fired."
Jim| Okay, Michael, I thought we agreed to not take up peoples time with meetings like these.
Michael| What do you mean by "these people"?
Jim| Michael, this is a conference room meeting.
Michael| Oh, hey, everybody, I think that Jim has gone insane, because he thinks that my office is a conference room.
Jim| Thats not what I meant.
Michael| Listen, Jim, no offense, but when push comes to shove, what I want is more important that what you want.
Jim| I disagree.
Michael| What do you guys think?  
Jim| Great. Guys, can I just have a moment alone with Michael?
Michael| No, no, no, you dont need to go anywhere. Anything that Jim has to say to me, he can say in front of these types of people. 
Jim| That is not what I said, and, also, I am co-manager, meaning you are not the only manager anymore. I am also I co-manager.
Michael| That is not what Wallace told us. 
Jim| Thats exactly what Wallace told us.
Michael| That is not the way I heard it.
Kelly| I love rivalries-- Michael or Jim, Paris or Nicole, Heidi or L.C. Its so much fun. But I guess if Im really thinking about it and answEring your question honestly, Id have to go with L.C.  Heidis a bad friend, and her skin is terrible. 
Michael| It is one thing, me giving you the co-manager title. It is another thing, you bossing me around. 
Jim| Im not bossing you around. Im trying to do my job, which is sharing your job, so maybe we should just call David Wallace.
Michael| No, no, no. No, we will not call David Wallace.  I will call David Wallace.
Erin| David Wallace is on line two for you guys. 
Michael| Or David Wallace will call us on line two. Why dont we just--
Jim| Hey, David. You got Jim here.
Michael| Hey David, this is Michael, senior co-manager. 
David Wallace| Hey guys, um, Im calling, because, unfortunately, we will not be able to give out cost of living raises this year, and I know people expect it. However, there just is only a small amount of money for each branch, so were leaving it up to the managers to decide how to distribute it. 
Michael| Got it, Dave. Sounds like your classice big-picture decision. 
Jim| Which will clearly affect the day-to-day well-being of our employees. 
David Wallace| Its probably a little of both. 
Michael| Which is it more of? 
David Wallace| Excuse me?
Jim| David, I know that Im very new at this, but I have a very good perspective on how things work. 
David Wallace| Wait, Im sorry. Michael, are you-- are you texting me?
Michael| I thought maybe we could talk after this is over. 
David Wallace| Look, I need you both to take care of this. This is not going to be a problem, is it?
Jim| Nope, not at all. 
Michael| No, it will not be. I am on top of it.
David Wallace| Very good. 
Jim| Alright, thanks alot, David.
Michael| Talk to you later--  Okay, you didnt let me say good-bye.  Alright, I am looking forward to this. 
Jim| You dont have to lie. 
Michael| I hate the fact that we have to do this together. I think we work better separately. When I am irritated and I look at you, I dont see you anymore. 
Jim| Right. 
Michael| All I can see is how big and gross the pores on your nose are.
Jim| Alright. Lets get started.
Creed| Hey, why havent we ever, um... 
Meredith| We have.
Michael| You know, theres no easy way to do this. I say we add 1.5% to their paychecks and dont say anything about it.
Jim| Do you mean, like break-in in the middle of the night and change the numbers on payroll?
Michael| No, we can do it during the day. It doesnt have to be that dramatic, Jim.
Jim| Okay. You know what would help is a pros and cons list for our options. 
Michael| Jim, dont take this the wrong way. Are you gonna take this the wrong way?
Jim| Its hard to tell so far.
Michael| You use your brain too much.
Jim| Im sorry, are you advocating that I use it less?
