Pam| Im sorry. You guys have probably noticed my stomachs a little more sensitive lately. So, if you wouldnt mind wearing a little less perfume... and if your lunch is especially pungent, maybe have it in the break room?
Jim| We would really appreciate it.
Dwight| Pam is constantly throwing up because of the pregnancy. If she eats something the fetus doesnt like she is screwed. Its amazing. A three ounce fetus is calling the shots. Its so bad ass.
Pam| Phyllis, if you could switch to a different soap, just for a month or two? Yours is kind of perfumy.
Phyllis| Now this is getting ridiculous.
Dwight| Oh, gee, Im sorry. I guess I missed the meeting where we all all voted for you to get pregnant. No! I reserve the right to peel my hard-boiled eggs at my desk.
Meredith| All morning I look forward to my afternoon cigars and Im not stopping for anyone.
Pam| I dont think Im asking for too much. I guess its just the end of courtesy in the workplace.
Andy|  Watching people get sick always makes me sick. And... frankly so does talking about it. So... wow...  
Michael|  What do you think? I spent all morning on it.
Jim| It is really special.
Pam| Yeah, but arent you supposed to do that to our... no. Its great.
Michael| Its just a really important day for me.
Jim| Well, congrats.
Michael| Thanks.
Erin| Dunder Mifflin Scranton will be closed today and Friday for a company wedding in Niagara Falls. So, please leave a message and well get back to you as soon as possible. Have a great day.
Jim| Believe it or not, Kevin, fire crackers are in the dont column.
Kevin| So... youre going to provide them, then?
Jim| No. This is a fire cracker free wedding.
Kevin| What the hell?
Dwight| Come on. Youve got to be kidding me.
Pam| Ok. All of these things are important to remember but the most important thing is no one say anything about my pregnancy at the wedding.
Jim| Absolutely. Cause not everyone knows and some people may be offended.
Angela| Decent people everywhere will get offended.
Pam| Well, were thinking of my grandmother who we havent told and is very old-fashioned.
Angela| Well, youre lucky you have a grandmother. Some of us have to be our own grandmothers.
Jim| Thats nice.
Pam| You know, Angela, you dont have to come to the wedding.
Angela| Really, Pam... 
Michael| Yes she does. Yes she does. Were all gonna go and were gonna have a good time. 
Angela| Ow! He pinched me!
Michael| No.
Pam| Next time were all in this room Jim and I will be married.
Dwight| Well see.
Pam| Thank you, Dwight.
Jim| Good-bye.
Pam| See you later. 
Michael| And, hey, dont embarrass me when we go to Niagara.
Andy| What happens in Niagara, stays in Niagara. 
Michael| Dont. Dont. Dont. You stole my joke. Dont steal my joke.
Andy| No... I didnt steal your joke.
Michael| Yes. I said that yesterday.
Dwight| But you can say that about anything.
Michael| Dwight... 
Dwight| What happens in accounting, stays in accounting.
Kevin| Oh yeah.
Michael| No. No. No. Please, please. Dwight, thats my joke.
Dwight| Its easy. Thats what Im saying.
Michael| This is what Im talking about. When we leave here and go up to Niagara Falls we are representing Dunder Mifflin, everyone. This is a very important wedding for the branch. The most important wedding until I get married. So, I want you all on your best behavior or so help me, God. So... I will see you up there in Viagra Falls!
Michael| Pam and Jims wedding will be the single best pick up destination in the history of the universe.
Dwight| I stole the guest list from Jims desk and I search engined every female on both sides of the family.
Michael| Get out of here.
Dwight| Yes.
Michael| Oh, my God, Dwight.
Dwight| For instance, Pams cousin, Jocelyn Webster.
Michael| Theres... a name.
Dwight| Two years ago she was selling a mountain bike.
Michael| Oh. Well, tell me about Jocelyn.
Dwight| Well... she was really into mountain biking but not so much lately.
Micheal| Ok.
Dwight| She had a couple hundred dollars to spend, I mean, if she was able to sell her bike.
Michael| Is that all you have on her?
Dwight| Well, if this is in fact her because it is a very common name.
Michael| Youre an idiot.
Kevin| People dont think of me as one of the sharper dressers in the office... but Im going ot turn that around at this wedding. I thought, how could I take it to the next level? The hair.  Its the hair--  Ok. Ok. Im going.  God.
Andy|  Hey, do one of you guys want to sit up front with me so I have someone to talk to?  Its like a five hour drive-ish, you know.
Kelly| This is so much cooler. We feel like werre in a limo and youre our driver.
Andy| Mmm-hmm. Erin?
Erin| Oh no. That wouldnt be fair to leave Kelly alone in back.
Andy| Not only is Erin really sweet and cute... she smells like my mom.
Pam|  Hey, my aunt told me something neat.
Jim| Yeah?
Pam| She said everything with the wedding goes by so fast we should try to take mental pictures of the high points.
Jim| Oh, wow. Thats cool.
Pam| Yeah.
Jim|  Click. Oh, you blinked. Damn it. Now thats in my brain forever.
Pam| Oh.
Jim| Lousy Picture.
Pam| We should have hired a professional to take our mental pictures.
Michael|  Oh! God! Wow! Oh. I was asleep.
Dwight| What? No way!
Michael| Those glasses are super dark.
Dwight| Oh. God.
Michael| Alright. We need some tunes, I think.
Dwight| You know what? I made you a cd...
Michael| You did?
Dwight| Mmm-hmm.
Michael| That was nice of you.
Dwight| This is to play when you bring a woman back to your hotel room.
Michael| Oh, very thoughtful. A little mix to set the mood. Delightful. Pop that in.
Dwight| Youre gonna like this.  "Hello. This is Dwight Schrute. If you are listening to this you are a lucky woman Michael has seduced. Ah to be in your shoes. Whats next?, youre probably wondering. Dont be scared of youre night in heaven--" 
Michael| Are you serious? You want me to play that for a woman coming to my room?
Dwight| Yeah. Its practical.
Michael| No. No. Thats not how it works.
Jim| Niagara Falls used to be, like, a spiritual experience for people. They stayed in tents and it blew their minds. Its really kitchy now, which is a lot of fun.
Front Desk Clerk| Halpert... 
Jim| And Beesly. Tonight were in two seperate rooms and tomorrow night is the honeymoon suite.
Front Desk Clerk| Great.
Jim| I know. Were pretty excited, too.
Pam| Can we take a look at the suite now?
Front Desk Clerk| Oh, Im sorry. Somebody just checked in.
Pam| Oh... is there another wedding at the hotel this weekend?
Front Desk Clerk| Oh, no. Just an individual. That man over there.
Andy| Hey. I got the room the night before you guys. Ill break in the bed. 
Jim| I dont like that.
Pam| Im gonna need the name and cell phone number of the housekeeper responsible for changing the sheets, please.
Michael| Hello. Reservation for Michael Scott.
Front Desk Clerk| One moment while I check.
Dwight| The proximity to the falls makes everything smell like a basement.
Michael| Mmm-hmm.
Front Desk Clerk| Im sorry, sir, but Im not seeing you in here. When did you make your reservation?
Michael| I dont have a reservation but I want a room in the Halpert-Beesly block of rooms.
Front Desk Clerk| Oh, ok. Unfortunately, sir, the block only applies to the rate. Im afraid were all sold out.
Dwight| Dwight Schrute. I have a reservation. Confirmation number Romeo. Tango. G7745.
Front Desk Clerk| Yes. Schrute.
Dwight| And I had spoken to Teresa about a room with two safes?
Front Desk Clerk| Sure. No problem.
Dwight| Ok.
Front Desk Clerk| Heres your key, Mr. Schrute.
Michael| Dwight. Dwight, Dwight. I need to stay in your room.
Dwight| No way. What if I meet someone?
Michael| Im staying in your--  Come on, Dwight.
Dwight| No. No.
Michael| I would do the same for you.
Dwight| You would?
Michael| Yes.
Dwight| Really?
Michael| Yes... just go--
Dwight| Wait a second. Oh. No, no, no. This must be some kind of mistake. This reservation seems to be under an M. Scott. This must be yours.
Michael| Oh. Thank God.
Dwight| Oh no. Now that I dont have a room, can I stay with you?
Michael| Um... no. And you know what? I would say yes but you cant. And Ill tell you why.
Dwight| Please?
Michael| If I have a woman up there and things are getting amorous, shes going to get turned off if she looks in he bathroom and sees you brushing your teeth with butter and clay.
Dwight| Mmm-hmm.
Michael| Ok.
