Erin| Theyre back!
Kevin| Oooh yeah...  Jim and Pam!
Kelly| How was Puerto Rico? Was it so romantic?
Jim| It was.
Pam| It really was. 
Jim| Really was.
Kelly|  Im so happy for you... 
Jim| Puerto Rico was awesome.
Pam| Oh my gosh. The honeymoon was great. We met this other couple at the resort, Frank and Benny. We hung out with them a lot. 
Jim|  Frank and Beans.  Always makes her laugh.
Pam|  Frank and beans!
Michael| Is there someone there? Who is there? I hear voices, is somebody there?
Dwight| Yeah!
Michael| Is someone there? I cant see you because Im blind.
Dwight| Its Jim and Pam, Michael.
Michael|  It is?
Dwight| Yeah... 
Michael| Theyre back? Oh! Oh! Oh, Pam! 
Jim| Nope.
Michael| And oh, Jim... 
Pam| Hi, Michael.
Michael| Oh, I havent see you since my accident that I had when I fell- I fell into the pool of acid, eyes first. Blind guy.
Michael| Blind-guy McSqueezy. How do I describe it? It is a character Ive been workshopping whose lack of vision gets him into all sorts of trouble. The women in my improve class absolutely hate him. 
Meredith| So whatd you bring us?
Pam| Some candy.
Meredith| What else?
Pam| Thats it. 
Meredith| Oh, cause you spent so much on the wedding. 
Michael| 
Pam| Its good to be home.
Dwight| This conversation has two items on the agenda.
Jim| Do we have a conversation scheduled?
Dwight| Number one, do not leave your things on my desk. Its not some kind of personal pen receptacle for you. I dont care how high they promote you, which brings me to item number two... I never formally congratulated you on your promotion, so Id just like to say...  con-quack-ulations!
Jim| Wow, thats... really thoughtful of you, Dwight, thank you. 
Dwight|  Youre welcome! 
Dwight| I inserted a listening device into the belly of the mallard. Now I can observe Jim, trap Jim, and destroy Jim, just like in the Bavarian fairy tale. Only this time, the mallard skins the toad alive. And of course in this version you lose the whole veiled critique of the Kaiser thing. 
Dwight| Im sorry to have been bugging you all these years. 
Jim| Its a real handsome duck. 
Dwight| Mallard. Okay, Ill get out of your hair. 
Pam| Hey!
Erin| Hi!
Pam| Uh, we brought back some Puerto Rican candy. 
Erin| Coco Leche! Thats my favorite!
Pam| Awesome! Ill leave it up here so everyone can enjoy it. 
Erin| Oh, um, let me just check with Michael first.
Pam|  I think itll be okay.
Erin|  I think it will too, but Ill just check with him, though.
Pam| Great.
Erin| Oops, sorry.  Oops. 
Michael| I have recently taken a lover. 
Jim| Well, thats great. Congratulations. Whos the lucky lady?
Michael| Pams mom.
Jim| What?
Michael| Pams mom, Helene. Remember from your wedding?
Jim| Youre messing with me.
Michael| About what?
Jim| You did not have sex with Pams mom.
Michael| Oh, big time.
Jim| What kind of car does she drive?
Michael| She drives a green camry.
Jim| 
Michael| And the seats go all the way down. All the way down.
Jim| Oh my God.  Oh my God. 
Michael|  What?
Jim| Okay, never tell Pam, and secondly-
Michael| Okay, good, a pact. A pact. Although I may have to break it tonight when Helene and I tell Pam over dinner. You alright?
Jim| Oh my God. 
Toby|  Hey, Jim.
Jim| Not now, Toby, my God!
Toby| Oh, Jesus! 
Michael| Get the hell out of here, idiot.
Toby| What did I do?  
Jim| Okay, as far as dinner tonight, cancel that, and please, for both our sakes, never, ever, ever see her again. 
Michael| I think youre underestimating Pam. I think more than anything, she wants me to be happy.
Jim| No, not more than anything. 
Michael| Okay, I have a good thing with the mom-
Jim| Dont call her "the mom."
Michael| Shes right on my way home from work.
Jim| Then take a different way home, man! 
Michael| I di- alright, Ill take surface streets, its- the last thing in the world I would want to do is upset Pam.
Jim| Okay, so were good.
Michael| Yeah.
Michael| Can you change my dinner reservations from four people to two?
Erin| Sure. Oh, is it okay if I put out some candy that Pam brought back from Puerto Rico?
Michael| Sure. Thanks for asking.
Erin| Pam, were all set.  Yum.
Jim| Frank and beans!
Pam| Frank and beans!  So whatd we decide for Michael, the bottle of rum, or the seashell alarm clock?
Jim| You know what? Can I have the weekend to decide?
Pam| Bottle of rum it is.  Alright, shall we?
Jim| You know what, I am really slammed, trying to catch up on everything here and I know that Michaels slammed too. So, maybe we should do this when things are a little less crazy. 
Pam| Come on, itll take two seconds.
Jim| No, it- 
Michael|  Oh, wow.
Pam| 
Michael| That is amazing. I feel like a real Puerto Rican.
Erin| Michael, youre all set at Botticellis. I changed the reservation to two people.
Michael| Erin, look. 
Erin| Fun!
Michael| Yeah.
Pam| Wow, Botticellis, that sounds like a special occasion. 
Michael| Yeah, no, its nobody.
Pam|  I dont know. I think Michael has a date. 
Michael|  Hmm... no.
Pam|  I think you have a date.
Michael| I dont.
Pam| Come on.
Jim| Uh, I think we should just drop it... cause obviously he doesnt want to talk about it.
Michael|  I dont deserve this, guys.
Jim| Yes, you do.
Michael| No, I dont.
Jim| Just take the parrot.
Michael| 
Jim| Okay, back to the old grind.
Michael| I was probably going to break up with her anyway.
Pam| Oh, thats too bad.
Jim| Dont-
Michael| Pam, it is very complicated. There are a lot of moving parts here. 
Jim| Sounds complicated.
Michael| It is.
Pam| Yeah, but I mean, if you really like this person, then you should see where it goes.
Michael| You want me to be happy?
Pam| Of course.
