Michael| Welcome children of the Scranton Industrial Park Community.
Kids| YAY!
Michael| Join your gangsta pumpkin on his palette truck of doom. Dont worry about a thing. Rest assured you will see me later. Bwah ha ha...   ... ha ha ha.
Jim| We are doing a haunted house this Halloween. Which is actually kinda spooky because, as legend has it, on this very site there used to be a productive paper company.
Michael| I am going to scare these kids so bad.
Darryl| This is the spookiest warehouse in the world, kids. You dont believe me? Just take a look.  Oh. Scary, huh? This is a surgery with an octopus and a burn victim.
Angela| Black widow.
Kelly| Lulu from The Fifth Element.
Darryl| Nobody told me what people were, alright? So...  label yourselves or take what you get.
Creed| I want to sell your blood!
Ryan| Thats really not the trend in vampires right now.
Darryl| Here is an old man and a goth dude... and then the old crone from Drag Me to Hell.
Meredith| Im a hobo.
Darryl| I asked for a list.  ...and a clown.
Dwight| Im Jigsaw, idiot.
Darryl| Youre not as scary as Book Face, over there.
Jim| Yes. I am the popular social networking site known as Book Face.
Darryl| Ok, kids. Youve all been so good and unbelievably patient so I think you are gonna get some candy!
Kids| Yeah! 
Michael| Kids, just remember, suicide is never the answer. Alright?
Michael| Why is Christmas the only holiday that can have a message?
Michael| It is the easy way out. You are not alone.
Darryl| What the hell is wrong with you?
Michael| Who wants candy?
Michael| ...and then I think Im going to go to the Garlic Festival.
Jim| Wow.
Michael| Sounds like fun. You guys would love it.
Jim| I bet we would.
Michael| They have a TCBY booth.
Jim| Cool.
Michael| The same stuff you get downtown.
Jim| Mmm-hmm.
Michael| Do you like TCBY?
Jim| Who doesnt?
Michael| I cant believe its- I cant believe its yogurt. Uh... itll be fun
Erin| I confirmed with Raskin Design and theyre expecting the both of you in an hour.
Jim| Oh. Actually, its just gonna be me.
Erin| They said the both of you.
Jim| That is a mistake.
Michael| You should give them a call. Check that out.
Jim| Alright. Lets clear this up.  Well, theres actually been a few changes in the company and Michael and I are actually at the same level. So, I can- no. Nope. Why would that be a problem?
Michael| Jims a good kid. He can handle a lot but sometimes you have to call in a master. I, uh... why would you date an amateur when you could date a professional?
Jim| Great. See ya then.
Michael| Wha- what?
Jim| They said that they would feel more comfortable if you came along.
Michael| Why dont they just want you to go by yourself? Why do they want me to come, too? I dont understand.
Jim| I absolutely dont understand, either.
Michael| I dont want you to feel like Im baby-sitting you, or something. Alright.
