Dwight| Good morning everybody.  Who would like an authentic New York bagel?  Hmmm?  Stanley?
Stanley| Thank you. 
Dwight| No, no, no, no. I got a pumpernickel just for you. 
Andy| Wow. H & H.  You went all the way to New York City to get us bagels? 
Dwight| Oh, why? Is there a place closer that sells them?
Phyllis|  This is really nice Dwight, thanks.
Andy|  Thanks.
Dwight| Oh, dont mention it.  You owe me one.  You all owe me one.  
Dwight|  Good morning Michael.
Michael| Morning Dwight.
Dwight| Hungry?
Michael| No.  I had a fish stick sandwich.  Actually I had two fish stick sandwiches.  My girlfriend didnt want hers.  Because I guess Im the only aphrodisiac she needs.   
Dwight|  Fish sticks are not an aphrodisiac.   
Michael| Well, yeah... 
Dwight|  Youre thinking of deer penis.
Michael| It worked.
Dwight|  Regardless.  That was over two hours ago and it is now a scientific fact that you are hungry.   Bagel?
Michael|  I dont mind if I do.
Dwight|  K. I brought cheese too.  
Michael| Im taking one for my lady friend.  
Dwight| Excellent.  
Michael| Brain food. Thank you very much.  
Dwight| Okay.  You owe me. 
Dwight| Cant a guy just buy some bagels for his friends so theyll owe him a favor which he can use to get someone fired who stole a co-manager position from him anymore?  Geez.  When did everyone get so cynical?
Dwight| Pam, would you care for a bagel? 
Pam| Oh, no thank you.
Dwight| Thats right.  Youre a woman and you need to refuse food the first time.  Ill try again.  Please Pam, reconsider and have a bagel.
Pam|  I have an early lunch.
Pam|  Michaels been trying to get Jim and me to hang out ever since he started dating my mom.  I dont know.  I really hoped this thing would just die out, but today hes planning a birthday lunch for my mom and we have to go.  No way out.  No way out.
Erin|  These are amazing.  You took all these?
Ryan|  Ive always found beauty in uncommon places.  Homeless people.  Graffiti.  Photography lets me capture all that.  Have you ever been photographed before?
Erin|  Oh just by like friends.  
Ryan|  Well heres what Ive been doing around here.   Its for a series on exposure in the workplace.
Helene|   Whoohoo! Pammy?
Pam| Hey!   Hey. Happy birthday.
Helene| Thank you. 
Michael|  My girls.  There they are. 
Michael|  Birthday lunch.  Birthday lunch-- there is no better medicine than birthday lunch.  Itll cure all of your "Gee I dont know if Michael should be dating my mother" and fixes all occurrences of "I dont really see them together".  So, open wide Pam and take a big old spoonful of birthday lunch medicine.  Take with food.  
Angela|  Pam, arent you going to introduce us to Michaels girlfriend?
Pam|  I think you guys all remember my mom from the wedding.
Michael| Yeah-- 
Kevin| Hi.
Michael|  I think everyone has meet Helene.  Shall we?
Helene| Wait a minute.   Is that another birthday present for me cause you already gave me a necklace.  
Kelly| Oh my God I love it. 
Helene|  Tell her how you gave it to me.  
Michael| No, that wouldnt be-- 
Helene|  He put it around my neck while I was still asleep this morning.  What a nice way to wake up.
Michael|  Yeah. The rest of the story has been censored due to-- inappropriosity.     
Kevin| Because of sex?
Michael| Hey-- 
Pam|  Kevin!
Michael|  Please, Kevin.  Youre fired.    Sorry, sorry.  Work with a bunch of idiots.  Shall we go?
Pam| Yes, lets go. 
Erin| Oh, wait. Um-- Swartz Lumber is on the phone for you Pam and they say its urgent.    
Pam| Oh, you guys.  Just one second.   Oh my gosh!  Are you serious?  Shipping emergency.  I dont think I can go to lunch.
Jim|  Oh man, thats crazy.  Right as we were on our way out too.
Pam|  I know.  Isnt that always how it goes?
Jim|  Rarely.  If ever.  Let me give it a whirl.  Ill talk to them. 
Pam| I want to handle it.
Jim|  Thats okay.  
Pam|  I feel like its-- 
Jim| Its my pleasure.  Hello?  Well thats great.   Turns out the paper was there all along.  
Creed|  Thank God.
Creed|  Somethings up.  That paper was never supposed to arrive.  
Helene|  So, Pammy-- are you still liking sales?
Pam|  Yeah-- its exciting.
Helene|  Well, you know-- Michael and I were-- talking, and maybe if you put a little more face to face time with your clients you could improve your sales.  
Jim|  Pams sales are fine actually.
Michael|  Just want you to succeed Pammy.  You know what, we shouldnt even be talking about business today.
Pam|  Thank you.
Michael|  Today is about family.
Pam|  Why did I get in the car?  I could of struggled.  I have a whistle in my purse I didnt even blow it.  
Andy|  Oh, Dwight.  I have a little surprise for you.
Dwight|  Let me guess-- you ate the bagel I gave you and loved it.
Andy|  Yes!  And I wanted to return the favor.  I was polishing my loafers and I happened to look over and noticed that your brief case was a little worse for the wear, so a little elbow grease and shes polished right up, back up to her former glory.
Dwight| Wow-- 
Andy| Feel it against your cheek.
Dwight|  I will.  
Andy|  You give me a gift-- Bam!  Thank you note.  You invite me somewhere-- Pow! RSVP.  You do me a favor-- Wham!  Favor returned.  Do not test my politeness.  
Dwight|  Let me get that door for you--  
Andy| Whoa-- 
Dwight| There you go!
Andy|  Thank you very much.  Now Ive got it for you. 
Dwight|  Oh... goodness... thanks.  You know, heres a healthy fitness tip.  If you clench your buttocks together while walking you can really take the pressure off your knees.  
Andy|  Is that right?  
Dwight| Observe. 
Andy| Huh.  
Dwight| Right?
Andy|  That really works.  
Dwight| Yeah, feel free to use that.  Anytime.  Okay.  
Andy|  Hey-- oh, hold on a second.  Do not walk around with your jacket cattywampus.  
Dwight|   And that needs to be straight as an arrow. 
Andy| Whoa--  thank you very much.    Oh boy.
Dwight| Thank you very much for that.
Andy|   You are very welcome.  
Dwight|  Have a seat.  Allow me.
Andy|  Have a seat yourself.  
Dwight|  You know what?  I am going to preemptively change the batteries in your wireless mouse.  
Andy|  Not necessary.
Dwight|  No, no, no! 
Andy|  You didnt have to do that.
Dwight|  Andy is complicating things.  But Im not worried.  This will only up my game.  
Michael|  Hello.  Scott.  Table for four.
Hostess|  Welcome Scott family.  Itll be just a moment.  
Pam|  I use to love coming here.  The chicken parm is good.  Big part of my childhood.  Oh, maybe Michael will start dating that too.
Michael|  What table should we take?  So many to choose from.  
Jim| Wow.
Helene|  Oh my God!
Michael| What? All I see are boring old tables with no birthday decorations.  Oh, wait a second!  You mean this one?  Wow!
