Dwight|    Got you!  Broken arm!  Boom Boom Boom!  Broken Nose! Boom Boom Boom Boom!  Broken Nose!  Boom!  Ha, gonna flip you!
Jim|  Once a year Dwight holds a seminar updating us on the newest developments in the world of karate... because as we all know, the one thing thousand year martial arts do all the time is change.
Dwight|  How can I pose this to you in a relatable way?  You are all members of the Yakuza and you happen to be visiting the Lackawanna trolley museum... and you are attacked by triads... how can you hold them off until your clan arrives?  You cannot go wrong with a throat punch 
Jim|  OK, so theres no defense for that, good to know.
Dwight|  No, there is a defense for that.  Let me demonstrate.  Someone attack me.  Kevin, go!
Kevin|  No way.  Last time you pulled my pants down and then you tried to choke me with my shoelace.
Dwight|  False.  I did choke you with your shoelace.  Now come at me!
Jim|  OK, with all due respect to everyone here, I think the most worthy opponent of you is you.
Dwight|  That is correct.  Unless there happened to be measles present.
Jim|  So lets just say that Dwight has come at you with the throat punch.  Now how would you, Dwight, defend against it?
Dwight|  Easy.  Allow me to demonstrate.  I am attacking myself with a throat punch.  Here it comes.   Block.  Grasp wrist as such.  
Jim|  And what if he comes at you with the other hand, because he does have two.
Dwight|  Good point.  Second, throat punch, absorb the blow.   Groin punch, hip block, elbow to the gut.  Uh oh, up to the nose.  No, youre not.  Ow!  Oh!
Jim|  Oh my God, hes making you look like such a fool.
Dwight| He really is, but not for long.    Ow! Instep, oh, not again.   You let go, you let go.  Oh, youre right, I cant hold on.
Jim|  You two are so evenly matched I dont know how one of you is going to get the upper hand.
Dwight|  The important thing to remember Jim... we always have what is called the element of surprise. 
Michael|  But I would say my favorite art form is a tie between sculpting and stand up comedy.
Andy|  I did stand up comedy once.
Michael|  You did?
Andy|  Yeah, I killed.
Michael|  That sounds like it was hilarious.
Andy| It was hilarious.
Dwight|  Michael?
Michael|  Yes?
Dwight|  What is the meaning of this email that everyone got?
Michael|  Youll have to be more specific Dwight, I get like eight emails a day.
Dwight| This one, from David Wallace to all Dunder Mifflin.
Michael|  Woo hoo, shout out!
Dwight|  Hello everyone I am sure you have seen the item in the Journal.  I just want to stress that its all conjecture.  If theres any concrete news you will know ASAP.
Michael|  Erin, do we have the journal?
Erin|  Your feelings journal?  You told me to put it in the time capsule.
Michael|  Did you?
Pam|  Michael, he means the Wall Street Journal online.
Michael| Oh, the Wall.
Oscar|  I found the article.   "On a day marked by panicked corporate board meetings, one that is relatively not surprising is Dunder Mifflins.  It is rumored that they will recommend... " and the article cuts off.
Michael|  Its $1.99 to finish the article.  I wonder what it was going to say? 
Jim|  Are you serious? 
Andy| I got it, I got it... Oh, Tuna beat me to it.
Phyllis|  "It is rumored that they will recommend declaring bankruptcy."
Michael|  No, no, that doesnt make any sense.
Stanley|  Oh lord, were all gonna lose our jobs.
Oscar|  Not necessarily, bankruptcy could mean a lot of things.  Maybe theyre just restructuring to get out of debt.
Michael|  Oh, that sounds awful.
Oscar|  Or it could mean the end of Dunder Mifflin.
Michael|  Oh God.  Well, thats an interesting theory.
Dwight|  You know what?  You can all have jobs at Schrute Farms as human scarecrows.  It doesnt pay much and you cant unionize.
David Wallaces Secretary|  Im sorry, Michael, Davids in a meeting.
Michael|  Ah, well maybe you should spy on him.   Oh my God, wouldnt that be hilarious! 
David Wallaces Secretary|  Um, Ill just have him call you back.
Michael|  OK, OK.  Good.  Ill catch you on the flippity flip.  Bye.   Hes busy, hell call me back when hes free.
Kevin|   Michael, are you OK?  Did you throw up in there?
Michael|  No, Im just poopin.  You know how I be.
Kevin|  It smells like throw up in here.
Michael|  Crazy world.  Lotta smells.
Kelly|    Guys, what if this is our last day at work?  What if we never see each other ever again?  
Andy|  I like Erin. There, I said it.  I was kinda hoping she would ask me out, but things have not panned out on that front, so... it is time for the Nard Dog to take matters into his own paws.
