Andy| You wanted to see me?
Michael| Yeah, Have a seat.
Andy| Is it serious?   Wow.  Andys a wittle scared.
Michael| Okay, right there is the problem.  There have been reports around the office that you have been talking baby talk.
Andy| Why would people say that?
Michael| I have it on good authority that you said the following.   Can you read that back to me?
Andy| Andy have a boo-boo tummy.
Michael| Mmm-hmm.
Andy| Would you rather me say "Hey guys, my irritable bowel syndrome is flaring up?"
Michael| Okay.
Andy| "Crazy diarrhea happening right now?"  Cause things can get real adult real fast.
Michael| You are also on record as saying "wittle-ittle," "footy-wutties," "nummies," "jammies," "make boom-boom," "widiculous," and "wode iwand."
Andy| Do I sometimes replace Rs with Ws? Yes.  Do I sometimes repeat a word to get my point across?  Well if I do, Andys sowwy.
Michael| You cant be a baby in the office.  It makes me look like I hire babies.
Andy| Well if I were complaining, a lot of people think your Elvis voice is annoying.
Michael| Okay, who said that?
Andy| I dont-just people.  For the record, I think its pretty fantastic.
Michael|  Well, thank you... thank you a lot.  And for what its worth I think your baby voice is tops.
Andy|   Tank you Mr. Elwis.
Michael|  Youre welcome, baby.
Andy| Dr. Tuna, MD, I have some terrible news.
Jim| Wait, are you the patient or the doctor?
Andy| The entire office has come down with a pernicious case of the Mondays.
Jim| Wow, what do you put our chances at?
Andy| 0%, unless we perform an immediate emergency morale transplant, stat!
Jim| Hmm, sounds risky.
Andy| Dont worry.  There is a surefire cure.  Employee of the Month.  Every awesome place Ive worked has had one.  
Andy| Bear Stearns, Lehman Brothers, AIG, my summer at Enron.
Jim| Wow, thats not such a bad idea.  
Andy| Great! 
Jim| Anything else?
Andy| Nope! 
Erin| Frankies Dirty Joke of the Day?  Theres a bunch of those.
Michael| Keep.
Erin| Theres a bunch of Sent e-mails that jusy say "Delivered."  Should I delete all of those?
Michael| I want to keep those so I can see what I sent.
Erin| Thats why you have a "Sent Mail" folder.
Michael| Keep.
Erin| Theres about 30 news alerts for "Nip Slip."
Michael| For what?
Erin| "Nip slip."
Michael| Oh okay.  I dont know how those got on there...
Erin| Well...
Michael| Must be hackers.
Jim| Hey.  Whats up?
Michael| What if I told you I had done the worst thing ever, would you still want to be my friend?
Jim| Did you murder someone?
Michael| Worse than that.
Erin| Oh, my God.
Michael| Lurk much?   I miss Pam.
Jim| I think shes okay.
Michael| Is that what were going for now?  "okay?"  We used to go for "pretty good."
Jim| Great.  Hey, how do you feel about starting an Employee of the Month program?
Michael| Yeah, you know what, that actually might make me feel better.  Im not in this for the trophies, but...
Jim| Youre not in it at all, because you cant be employee of the month, youre a manager.
Michael| Well, technically, Im a co-manager, and I barely have any responsibilities, but I work hard, I love this company, and for those reasons, I think I would make a good employee of the month.
Jim| It would look bad.  Sorry.
Michael|  It would look good, on my mantle.
Andy| Jims talking to Michael right now.  They totally went for our idea!
Dwight| Yeah!  Your idea.
Dwight| My idea.  I just need Andy to think its his idea.  So it wont get traced back to me.  In approximately six hours, Jim will get a phone call from David Wallace.  He will be fired.
Erin| Hey Pam, do you have a sec to check over this inventory?
Pam|  Looks great.
Erin| Oh, did you really look it over?  Felt like maybe you didnt.
Pam| Okay.   The Michael Scott Foundation is still in existence?
Michael| There you are.  I dont think we have finished with my Inbox.
Phyllis| Whats "Scotts Tots?"
Stanley| Has it really been ten years?
Stanley|  "Local businessman pledges college tuition to third graders"
Pam| Michael, why did you promise that?
Michael| To change lives.
Pam| No Michael, why would you promise that?
Michael| Yeah, okay.  Call the school, cancel.  I cant go through with this.
Erin| Weve already rescheduled seven times.
Pam| Michael, this is a terrible terrible thing youve done.
Michael| Well...
Pam| Its terrible.
Michael| No.
Pam| Just terrible.  And the longer you put it off, the worse its going to get.
Michael| I just, I fell in love with those kids.  and I didnt want to see them fall victim to the system, so I made them a promise.  I told them that if they graduated from high school, I would pay for their college education.  Ive made some empty promises in my life, but hands down, that was the most generous.
Michael| Just tell me it is going to be okay, all right?
Pam| No!
Michael| Im not a bad person, I bring good news.  Like when I promised those kids Id pay for college.  Okay, all right.
Pam| You have to tell them.
Michael| Would you come with me?  You know, like old times, instead of... 
Erin| I can print out a new itinerary with Pams name on it.
Pam| Its fine.  Erin, youre going to go.  And youre going to make sure Michael tells the truth.
Michael| Agh, God, you know what, could this day get any worse?
Dwight| Hey Jimmy, whats up?
Jim| Not much.
Dwight| Cool.  Very cool.  I bet if you tried, you could grow the best beard of anyone in this office.
Jim|  Thanks Dwight.
Dwight| That laugh is so infectious.
Jim| Youre creeping me out.  Im gonna go.
Dwight| I didnt mean any of those things I just said.  And you can expect the same from everyone in this office if you dont nip this whole Employee of the Month situation in the bud.  Make it about the work.
Jim| Let me guess, you think you should get it.
Dwight| This encompasses all available data.  Hours, tardiness, unconfirmed sick days, participation.  Everyone has been assigned a random number for total fairness and transparency.  Also, this should be accompanied by a monetary prize.
Jim| Well, in an ideal world...
Dwight| In an ideal world, I would have all ten fingers on my left hand, so my right hand could just be a fist for punching.
Jim| Okay, if its all the same to you, Im just going to take away "Survival Skills" and "Self-defense."
Dwight| Im going to run this by Toby and Accounting and have him assemble the data.
Jim| Thats okay, Ill do it.
Mikela| Mr. Scott?
Michael| Hey, Mikela Lasker, how are you?
