Dwight|  Attention everyone! Jim and I, on behalf of--
Jim| Too loud. 
Dwight| --the party planning committee...
Jim| Too, too loud. Too Loud.
Dwight| But effective, look!  On behalf of Jim and I, Merry Christmas.
Everyone| Merry Christmas.
Dwight| Merry Christmas. Good.
Dwight| My diabolical plot is on hold for Christmas. My heart just melts with the sound of children singing. Hmmph!  Not really! Im just tired. The days are short. I dont know. Maybe Im depressed.
Dwight| It is time to unveil the tree.
Oscar| Hey, Rockefeller Center! 
Jim| Yeah.
Ryan| Uh, I have actually been to Rock Center, and this is nothing like that.
Jim| This is all we have.
Ryan| Ugh.
Jim| No, its not "ugh." It is... office camaraderie.
Dwight| It is warm feelings.
Meredith| Why dont we talk more about it instead of doing it?
Dwight| Thirty! Twenty-nine! Twenty-eight! 
Jim| Why would you start so high? 
Dwight| Twenty- seven! Twenty-six! ...
Jim| Three, two, one! 
Phyllis| Ooh.
Pam| Ah!
Phyllis| You didnt decorate it?
Jim| No.
Dwight| Exactly.
Jim| We didnt, because we think itd be better to do it together.
Dwight| Everyone.
Andy| Why would you wrap it in a sheet, if youre not covering anything up?
Pam| Is it, is it fake?
Jim| Pam!
Dwight| Yes, we are unveiling, an artificial tree, that will never die...
Jim| Yes.
Dwight| Like the spirit of Christmas!
Stanley| Were supposed to applaud you for taking a giant diaper off fake tree?
Dwight| This was a successful unveiling! Go back to work! Merry Christmas! 
Erin| Hello. Sorry guys.  Sorry guys. Im not sure Ive earned the right to make announcements yet. But whoever is giving me the Twelve Days of Christmas? As my Secret Santa? Please stop. I cant take it anymore. My cat killed a turtledove; the French hens have started pulling out my hair to make a nest. Please. Stop.
Kelly| What psycho would send that as a gift? 
Andy| I begged Dwight and Jim to give me Erin for Secret Santa. And I decided to give Erin the Twelve days of Christmas. Is it my fault that the first eight days is basically thirty birds? 
Phyllis| Ho ho ho! Merry Christmas boys and girls! Its me, Santa Claus!
Dwight| Hey Santa!
Oscar| They finally let you do it!
Phyllis| Yeah!
Kevin| Congrats Phil!
Erin| Its so edgy!
