Michael| Oh, yeah.  I got a big box, yes I do. I got a big box how bout you? 
Erin|  I got a big box, yes I do. I got a big box how bout you? 
Oscar| I think you dont know what youre saying.
Michael| Its from "Sob-ray", our new owner, and it is to Sabre, us. I wonder whats inside. Scissor me. 
Michael|  Dunder Mifflin was recently bought by an electronics company named Sabre.   They stepped in at the 11th hour, and they saved our asses.  Although David Wallace said that we were the one branch that was actually working right, so we probably could have saved our own asses. We didnt need them touching our asses.
Michael| Oh!  Wow. Awesome.  For accounting, a brand new printer. And for the sales staff, a new fax machine. This cord has Creed written all over it. And whoever would like a brand new scanner can come visit it in my office. Thank you.
Dwight| Here we go.  Oh! Wow. 
Michael| Cool. What next? 
Erin| Guys, um, whos Gabe? This note says to put the box aside for Gabe Lewis, whos coming tomorrow?
Michael| Okay, everybody, listen up. I have some bad news. Due to circumstances beyond my control - 
Dwight| Impulsivity and inattention to detail.
Michael| Hey, hey. I have opened a box, which should not have been opened...
Dwight| Terrible mistake.
Michael| And distributed things which should not have been distributed.
Dwight| Undistributable.
Pam| Well, maybe we can put the box back together.
Dwight| Impossible. He opened it like an ape.
Oscar| I think we can do it. 
Pam|  Yep, yep.
Oscar| Right? Mm. Did we try printer first? Shredder at an angle - 
Pam| Yep.
Oscar| Fax, cable, then the scanner upside down?
Pam| Yes. 
Creed| Have you tried making everything smaller?
Michael| And -  Wow. Really nice job. This group of people, when they put their minds together, they can do something great. And I think that you should all be proud of yourselves. 
Pam| Oh, Michael.
Michael| Alright, relax. We can do it. We just did it. So we can do this again. Erin, scissor me please. 
Pam| No, dont!
Michael|  Thank you. Oh! Got it. Ok.
Michael| Alright, hes on his way up. Okay. Are we ready?
Pam| What do you want us to do?
Michael| Why do I have to explain everything?
Pam| Because were usually not on the same page.
Michael| Okay. 
Gabe| Oh. Okay. And to you. 
Michael| Gabe seems tall. Hope we get along. Had a very good thing going with David Wallace. He was a good guy. He was somebody I could trust. Here he is.  You can really see that he is ok taking a picture with me. Even though I was there for disciplinary reasons. 
Dwight| Welcome. Scranton hot dog from Scranton?
Michael| You know what, Dwight? Lets give him a minute to settle in, shall we? Ok?
Gabe| Um, hi, uh, my name is Gabe Lewis. I am coordinating director for merging regions.
Michael| Hello, Gabe. I am Michael Scott, co-manager. This is my protege, Jim Halpert. 
Jim| Co-manager, actually.
Michael| In training. 
Jim| Trained. Loving it. Good at it. So...
Gabe| We are very impressed with this branch and we are so excited about this merger. 
Michael| Were very excited too, arent we guys? Right?
Dwight| So excited. 
Michael| We have a little song prepared for you.
Gabe| Um, actually, if you dont mind, I would love to put this on the Sabre website. 
Michael| Sabre. Say-ber. Sabre.
Dwight| Oh. Of course.
Michael| Yes, say-ber. Good. Take it away guys.
Andy| Ok.  
Andy &amp; Erin|  Hopped off the train in Scranton, PA, another cloudy gray afternoon. Jumped in the cab, here you are for the first time, look to the right see the "Electric City" sign. This is gonna be good day, for Dunder Mifflin and Sob-ray. Sab - 
Michael| Saber.
Andy| Saber.  Dunder Mifflin and Saber. So yeah, yeah, yay, yay.
Andy &amp; Erin| Dunder Mifflin is a part of Sob-ray. So yeah, yeah, yay, yay. Dunder Mifflin is a part of Sabre. 
Andy| You sure its saber?
Pam| Hey. 
Jim| Thank you. Hey, we should be fine if we leave around 1120.
Pam| Oh, you mapquested it. Its four blocks away. 
Jim| Well, now we wont get lost. Or we could drive. And that takes one minute.
Pam| We found a great local daycare. Its rated really high by all the local parenting websites. But that means its also really hard to get into.
Jim| Turns out, a lot of parents want the very best for their children. Thats weird.
Pam| Were hoping our interview seals the deal.
Jim| But if not, theres always the army. The infantry.
Pam| Okay. Okay. Yeah.
Christian Slater| So youve just been bought by Sabre. Youve probably got a lot of questions. Hi. Im Christian Slater. Whats it like to work for Sabre? Lets find out together. Working at Sabre means taking on the challenge of the road that rises to meet you. Sabre is respecting the past, but opening a window to the future. Have you ever tasted a rainbow? At Sabre, you will.
Jo Bennett| Youll find it easy to embrace the Sabre spirit. Welcome. Were very excited to go on this journey with you.
Jim|  So youve been shown a nonsensical video. Youre probably wondering, "Whats going on?" Well, youre not alone. 
Michael| Wow. Really terrific. 
Gabe| Most of our business comes from selling printers. So dont think of yourselves as paper salesmen anymore, but as printer salesmen who also sell paper. 
Michael| Perfect.
Michael| No. Dont like that.
Gabe| At Sabre, we really encourage honest communication. You should always feel free to express your thoughts, your - 
Meredith| Talk about vacation days!
Gabe| We have a policy here at Sabre where we are, uh, allowed to take two weeks.
Oscar| But I banked six weeks.
Angela| I already booked a Great Lakes cruise. 
Meredith| Hey, who the hells going through our stuff?
Gabe| Actually, thats Nick. Hes your new IT guy. Uh, hes setting up a site blocker. Mostly blocking the inappropriate sites.  And then there are the time-wasting sites like Twitter, YouTube. We are blocking those as well.
Michael| Mm, nope. Dont like that. 
Gabe| Ok, did everyone get one? With these bottles, we eliminate the need for plastic water bottles, which are the scourge of the environment. 
Michael| Well still get to use the little cups, though, right?
Gabe| Little cups? Like paper or plastic or... ?
Michael| I dont know what theyre made of.
Dwight|  Theyre 2 ounce paper cups dipped in plastic. He goes through 20 a day. 
