Hotel Employee|  Vancouver Court Hotel, how many I help you?
Michael| Hello Vancouver, this is Michael Scott calling from the United States of America!  I have a reservation in your fair city from February 12th to the 19th, first week of the Olympics.
Hotel Employee| Well, we are looking forward to having you, so, let me just pull up your information here...
Michael| Okey doke.
Hotel Employee| Um, I dont seem to have it, sir.
Michael| What?
Dwight|  Im not seeing anything under "confirmation."
Michael| No.
Dwight| Could it be under "affirmation?" Cause you have thousands of those.
Michael| No.  Were trying to look it up right now.
Dwight| You did get the e-vite to my barbeque!
Michael| Um, come on.
Dwight| Michael...
Hotel Employee| Uh, sir? A lot of people are trying to get last-minute reservations at hotels here for the Olympics, but weve been fully booked for months.
Michael| Well, I have been booked for three years, so you should have that. Ive always heard that British Columbia is a very nice place, but I am not getting that from this conversation.
Dwight| Wait, I got it! Confirmation code XV2RDM!
Hotel Employee| ...Oh, here it is. Yep.
Michael| Oh.
Dwight| Thank you.
Hotel Employee| Uh-huh. Seven nights in our street-view economy single?
Michael| Thats it!
Hotel Employee| Yeah, we changed it since it was a while back. I do apologize. 
Michael and Dwight| Uh-huh, okay...
Hotel Employee| Yeah, how may I help you Mr. Scott?
Michael| Alright, I would like to cancel my reservation, please.
Hotel Employee| There is a cancellation fee for this, sir.
Michael| Okay, put it on my card.
Michael| Today, Jo Bennett, the CEO from Sabre, is coming to see us here for the first time. She bought us sight unseen, like a mail-order bride, so shes gotta be kinda nervous. I mean, are we ugly? Are we smart? Are we cool? Are we too cool? Do we speak English?
Michael|  Why hello!
Gabe| This is Michael Scott, co-regional manager of this branch.
Michael| Pleasure to meet you, Miss Bennett.
Jo| Oh, thats Mrs. Bennett, sweetheart. My husband and I are divorced, but I kept the "Mrs." just to piss off the new wife. Well, lets take a gander around this place.
Andy|  These sure are pretty dogs...
Jo| They love a good crotch.
Andy| They sure do.
Jo| You should take that as a compliment!
Andy| Oh, I do!
Jo|  Hello.
Dwight| Hello.
Jo| Do you always stay seated when a lady enters the room?
Dwight| I am treating you the same as a man, for whom I would also not stand. Unless it was the President. Or Judge Judy.
Jo| I like that.
Gabe| This is Accounting.
Kevin| Hi!
Jo| Good-looking group.
Gabe| Over here is Meredith Palmer and Creed Bratton.
Jo| Another couple of heartbreakers. Who is this tall drink of sun tea?
Gabe| That is Jim Halpert, he is the co-regional manager of this office.
Jo|  I thought this guy was the manager?
Gabe| Oh, he is. Hes the co-manager, and thats the other co-manager.
Jo| Two guys doing one job? We gotta do something about that!
Andy| Got some Valentines cards for my coworkers and my bro-workers.
Angela|  No, no!
Kevin| What, no candy?
Andy| Valentines Day, right around the corner. Erin and I have been on zero dates. So I got her a Valentines Day card, but I didnt wanna seem "too eager," so I got cards for everyone in the whole office to kind of dilute it a little bit.
Andy|  Look alive.
Meredith| Ow! Geez, you gave me a paper cut on my throat!
Meredith| Yeah, I have this thing about men cutting or threatening to cut my throat. Dont try to cut my throat.
Michael| Jo, I dont know how things work in Florida, which from your description sounds like a colorful, lawless swamp, but here it takes two men to do one job, where in Florida it might take one very strong woman to do such a job.
Jim| Whoa, whoa.
Michael| Whoa, whoa!
Jim| Ill take over. Um, what were doing here Michael handles more of the "big-picture" stuff, and I handle more of the day-to-day stuff, so together...
Jo| Yeah. I think I understand.
Jim| Alright.
Jo| Each of you is doing half a job.
Jim| No.
Michael| And sometimes I can hardly handle that!
Jo| This is knucklehead talk. Im not gonna bite it, you know. You cant give me gravy and tell me its jelly, because gravy aint sweet! Is it, Jim?
Jim| I dont think so.
Jo| Michael?
Michael| Forget the question...
Jo| I think one of you should return to sales, and the other one be manager.
Michael| I humbly accept the management position.
Jim| I... Why would you just say something like that?
Michael| Because, well, Jim. Where Im from, two types of folk those who aint, and those who are knee-high on a grasshopper. Which type aint you aint? Yall come back now.
Jim| Do you even know what that means?
Michael| Yes.
Jo| Well, Im gonna let this marinate. So you can go.
Jim| Um...
Jo| You can go on. Shoo!
Jo| Im Jolene Bennett, Jo for short. Im a breast cancer survivor, close, personal friends with Nancy Pelosi, and Truman Capote and I slept with three of the same guys. When I was a little girl, I was terrified to fly, and now I have my own pilots license. I am CEO of Sabre International, and I sell the best damn printers and all-in-one machines Korea can make. Pleased to meet you. 
Andy|  Whoa-oh, traffic jam!
Erin| Uh-oh, traffic jam on route three!
Andy|  Beep-beep! Beeooop-beep!
Erin| Beep! Twenty people dead in a pile-up!
Andy| Theres blood everywhere! Um, I got you a Valentines card.
Erin|  Oh, you did? Aw, a bird and a dog!
Andy| Yeah, well its Snoopy and Woodstock.
Erin| You named them?
Andy| Uh, Charles Schultz did. I thought it was relevant cause I got you all those birds for Christmas, remember?
Erin| Uh, yeah I do remember.  Aw, they love each other.
Andy| Oh, look at that. They sure do. I hadnt noticed.
Erin| Wow, it smells really good too.
Andy| Yeah! Its Roger Federer for men, I sprayed some in there.
Erin| Andy, whoa! Thank you very much!
Andy| Its got pheromones in it.
Jo| Hey!
Kevin| Hi.
Jo|  Just choosing seats, not getting married. Chop, chop little onion!
Kevin| Jo, theres books in my chair.
Jo| Thats right, darlin, now youre the proud new owner of a Sabre handbook and my autobiography. Now, you all must be in a tizzy. I can see it on your faces, I mean, whats going on now? I mean, who owns Dunder Mifflin? Right? I mean, Sabre? Whats that? Some company Ive never heard of? Down in Tallahassee? Where is that? Near Mars?
Michael| No, we know. Texas!
Jo| Now Dunder Mifflin has an arms reach in all these small businesses all over the northeast. Now were gonna take that arm, and were gonna start selling printers. 
Michael| I could manage my way around that.
Jo| Theyre the easiest-to-use printers on the market.
Michael| I will try to manage my excitement!
Michael| I have been saying the word "manager" a lot, so whenever Jo thinks "manager" she thinks of me. Camel cigarettes did the same thing with Joe Camel by making him look like a penis. I cant even go near a cigarette now without thinking of a penis. And vise-versa.
Jo| I think thats it. So were all good!  Thanks yall.
Dwight|  I, uh...
Kelly|  Oh my God.
Kelly| I guess Andy likes me. I never thought of him in that way. But, I guess in most romantic comedies, the guy youre supposed to be with is the one you never thought of in that way. You might have even thought he was annoying or possibly homosexual.
Pam| So, check this out. According to the handbook, you could make more money as a salesman than as a manager. They have all these incentive programs. I ran your numbers from last year.
Jim| This is way more than I make now.
Jim| I dont think Im gonna miss being manager. You know how some people say theyre not in it for the money? Well, with all due respect to this job, I think Im definitely in it for the money. And quite honestly, the women.
Jim| Hey, you got a second?
Michael| Sure. You here to tell me that you think I would be a better manager and that you are sorry for being such a jerk?
Jim| Actually, yeah.
Michael| What?
Jim| Exactly that. I think that you absolutely deserve the manager position more than I do.
Michael| What? Really?
Jim| Yeah!
Michael| Wow!
Michael| La la la, hello Oscar!
Oscar| Michael. Reading.
Michael| What are you reading?
Oscar| The Atlantic.
Michael| Oh, that is my favorite ocean! I love it! I am so happy right now. No! I cant keep it a secret any longer. Jim is stepping down to salesman, I am going to be the sole manager once again.
Oscar| I should step into sales myself.
Michael| Why, is there an untapped gay market?
Oscar| Sabre has no caps on commissions. He can make a lot more money in sales.
Michael| ...Where did you get that information.
Oscar| Manual.
Michael| Manuel who?
Michael| Well, according to the manual, there is no cap on commissions. I have been hustled.
Michael| Son of a bitch.  Pardon me.
Jo| Oh, speak of the devil. We were just talking about you. Have a seat!
Michael| Okay.
Jo| Now Jim here is thinking about taking himself out of the running for being manager.
Michael| Really? Aw, that is so sweet of you! But, I cannot accept, because I have been thinking about it, and I think I wanna go back to sales.
Jo| Really?
Jim| Really.
Michael| Yeah. You can take the man out of the salesman, but you cant take the sales out of salesman.
Jo| Well, I think youre both being a little too modest.
Jim| No, I really, really think Michael is better at being manager for so many reasons.
Michael| No, I think I would be bad. I would sleep in my office, and I would sexually harass people.
Jim| Why would you do that?
Michael| Im turning myself in right now!
Jo| You know, Michael, you have more experience in sales and management, so Im gonna defer to your judgment.
Michael| Thank you.
Jo| I think you  will become the salesman, and congratulations!  Youre gonna be the new manager of this branch!
Michael| Great! Thats great. Congratulations. Have fun signing my commission checks, boss.
Pam|  Oh, Michael marked his heights. Hes grown!
Jim| Mm!
Dwight|  Bobcat, this is Dragon. Listen. Hes been promoted to sole manager. Weve got to step this up. Meet me behind the dumpster in ninety seconds.  89... 88... 
Dwight| Youre twenty minutes late!
Ryan|  Um, I was at another dumpster!
Dwight| Just admit you lost track of time.
Dwight| Ryan and I have been meeting up to work on our diabolical plot against Jim. Ryan is always late for our meetings. I wish I had a lair.
Ryan| Did you see Saw?
Dwight| Of course I seesaw. Mose and I seesaw all the time.
Ryan| No, uh, the movie. Did you see the movie Saw?
Dwight| Oh, yeah. Great film. Almost as fun as going on a seesaw.
