Pam|   I just wanted to check and see if theres anything you needed before I went on my maternity leave...  Yeah, Im pregnant...  Great, well, Ill write up the order.  Okay, thanks.
Dwight|  Wait a minute!  You cant do that.  You cannot exploit your baby for sales.
Jim|   Hey, did I tell you we were going to have a baby?  Oh, thank you very much.  Im excited.  Oh, definitely.
Dwight|  No, no!  You need to come by your sales honorably!
Pam|  There is nothing dishonorable about talking about your life.  People like it.
Dwight|    Hey there.  Dwight Schrute here.  Listen, uh, would you be interested in restocking on paper? ...  Yeah, I could sure use the money.  My cousin, uh, came down with a case of that nasty new goat fungus.  Oh, its just horrific.  The  doctor says hed never seen it beard so quickly.  Okay.
Dwight|  I need a baby.  Ill never outsell Jim and Pam without one.  Also, Ive been noticing a gaping hole in my life.  Sometimes I wake up cradling a gourd.
Pam|  Kevin, youre such a gourmand.
Kevin|  I cooked my way through Julia Childs cookbook, and now, Im halfway through the Twilight cookbook.  Last night, I had Edwards corn flake chicken.
Pam|  Hmm.
Kevin|  Pregnant Pam and I, we get hungry at the same times, so weve been eating together a lot.  Not all meals.  Just second breakfast, lunch, second lunch, and first dinner.
Kevin|  I thought that maybe we should do something special for early dinner.  One last ultra feast.
Pam|  Mmmm, that sounds great.  What are you thinking?
Kevin|  I think it should be a surprise.
Meredith|    Oh, getting there, huh?
Pam|  No, no.  I still have time.
Pam|  Im having contractions, but theyre irregular and far apart.  So Im not really in labor, Im near labor.
Jim|  Yeah, were slow-playing it because of our stupid HMO.
Pam|  If we check in after midnight, I get an extra day to recuperate surrounded by doctors.
Jim|  Not to mention the extra nights sleep in the hospital will be very nice because once we bring the baby home, if its crying all night, one of us is going to have to take care of it.  And I do not plan on helping unless its a boy.
Pam|  I cannot wait for that joke to be over.
Pam|  Ooh.
Michael|  Oh, oh, oh!  Contraption!  Shes contrapting!  Okay, you know what?  I think I should drive you guys to the hospital, and here is why.  I am a licensed, classy driver in the state of Pennsylvania.  I gassed up the car...
Jim|  Michael.
Michael|  Actually, I put diesel in this time, trying to save some money.
Jim|  Michael, you shouldnt have done that.
Michael|  Happy to do it.  Also, I did a heck of a job baby-proofing this office.
Pam|  You know the babys not going to live here, right?
Michael|  Well, the baby was conceived here, so might as well live here a little bit, too.
Jim|  Hmm, that logics air-tight, but unfortunately it wasnt conceived here.  Burning man, port-o-potty.
Michael|  Oh, yuck!  TMI!  How was it?  I dont want to know.  Tell me later.  Lets go!  Lets go!  Hospital!
Pam|  Okay, okay, were not going to the hospital.  We are waiting until midnight.
Erin|  Ooh, spooky.  But why?
Jim|  Because the insurance company only covers two nights.
Pam|  Everythings fine.  We have plenty of time.
Nick|  Well, you dont want to wait too long, Pam.  Otherwise the babys going to become a teenager in there and youll be up all night, from the rock music.
Michael|  Shut up, Nick.  What a weird thing to say.  Weird I.T. nerd.  Dont get revenge on me, nerd.
Angela|    What are you looking at?
Dwight|  Ha, nerd.
Kelly|  Did you know that labor can last weeks?  Then they take your insides out and they just plop them on a table, and sometimes epidurals dont work, and you can poop yourself.
Dwight|    Bare my child.
Angela|  Excuse me?
Dwight|  I want to have a child for business reasons and I want you to be the mother.  If you agree, say nothing.  If you disagree, say anything...  Very well.  Lets meet at 400 PM at our old meeting spot and bang it out.
Jim|    Thats seven minutes.  Here we go.  This is happening.  Come on.
Pam|  Hold on, hold on.  It isnt midnight yet.
Jim|  Are you serious?  Pam.
Pam|  No, the doctor said every five to seven minutes.
Jim|  I...  Pam, please.
Pam|  Im going to be okay, we should really try to make it until midnight.
Andy|  Yeah, no, you really should.  Because if your babys born tomorrow, hes going to have the same birthday as Butt-mud Brooks.  My old roommate.
Pam|  Did you hear that?  Butt-mud Brooks.
