Dwight | Breathe. Work your core. Come on.
Michael |How many is that?
Dwight |Not counting the last one, 25. 
Michael |Count the last one.
Dwight |Ok, 25 and one girl push-up!
Michael |Oh, new record!
Dwight |Okay.
Michael |Oh, what did you do today?
Jim |I made a sale.
Michael |Oh, yeah, sitting on your big fat butt. Alright, that is the number to beat.
Meredith |What do we get if we do em?
Michael |My respect.  Okay, Ill make it a little more interesting. Anyone who does more than 25 push-ups -
Dwight |And one girl push-up.
Michael |Gets to go home.  Ooh! I say dance, they say how high? Here we go. Oh, no. No, no, no. Butt to high.  Disqualified!
Angela |Ow!
Michael |What do we got? Creed, disqualified.
Creed | Oh, come on!
Jim |19.  I had a really hard work out this morning.
Michael | Oh, wow, that is adorable!
Phyllis |Ten...
Michael |Yeah, Im betting one more.
Phyllis |Eleven, wow!
Michael |Good.
Everyone | Stan-ley! Stan-ley! Stan-ley...
Michael |Alright, alright. 
Oscar |Essentially, what we have here is one of those stories where a mother lifts a car to save her baby.
Michael |Well, its not exactly fair. Hes got all of his weight thats helping him go down.
Dwight |25. Yeah! Come on, you can do it!
Phyllis |One more, one more! 
Oscar |You okay? You okay, Stanley?
Stanley |Excuse me.
Jim |Wow. 
Oscar |Hey. Matt, right?
Matt |Hey, Oscar. Youre here early. 
Oscar |I always come in at 7. 
Warehouse Guy |No, you dont.
Oscar |Well... Hey, uh, are you doing anything later tonight?
Matt |I dont know. Im free. If you hear of anything going on, let me know.
Oscar |Yeah.
Oscar |Yeah, we talked this morning and we talked at Christmas. So, a little momentum there.  Just a couple of hours to kill before work. 
Darryl |Hey, whats up?
Oscar |Hey, nice office.
Darryl |Thanks, its cool. So...
Oscar |You know what we havent done in a while? Happy hour. Upstairs, the warehouse, everybody just going out for a drink.
Darryl |Has that ever happened? Ever?
Oscar |Didnt we? I think we did.
Darryl |You want me to invite Matt?
Oscar |Yeah, the whole gang, Matt included.
Darryl |Look, just be straight with me, man. You can be gay with Matt, just be straight with me. 
Oscar |So happy hour.
Darryl |Happy hour. My pleasure.
Oscar |All right.
Oscar |So what do you think?
Phyllis |Hmmm, I saw a new drink on TV Id like to try. Ill ask Bob.
Phyllis |Yeah, I love going to bars with Bob. I tend to wear something low-cut, get men to flirt with me, and Bob beats em up. What?
Andy |A bunch of us are talking about happy hour. 
Jim |I would love, love, love to go. Only problem is, Pams at home with the baby and I think she wants a night in. 
Andy |Oh, baloney. 
Jim |Good one.
Andy |Ring her up. 
Jim |Absolutely, I will do that right now.
Jim |I gotta tell you, this baby is amazing. She gets me out of everything. And I - and I love her. I also love her, very much.
Jim |So some of the co-workers were thinking of going out tonight, but I told them-
Pam | Yes! Yes! I would love to!
Andy |Ha! Knew it!
Pam | Its been so long since Ive been with adults. I am so excited to see everybody. Creed, Ryan. Oh my God, Stanley! Stanleys going to be there. Yes, oh my God!
Jim |I did not see this coming.
Andy |Erin, I need you to fax this and get me a confirmation, pronto.  Are you going later?
Erin |Sure, if you are. 
Andy |Yes.
Erin |Talk to me that way again, and Ill cut your face off. 
Andy |Whoa. 
Andy |We recently struck up a romantic relationship. And, um...  but were kinda keeping it quiet for now cause its still kind of a new thing. Its a little delicate, and we just dont want all the drama.
Erin |Exactly.
Andy |Yeah, cause when everyone knows-  Thats actually pretty funny, but in general, you know.
Erin |Quiet.
Andy |Hey, boss man. 
Michael |Yes?
