Andy| Its Secretarys Day. And it is Erins and my three-week anniversary. So perfect storm for a romantic gesture. . Want to make sure the whole office remembers its Secretarys Day. I sent an e-mail blast, a text blast, a good, old-fashioned talk blast. I sent a snail mail blast a week ago.  And a Stern reminder via fax at 700 this morning, so people better step up and appreciate the crap out of Erin. 
Meredith| Here you go.
Erin| Oh, thank you.
Andy| I do.
Dwight| 
Erin| Thank you.
Andy| If it wasnt for secretaries, I wouldnt have a stepmom.
Erin|  Welcome back! 
Pam| Hey, thanks.
Pam| Its my first day back after maternity leave. And I miss Cece, of course. But we need the money. What was maternity leave like? Oh, how do I explain it?... It rocked. It rocked my ass off. 
Pam|  Oh. You couldnt have watered it?
Jim| I literally did not know that existed until this moment. 
Dwight| Well, I knew it existed, and I chose to let it die.
Pam| Its nice to see you again, Dwight.
Dwight.| Hello, Pam.
Andy|  I was just wondering what you had planned for Secretarys Day.
Michael| Im going to give Erin $15.
Erin| I know that Erin would be so psyched if you took her out to lunch.
Michael| A one-on-one lunch with Erin?
Andy| Yeah. She really looks up to you. And theres only so much we can do as her coworkers. Secretarys Day is really kind of a boss-secretary thing. .
Michael| Shes kind of a rube.
Andy|  Thats my girlfriend youre talking about.
Michael| Okay. All right. All right. Okay. Ill take her to lunch.
Andy|  Shes gonna be so psyched. 
Michael|  Hi, Erin. Happy Secretarys Day. 
Erin| Well, happy Bosss day. There wouldnt be a secretary if there was no boss.
Michael| I wanted to know what your plans for lunch were because I was hoping to ask you to... lunch.
Erin| I got a picture of you asking me to lunch. I was thinking we could go to Hayworths. 
Michael| Ugh.
Erin| Just the two of us.
Michael| Well, Hayworths is more business casual, and they always screw up your order. So Im...
Erin| Yeah, okay. Yeah that was a stupid suggestion. I was thinking someplace special, so I though Hayworths, but...
Michael| Okay, well, well figure something. 
Erin| Oh.
Michael|  Okay, lets go to Hayworths.
Erin|  Okay.
Michael| All right.
Meredith|  Have a cookie, Kev.
Kevin| Yeah, haha. Tray of cookies. Im not falling for that. 
Darryl| I brought those in. Its my birthday.  Thats some stone-cold narcissism right there.
Kevin| Man, Darryl, Im sorry.  Happy Birthday.
Darryl| Thank you. 
Darryl|  Yum, Yum, Yum, Yum, Yum, Yum.
Kevin| Theyre making fun of Cookie Monster. I get that. But in a strange way, it feels like theyre making fun of me. 
Kevin|  Oscar, did you eat some of my M&Ms? The level...
Gabe| This is violent and offensive.
Kevin| Thank you.  It really makes me self-conscious about my voice.
Gabe| Its awful. 
Kevin| Im not crying.
Gabe| You have some food on your face.
Kevin|  Do my hands feel sweaty to you? 
Gabe| The beginning here has been a little bit of a fiasco. Either they dont respect me or they respect me too much. And some of them still think that Im the I.T. guy. This Cookie Monster thing is an opportunity to show people that Im an authority figure. 
Gabe| Hello, everyone. If I might have a moment of your time. Its come to my attention that people have been watching and laughing at a hurtful parody video. It is now forbidden to talk, joke about, or e-mail this around. 
Kevin| Yeah.
Gabe| And thats straight from corporate. So not to be scary, but yeah, I would listen to me. And thats all. Ciao. 
Michael|  Would you mind if I listen to my book on tape? Im kind of a bookworm. This is the novelization of the movie Precious based on the book Push by Sapphire. 
Erin| I was thinking it would be fun to talk on the way over. So what decade would you have chosen to be a teenager?
Michael|  I dont know. 
Erin| I would have chosen the 1490s. 
Michael| Ahhh.
Erin| Cause America was discovered. 
Michael| Right. 
Erin|  And then my last job was at a Taco Bell express. But then it became a full Taco Bell, and I dont know, I couldnt keep up. My favorite part about being a receptionist is that I get to have my own desk. In my Foster home I never had a desk. . So its like... I dont mean that I didnt like my foster home. I did like it. I just didnt have a desk there. Did you have a favorite age? Or month? 
Michael| An age or month?
Erin| Yeah, like a favorite month. Like I like April when I was seven.
Michael| Ive been trying. Ive been trying to keep it going. Erin is just weird. 
Erin| How many pillows do you sleep on at night?
Michael| So how are things going with Andy?
Erin| Hes the best boyfriend in the world. Tell me about him before I met him.
Michael| Well, lets see. Um... Andy. Plays the banjo.
Erin| Yeah I love that.
Michael| Other than the fact that he dated Angela, I dont think he is a snappy dresser.
Erin| What?
