Dwight| Stop it!
Jim| Stop what?
Dwight| Youre talking about me in Morse Code. Well, you know what? Jokes on you cause I know Morse Code. Ha!
Jim|  Yeah. Thats what were doing. In our very limited free time and with our very limited budget, we went and got a nanny and then we went out and took a class on a very outmoded and very unnecessary form of communication just so we could talk about you in front of you.
Jim| Yup. Thats exactly what we did.
Pam| It all started when Dwight was tapping his foot against the leg of his desk. When I asked him to stop, he said, "I will when you lose the baby weight."
Dwight| Very well. I must have imagined it. I apologize.  Detonator. Detonator where? Michael!
Michael| Jim. Are you clicking a detonator?
Jim| Its a pen.
Dwight| Michael, come on.
Michael| Get back to work, Dwight. Please.
Dwight| Fine.  Hey. Tap away.
Michael| Ooh! Things with Donna are so... oh-ho-ho! Theyre going great. I, uh... were just clicking on every level. Emotionally and sexually and... orally and I am not used to relationships going this well. Im actually having trouble focusing on my job. And I like it!
Michael| Who enjoys the weekends?  Of course. Now the weekend is always great if you have someone, which I do. I have Donna. She is hot. She has a Pilates butt. But we need to find something to do this weekend beside have sex. Did I say that? Yes, I did.  And the reason you are here is that I need ideas for things that Donna and I could do on the weekend.  So just shout it out.
Stanley| I have an idea for your weekend.
Michael| Okay.
Stanley| Let me get back to my desk right now.
Michael| Okay, you get out of here, big dog.  Ah, no, no, no, no. You guys sit down. I need ideas.
Pam| Stanley got to go.
Michael| Yeah, well, Stanley doesnt help with anything. Come on. Shout em out, shout em out.
Andy| Walk around apple orchards.
Michael| Oh!
Andy| Super romantic.
Michael| Thats fun.
Dwight| Eel fishing.
Michael| All right.
Darryl| Curl up with your favorite DVD.
Meredith| You and Donna should hit the Poconos. They have heart-shaped Jacuzzis. Room enough for three.
Michael| We actually went to the Poconos last Tuesday. We headed up there, we went to a little Chinese bistro, um, P.F. Changs.
Kelly| Wait, why would you go all the way to the Poconos to P.F. Changs when we have the Great Wall in Scranton.
Michael| Because when your super-hot girlfriend says, "I wanna go to Mount Pocono," you go to Mount Pocono and you do her. And we screwed. Whoops. TMI.
Kelly| Wait, thats crazy far. Are you sure shes not cheating?
Michael| You know what, Kelly? This is the real world. Not The Real World Scranton. Oh my God, this is super weird. When Ryan had two girlfriends, he used to take me to some diner in Hazelton just so the other girl wouldnt see.
Ryan| Some diner?! It was the Starlight Diner! Its in a LIFE magazine spread about Americana.
Michael| You guys think Donnas cheating on me?
Pam| No, Michael, no.
Dwight| Are you nuts?
Pam| You had a nice meal with your girlfriend in a lovely place...
Michael| ... and... we had sex, too.
Pam| That is right. Dont make any more of it.
Michael| How?
Pam| How what?
Michael| How do I not make any more of it?
Pam| You could start by concluding this meeting.
Michael| All right.   And she wont say, "I love you."
Dwight| Oh, no.
Andy| How many dates have you been on?
