Toby|  This here is a radon test kit.  Okay I will be putting em everywhere. And... please dont throw these out.  This is a radon test kit.  Please dont throw these out.  See them all over the office.
Michael|  Toby has been leaving radon kits everywhere, like he owns the place.  The first time I threw mine away, I thought it was an ant trap.  But I figured Id rather live with ants than with his creepy little disc.  The second time... I thought it was one of those, you know, those things you turn over and it moos.  Like a cow thing. But upon closer examination, it was another ant trap, so I threw it away. And the third time... I did it out of spite. 
Michael|  Pfffffttt.
Toby|  Come on, Michael. Youre interrupting.
Michael|  Youre kidding me? God! You say radon is silent, but deadly, and then you expect me not to make farting noises with my mouth? What is this?
Toby|  Please sit down.
Michael|  You know what? Were not gonna die of radon, were gonna die of boredom.
Everyone|  YEAH! 
Michael|  Right? And if I had a gun with two bullets and I was in a room with Hitler, Bin Laden, and Toby, I would shoot Toby twice.
Everyone|  No. No! 
Jim|  Thats... not okay.
Michael|  Okay, alright.
Dwight|  You were being really funny, and then you went too far.
Michael|  I would kill Bin Laden and then Toby.
Dwight|  No, hmmm... thats still...
Everyone|  Mm-mm.
Michael|  Okay geniuses, how would you do it?
Creed|  Curve the bullet. Like in my favorite James McAvoy film, Wanted.
Oscar|  All that does is help you shoot around things. What does Bin Laden...
Ryan|  Is there a curtain rod in the room?
Michael|  I dont know.
Stanley|  How about make-believe land has anything you want?
Jim|  Stanley, please, this is serious!
Angela|  Is this the thing where they use an icicle so theres no evidence?
Michael|  Yes, we stab Toby through the heart with an icicle.
Dwight|  Come on, the whole two bullet thing is a red herring. Heres how you do it  You line them all up, you take one bullet, shoot them all through the throat at the same time. Watch this.  Phyllis, youre Hitler. Come up here. Toby, youre Toby. Andy, youre Bin Laden. Line up, throats together.
Toby|  I dont wanna do this.
Michael|   Toby, just do it! God!
Dwight|  Toby, come on. 
Dwight|  Ready, one bullet. And boom! 
Everyone|  Yeah, that works. That works!
Michael|  Good work. 
Pam|  What flavors did you get? 
Erin|  Its so exciting Pam. The Eagles are doing a theme of ice creams in honor of turning 60.
Pam|   Despera-dough. Witchy-womanilla. Why do they do this?
Erin|  Do you want me to go back to the store?
Pam|  No, no, no, its fine. I was just commenting. We gotta get these out, open em up.
Erin|  This is all for Michael. It turns out his girlfriend was married.
Pam|  Yeah, and when Michael gets a broken heart, this whole place comes to a halt, so were just trying to get out in front of this.
Erin|  After his last breakup, he ate 40,000 calories in three hours. Right, Pam? Thats what Pam told me.
Pam|   Yeah, or no... well... I dont know. Im sorry. I was up all night with Cece, otherwise Id be running this.
Erin|  Thats okay. You probably shouldnt keep a baby up that late, though. 
Erin|  We have Mr. Bean playing in the conference room and the Pink Panther movie in his office. With half hour shifts to watch it with him.
Pam|  And we need bodies in both these rooms, people. So please sign up.
Erin|  Hes coming.
Pam|  Oh, okay. Everyone, remember, when he gets like this, he will wallow, if you empathize. Keep conversations light and if you get stuck, and you dont know what to do, make a random sound effect okay? Farting noise, whatever. Okay.
Toby|   Hey everyone.
Pam|  No, out! Get out now! Leave now. 
Dwight|  Leave, get outta here.
Pam|  Leave!
Dwight|  Right now!
Pam|  Oh, and if he makes a joke, just laugh it up, no matter what. Okay?
Michael|   Morning everyone.
