Michael|  There is nothing wrong, nor will there ever be wrong with any Sabre printers. Case closed.  Michael Scott, as seen on TV.
Todd Packer|  I saw you on the news and I want to pinch your tiny wiener...   Its Packer!
Michael| OH! Pack Man, I thought you were a girl!
Michael| Apparently, there are allegations that Sabre printers can cause a fire. So they asked me to give a statement to the press. Im like, what? All right. So I do it. Its on TV last night. And its in the paper today. And its online. And then I call Froggy 98.7, the request line. I talk to the host about it on the air. Its like, come on, people, enough.
Michael| Everybody, we are at DEFCON 5. I am officially the second-most watched clip of the day on the WBRE news site.
Oscar| Whats number one?
Michael| Oh, that teacher who was wrongfully accused of being a pedophile. Now, we cannot let the pedophile win again! I would like you all to go to the website and watch my clip eleven times. 
Jim| So instead of working, you want... 
Michael| Yes. 
Jim| Okay.
Michael| Yes. Come on! Get it up! Thats what... lets do it!
Angela| Oh, did you see this report that the zoo got a baby otter? Its on the same site! 
Phyllis| Awww, its kissing its mommy!
Michael| Please. 
Dwight| Michael, you have to see, this is like, the cutest thing ever. 
Michael| Really? A baby otter? Okay, um, count me in as who cares. Its not even that interesting a baby otter, it cant even stand up.  Its trying to stand up...  there it goes.
Jo| Howdy. I hope Im not interrupting anything.
Michael| Jo! We were not expecting you!
Jo| Course you all, no doubt, know why Im here.
Kevin| No.
Jo| Turns out our printers are famous. Theyre all over the news. Its an interesting story. Cheap foreign printers attacking innocent Americans. Well, actually the, the real story isnt quite as racy, but uh... lets give it a go.
Kevin| Jo, I think that I know what happened.
Jo| Im not sure you do, teddy bear.
Kevin| Well, now I think I might not.
Jo| Not long ago, we discovered a defect in one of our printers, so we got a software patch and fixed it right up, just like that. I dont know how it works. But just as we were about to send out a letter to our affected customers, giving em free toner, and we keep em, happy, but somebody here, they liked that first story better. The one where we lose half our clients for no damn good reason! Whoever it was who talked to the press, they should come forward, please.
Michael| Jo, Jo, I can assure you it was no one in this office.
Jo| Can you now? 
Michael| Absolutely. Anyone who talked to the press, please raise your hand.
Phyllis|  Put your hand up, Norma Rae. 
Andy| If you say anything, so help me God, Ill break off the temples of your glasses and stick them in your eye sockets.
Andy| So unfair. Even if I thought that our printers killed baby seals, I would not be a whistleblower. The Bernards, for generations, have silenced whistleblowers. Its how we made all our money. Woody Guthrie wrote a song about us.  Old Mr. Bernard, old Mr. Bernard, who have you silenced today?
Jo|  Its a little form, says "I did not do it." 
Michael| There is no reason for anyone here to sign this, because I know everything there is to know about these people. I know when their birthdays are, I know what their favorite kind of cake is, I know what color streamers they like... 
Jo| All thats just birthday information, Michael.
Michael| Yes, yes, but it shows a bigger picture.
Jo| Why dont you come with me? Well start out with the honcho, whatcha say?
Michael| Okay.
Jo| When Mama was working as a prison guard and something went missing, shed ask one question What do we do when we find the guilty party? And if they said, "Come down on him with that swift hammer of justice!", innocent. A clear conscience dont need no mercy. But if they said "Officer Bessie, well they may have had a reason, blah blah blah blah", well nine times out of ten, thats the anus theyd check.
Jo| So say we catch this whistleblower, what do you think I should do with him?
Michael| We should give him a one-way ticket to Montego Bay, where they keep all the al-Qaeda. 
