Michael| I suppose summer had to end sometime. Its sad, though, because I had a great summer. I got West Nile virus, lost a ton of weight. Then I went back to the lake. I stepped on a piece of glass in the parking lot, which hurt. That got infected even though I peed on it. Saw Inception. Or at least I dreamt I did.
Andy| Brocolli Rob, obviously, will be there.
Erin| Yes, of course.
Andy| And JC. We call him Blorville, because he looks like a black Orville Redenbacher. 
Erin| Whos the guy who invented the peanut?
Gabe| Hey, guys.
Andy| Hey!
Gabe| Sorry, didnt mean to interrupt. 
Andy| Not at all. 
Gabe| Im gonna head back to Siberia there. Ciao. 
Gabe| I started dating Erin this summer. It has been, in a word, exquisite.
Erin| Gabe is awesome. He has accomplished so much career-wise and height-wise. Thank God hes my boss because I would not have said yes to a first date if I didnt have to, but... its been great.
Andy| Am I angry that Gabe stole my girlfriend over the summer? No. Ive been through anger-management, OK? So right now, I am sitting on a nice beach at Cape Cod, gazing out across the whitecaps. Oh, look, its a humpback whale. How pretty. Hes eating Gabe.
Pam|  Hey. What are you doing?
Dwight| From now on, if youre hot, sit on an ice pack.
Kevin| Well, what if youre cold?
Dwight| Like youd ever be cold, Kevin. Stop asking me hypothetical questions, OK? Im too busy.
Jim| Hey, Dwight, I dont know if you heard, but were supposed to be drinking out of weird backpacks instead of cups, like regular people.  Oh, you did hear.
Dwight|  Jim, you have one job to do. And you do it forgettably.  Those of us who are busy require hands-free hydration.
Dwight| Dwight Schrute, star salesman, beet farmer, bed-and-breakfast proprietor, aspiring freelance bodyguard. Add to that list owner of this building. Then burn the list.
Kelly| This summer, I did the minority executive training program at Yale. You guys, Im, like, really smart now. You dont even know. You could ask me, "Kelly, whats the biggest company in the world?" And Id be like, "blah blah blah, blah blah blah blah blah blah," giving you the exact right answer.
Luke| Coffee Monkeys arrived.
Oscar| The coffees supposed to be here at 9.
Luke| Here you go, Big O. Tiny.  Darryl Hannah.
Darryl| It says decaf. You get me decaf?
Luke| Ooh, yeah. Mustve been some sort of mix-up there. You could just drink it, or I could drive all the way back?
Darryl| My summer, I, um, blew out my knee playing softball. Ended up watching CNN most of the time. I dont know how were going to get out of Afghanistan. I hate the new assistant. Hes only been here for a week, and I hate him. 
Andy| New guy sucks. Calls me the Nard-Man. Im the Nard-Dog, okay? Nard-man is my father.
Luke| My name is Luke Cooper. I love cinema. My favorite movies are Citizen Kane and The Boondock Saints. 
Andy| That kid is the worst. Needs to be fired, Michael.
