Dwight|  Wow. Late every day this week. 
Pam|  We signed Cici up for this daycare. Its on the other side of town. The traffic... 
Dwight|  Why didnt I think of this before? Did you know that there is a daycare center opening right here in this building?
Jim|  Is there really?
Dwight|  Now that I own the building, Im looking for new sources of revenue. And a daycare center... Ha ha ha  Well I guess its not an evil idea. Its just a regular idea. But there is no good laugh for a regular idea. 
Dwight|  Welcome to the Sesame Avenue Daycare Center for infants and toddlers. 
Jim|  Aaah!
Mose|  Aaah!
Dwight|  You remember my cousin Mose.
Mose|  Welcome children.
Pam|  Were you painting in the dark? 
Jim|  Wait. Is this your place Dwight?
Dwight|  Oh no. I like to think of it as a kids place. Would you like a tour?
Pam|  I dont really think we need... 
Jim|  Oh... lets take the tour Pam. 
Pam|  Yeah.
Dwight|  Come on. Here is the language skills and cognitive development area. These are English... uh... letters.  I see you found out magical toy box Jim. 
Jim|  These are actually forks and knives from the break room.
Dwight|  Jim! To you and me, maybe, but, come on! To a childs imagination thats Mr. Fork and Lieutenant Knife and... Ms. Fork. 
Pam|  And a soy sauce packet. 
Dwight|  Oh! That shouldnt have been in there. Im embarrassed. 
Jim|  Dont beat yourself up. 
Dwight|  We come fully equipped with a restroom. Feeding trough, play bucket, and room for a plant, in success. 
Jim|  Who will be watching the children?
Dwight|  No one. The door locks from the outside. Escape is impossible. 
Jim|  Prove it. 
Dwight|  What?
Jim|  Were going to head outside, give it a whirl. I just want to see how it works. 
Dwight|  Oh no, no, no. 
Jim|  But Ill tell you this, if this works out, I think were looking real good. 
Dwight|  I promise you, that door locks! 
Toby|  Whats something that you...
Michael|  This is the worst! You are the worst! I hate looking at your face! I wanna smash it! 
Michael|  Ok, you know what? I made a mistake. I committed corporate punishment. My bad. Its over. Its done. But my punishment is ... um ... worse than hell. 
Toby|  Michael has been assigned six hours of mandatory counseling with a trained professional. I actually have a degree in social work. I mean, I know a lot of people would ask a few standard questions, and check off a few boxes, but Ive got a chance to do some good here. 
Michael|  I know what you want to ask me. "Did your mom ever see you naked?" 
Toby|  We can do this with more privacy.
