Dwight|  Hola, hola. Necesito une bueno worker. Tu esporte! Come on!  Que? QUE?
Mexican Man| 
Son| We dont go with that man. Ive seen several men go with that man and not come back. 
Mexican Man| 
Son| Weve lost friends.
Mexican Man| 
Son| We dont know what he does with them.
Mexican Man| 
Son| I dont want to talk about it anymore.
Dwight| I pick up day laborers and tell them theyll get paid at six p.m. At five forty five, a certain INS agent by the name of Mose Schrute throws them in the back of a van, drops them off in the middle of Harrisburg and tells them its Canada.
Nate| Hola amigo.
Dwight| Hola, tu es une buena worker?
Nate| Si, yo muy bueno worker.
Dwight| Y el accento, donde are you from?
Nate| Scranton, y before that La Philadelphia.
Dwight| You speak English?
Nate| Yes, Im really good at English.
Dwight| Ok, good. Me too, get in the car.
Nate|  Okay.
Dwight| 
Angela|  Whos this guy by our cars?
Dwight| That is my new maintenance worker, Nate. And youll be happy to know that hes taking care of that hornets nest that youve been griping about.
Phyllis| Yeah, I got stung up my dress.
Dwight| Poor hornet.
Dwight|  I left him all the tools he needs. This is do or die. If he chooses correctly hell conquer the hornets...
Ryan| But if he doesnt?
Dwight| Hell die.
Kelly| What?
Andy| Uhh, beg your pardon?
Dwight| When did the phrase do or die become so corrupted?
Nate| 
Kelly| Is that a blow torch?!
Pam| No. No no no! 
Dwight| Interesting choice...
Pam|  Yes!
Andy| Very very smart.
Pam| Yeah, go away. 
Nate| 
Employees except Dwight| No! No no!
Dwight| A bat! Impressive...
Andy| Oh its stinging him! Ow! Ow! 
Michel|  Good morning Erin, any mustaches? I mean messages?
Erin|  Terrific!
Michael| There are many reasons a man would wear a fake mustache to work.  He is a fan of the outrageous. He loves to surprise! He loves... other things as well.
Phyllis|  God! Wow!
Michael|  Look,  Its a pimple Phyllis. Avrile Lavigne gets them all the time and she rocks harder than anyone alive.
Phyllis| Thats no pimple Michael.
Michael| You mean cancer?
Pam| What? No! Wait, no. Definitely not cancer.
Pam| Its just good to stop a Michael train of thought early before it derails and destroys the entire town.
Meredith| Wait, wait, wait, wait, wait. Its just a cold sore.
Michael| It is?
Meredith| Yup, just a cold sore.
Michael| Just a cold sore, thank you. Phyllis, I dont have acne. I have a cold sore. I dont even have a cold. I dont know how I got it.
Kevin| I know how you got it. 
Michael| How?
Kevin| Michael come on. A cold sore is herpes.
Michael| What?
Pam| Wait! What you should do, Michael, is have a doctor take a look at it. Because we really dont know what that is.
Meredith| I know tons and tons of people who have herpes. I have it myself. Thats what it is.
Kevin| I never seen herpes on you.
Meredith| Because its on my genitals, genius.
Kevin| You have a penis?
Andy| Michael, have you ever been tested for STDs?
Michael| Yeah! My last physical when I was forty.
Jim| That was like, ten years ago.
Michael| No! It was like four years ago!
Kevin| Michael, youre at least forty six!
Michael| Why at least? If youre guessing forty six just say forty six. 
Kelly| Can we please talk about how gross Meredith is?
