Andy| What about this one? Its kinda badass, right? Just seems kinda crazy in a way I might need right now.
Jim| I dont know.  Oh! Thats... not... yours.
Jim| Stanley just drank OJ out of my mug, and didnt seem to realize that it wasnt his hot coffee. So the question has to be asked, is there no limit to what he wont notice?
Stanley| Whats a seven letter word for purse?
Kevin|  Satchel!
Stanley| Nope. Starts with an H.
Andy|  Handbag.
Stanley| Hmmm.  Thank you.
Andy| Shh! Shhh! 
Michael|  All right, everybody, take a seat. As you may have heard, our branch on the planet Jupiter is up eight thousand percent in sales! 
All| Yay! 
Stanley|  Hold up! That clock is slow. It is five oclock, I will see you all tomorrow
Pam|  Bye, Stanley! Love you! 
Dwight|  So long, Stanley!
Stanley| Night, everybody.
Oscar| So what kind of statement are you making with that costume, Kevin?
Kevin| The statement that I am making, Oscar, is that I kind of look like Michael Moore.
Erin| Dunder Mifflin, this is Erin! Happy Halloween! How can I haunt you today?
Michael| A lot of people are really getting into Halloween this year!  Six seconds, MacGruber!  Pams got a lot of fun stuff planned!  Uh, two seconds MacGruber!  Including a... costume contest, and bobbing for apples, and a Ouija board... OHHH! BOOM! OHH EXPLOSION!  MACGRUBERRRR!
Pam| People are really into the costume contest this year. Might have something to do with the prize, maybe youve heard of it. The 2011 Scranton Wilkes-Barre coupon book worth over fifteen thousand dollars in savings!
Jim| Stop. 
Dwight|  Too late! If I was the real Scranton Strangler, youd be so strangled right now. If youre out there, strangler, you will get caught! By me. 
Jim| Sounds like someones really trying to convince us that hes not the Scranton Strangler.
Dwight| To my chickens Im the Scranton Strangler.   Oh-ho! Thats very funny. Looks like someone decided to dress up as old Dwight Schrutes mom.
Pam| What?
Dwight| Youre only one third as beautiful and only half her height.
Pam| Im supposed to be Olive Oyl. And it makes more sense when Im standing next to Popeye, but... Jim doesnt want to put his costume on.
Jim|  I am Popeye!
Jim| Ive never really been a costume guy. Even when I was a kid, it just felt like something I was too old for. And then this morning, when Pam hands me this little number  ...no.
Gabe|  In case you cant read m-m-my Poker Face...  we will be reviewing our sales policies.  I have ten seconds to read them or this whole place blows up.
Michael| MACGRUBER!
Todd Packer| Lame. Why dont witches wear panties? 
Michael| Oh, here we go!
Todd Packer| Because they need to grip the broom!
Michael|  OH! Who likes to water ski on Lake Erie? No wai-where does Dracula like to water ski?
Dwight| Lake Erie.
Gabe|  When our warehouse workers make deliveries, theyre going to be encouraged to offer clients extra products. And then they will split those commissions with sales.
Michael| So, wait, drivers are going to be able to sell paper on the road?
Gabe| That is correct.
Todd Packer| Has anyone started calling you "Gabe-wad" yet?
Gabe| Not here.
Danny| Gabe-wad.
Gabe| Okay, guys, fun is fun, but-
Michael| Blackula!
Darryl| Dracula.
Michael| Oh, so... I almost forgot. Youll find this hilarious. Apparently corporate is going to have drivers sell paper on their routes now. Thats like, exactly sort of the idea that you had.
Darryl| Yes. I do remember saying something like that to you. 
Michael| Yeah. Im sorry. I blew this. You should have gotten credit for that, man.
Darryl| Im just glad were gonna try it out.
Michael| Really? Were good?
Darryl| Yeah. Were cool.
Michael| Okay.  Okay.
Darryl| Whats under your shirt?
Michael| Oh. Its a ream of paper. Thought you might hit me.
Michael| Darryl Philbin is the greatest guy in the world. And you know what Id like? I would like to have all the racists brought together and take Darryl Philbin out to lunch. Just to see what theyre missing. 
Toby|  Its a great stick, right?
Ryan|  Its really good. Its a classic. I think you might win the whole thing with that.
Toby| Thanks!
Oscar| Everyone realizes that this coupon book isnt actually worth fifteen thousand dollars, right? Youd have to spend two hundred thousand dollars on crap you dont actually need to get fifteen thousand dollars worth of benefits. Im not the only one who sees this, right?
Toby| No.
Ryan| No.
Kelly| I get that. I get that.
Danny| Excuse me, everybody. I want to invite you all to the Halloween party Im having at my bar.
Kevin| You own a bar?
Danny| Public School, at exit 11. 
Oscar| Thats a great name. Youre hilarious. A plus!
Danny| So. Youre all on the list!
Ryan| Hey, man, can I get a plus five? Its all guys.
Creed| Hey, whats the crowd like, Danny? Our age?
Danny| Okay.
Kevin| I dont think that she would leave Jim for Danny.
Phyllis| I dont know, theyre both handsome.
Dwight| Pam is gonna choose whoever has a scent most like that of her father. Does anyone remember what her dad smelled like?
Phyllis| I think he-
Creed| Hey hey hey, quiet, here she comes! Did you hear about that Danny guy? Heard he used to date Pam.
Jim| So four years ago, when I was in Stamford, Connecticut, and dating someone else, Pam went on two dates with Danny. Which was obviously the greatest love story ever told, given how much people are walking on eggshells around us.
Pam| We were basically Romeo and Juliet.
Jim| Thats right.
Pam| Except where Juliet doesnt have that great a time and Romeo doesnt call back after two dates.
Jim| Yikes.
Pam| But Ive learned to love again.  Hes a cartoon sailor.
Jim| Oh, no.
Pam| And looks so handsome in his UNIFORM! Please?
Jim| No. No, Im not gonna-no.
Andy| Tuna! Tuna! Do you want us to skip this party?
Jim| I dont care.
Kevin| I am never gonna forget what Danny did to Pam. I forget nothing. Im like an elephant in that way.
Andy| You know what else?  The-this... this sucks for Jim. Right? But it also sucks for us. Because we dont get invited to a ton of Halloween parties. 
Kevin| Yeah, and everyone else is gonna be there. Stanley, Phyllis, Angela, Darryl... Creeds a maybe.
Andy|  Creeds going?!
Jim| Madge from the warehouse just made her first sale. Madge. We should have been doing this a long time ago.
Michael| Erin! Would you please do me a solid and get Darryl Philbin on the speakerphone?
Darryl|  Hello?
Michael| Hi, Darryl, come out here, please.
Darryl| Im good.
Michael| You need to stop being so shy, come out here, and embrace who you really are, superstar!
Darryl| This is embarrassing, Michael.
Michael| Yeah, I bet it is! If youre gonna do your job well here, you gotta get used to being embarrassed.
Darryl| Let me put my shoes on. 
Pam|  Um, hit the speakerphone button. The speakerphone button? The same button as you hit before... or sit on it.
Michael| This whole delivery slash sales idea? You know whose idea that was? That was Darryl Philbins. He thought of that way before the corporate fat suits.
Angela| So, what happened?
Michael| I got in the way. I said no. And it just stopped. But then corporate comes up with this idea, but you know what? They need to know that it was yours. And I dont care if I take a bullet. Were gonna call them, were gonna put them on speakerphone right now...
Erin| Oh! 
Michael| And we are going to straighten this out.
Andy| Screw corporate! They probably stole the idea anyway.
Michael| Mmhm!
Gabe| Uh uh. Corporate stole nothing, okay? Darryl told me, and then I told them, giving Darryl full credit, so... no need to  screw corporate! Or anything like that, so. Lets give Darryl a round of applause, as planned. 
Michael| Im a little peeved at Darryl right now.
Dwight| He went to Gabe behind your back.
Michael| No, he didnt go behind my back. He went over my head.
Dwight| He went over your head to go behind your back. 
Michael| What is taking someone from behind?
Dwight| No. Shh. Michael, listen. This cannot stand. We cant have workers going straight to corporate. Makes your job superfluous. 
Michael| It was a good idea, though.
Dwight| Yeah. Heres another good idea. Corporate chain of command. We need to strangle Darryls idea. 
Andy| Hey, Danny.
Danny| Hey.
Andy| Im really sorry, but we cant come to your party tonight.
Danny| I was looking forward to throwing some darts with you guys.
Andy| You were?
Kevin| Okay, well then, uh, I mean,  maybe we could do it like... next Halloween.
Danny| For sure.
Andy| Were just like, totally caught in the middle here.
Danny| What are you talking about?
Andy| Well Jim and Pam basically begged us not to go...
Danny| Jim and Pam really dont want you to go?
Kevin| Theyre really upset about the whole Danny situation.
Danny| Ill talk to them.
Kevin| Yeah, but wait, dont tell them that we said anything to you.
Danny| Okay.
Kevin| Or youre dead.
Danny| Okay.
Kevin| Okay.
Erin| Kelly! Great costume!
Toby| Oh.
Angela| KELLY! You cannot change costumes in the middle of the day! Pam, shes out.
Kelly| Um, if Im out, Im going to sue this ENTIRE COMPANY for discrimination.
Oscar| Guys? Youre arguing over a one in sixteen chance. Over a prize worth... forty bucks.
Kelly| Um, fifteen thousand bucks, Oscar.
Angela| Yeah, shut it, Oscar. Pam?
Angela| This is an amazing prize. I mean, I dont even want to give Pam a compliment, because shes so blegh, but she did a good job. I really want that coupon book.
Dwight| Garbage magnet.  Garbage magnet, God! Magnets are interesting enough, you dont need to tart them up with some design.  I cant believe this doesnt make you mad!
Michael|  What the hell are they talking about?
Dwight| Hmm, Kevin and Gabe. Probably about the extremes of the human physique.
Michael| Do you think that Kevin is going over my head? I dont- Oh my GOD. Okay. All right. All right. You know what? Thats inappropriate, Kevin. I am your boss, and if you have something to say, it goes through me, and then I take it to Gabe. Chain of command. Do you understand?
Kevin| I am so sorry.
Michael| Oh, youre sorry? 
Kevin| I just thought-
Michael| What did you just thought? 
Kevin| Well, Gabe asked me if there were any really cool Lady Gaga moves that he could do for the catwalk. And so then I tol- 
Michael| All right.
Kevin| I told him that there was this one cool move where she powers down like a robot.
Michael| Okay.
Kevin| Okay? But I- I am so sorry that I didnt tell you first.
Michael| Well, dont let it happen again.
Kevin|  You think that I would let this happen again?! NO WAY JOSE.
Michael| I-
Kevin|  you, Gabe!
Gabe| Okay...
Danny| Can you imagine? Its just crazy.
Jim| That is crazy. We would never care if Andy or Kevin went to your party.
Danny| Look, Im just glad we can laugh about it. Because I was a little nervous about coming to work here, with, you know, our history.
Pam| Oh, my gosh! People keep blowing it out of proportion! Its not even a history.
Danny| Exactly.
Jim| Its not like you guys had some long relationship right? Big painful breakup I dont know about? 
Danny| No! Two or three dates.
Pam| It was two.
Danny| Was it two? I thought it was three.
Pam| No, we um, we had plans for a third, but then I dont know, you never called me back, so...
Jim| Oooh! You cant handle the truth! 
Danny|  Well, that does not sound like me. 
Pam| Yeah?  It was though, thats what happened. 
Danny|  Well, great, I just wanted to make sure that things werent weird.
Pam| Hmm-mm.
Michael| Okay, this whole going over my head-gate? Is making people act weird. The chain of command is crumbling. Do you know what just happened? I just made Kevin cry. And Gabe looks like Lady Gaga. Thats not Halloween. Halloween should be a day in which we honor monsters and not be mad at each other.
Darryl| Im not mad. Are you mad?
Michael| You went over my head. And then you lied to my face. So my head and my face have taken a beating.
Darryl| Well, Im sorry if it seems that way to you.
Michael| Okay, that might help. If you said "Im sorry" in front of everybody.
Darryl| Mike.
Michael| In front of me.
Darryl| You made a bad call. And I fixed it. So Im not apologizing.
Michael| So thats it.
Darryl| Thats it.
Michael| Is it? 
Darryl| Yes.
Andy| Sookehhh.  Bill Compton, from True Blood.
Stanley| How many freakin vampires am I supposed to care about these days?
Oscar| I guess you could say Im still in costume. Im a rational consumer.
Phyllis| Oh.
Oscar| Stupid coupon booklet. Have you seen my costume? Im a rational consumer.
Ryan| Yeah, I uh, heard you say it to Phyllis. Thats a good line.
Pam| Okay, everybody! After you walk the runway everyone has to vote for who gets the coupon book. And you cant vote for yourself.
Kevin| Pam. Can you vote for other people?
Michael| Yeah, I gotta get in on this.  Hey, its cool, man, I work in the warehouse! Im cool! Im hip and Im jive! And I dont care about nobody! Do you know who I am? Happy Halloween, jerk!
Michael| Still dont know who I am? Ill give you a hint. I go over other peoples heads.
Pam| Michael, this is a bad idea.
Michael| Whats a bad idea?
Pam| Dressing up as somebody-I mean, when has that ever worked for you?
Michael| NEVER!  Okay, you know what? Fine.  Im not Darryl. And thank God Im not Darryl.
Kelly| Could you for once just let us enjoy a party instead of making it about all your issues?
Stanley|  Raaah! 
Oscar| I present to you the  rational consumer, as it were.
Pam| Angela as the nurse!
Angela| I dont like your tone! Look, they were sold out of all the other costumes, okay? I think we all live in the real world, here. Lets not pretend to be unaware of what sells in this office.
Phyllis| What should we ask?
Michael| Hey, can I play? Why dont you ask if Darryl is a bad friend who backstabs people in the back?
Jim| We have one question to ask the spirit world and you want us to ask that?
Erin| He says no.
Michael| Aaah! Darryl moved it. You moved it.
Darryl| No.
Michael| Dwight, you saw Darryl move it, right?
Dwight| Lets just say I saw exactly what the two of you wanted me to see.
Dwight| I know how to sit on a fence. Hell, I can even sleep on a fence. The trick is to do it face down with the post in your mouth. 
Michael| If you had one word you would use to describe Darryl what would that word be?
