Pam| I know a lot of us have been feeling under the weather lately. Its that time of year. And according to a study done by the University of Arizona, theyve discovered that your keyboards have hundreds of times more bacteria, per square inch, than a toilet seat.
Kelly| I heard your momma had more bacteria per square inch than a toilet seat.
Michael| Thats true, thats true. I dated her momma, and you know what-
Jim| Stop.
Michael|  Um... kay. Uh, alright.
Pam| One of the simplest ways to cut down on the spread of germs is to use something called the vampire cough.
Erin| Di-Did you say vampire?
Pam| Oh, no, its just that if a vampire had to cough, he would do it like this. 
Dwight| Uh-huh. Right. And ruin their cloaks? Do you have any idea how expensive wool is in Transylvania?  Cause of the euro.
Pam| Well, other things you can do to help cut down on the spread of disease are to wash your hands regularly. Dont come in if youre sick.
Dwight|  Uh... 
Pam| And get your flu shot. Also, Im going to set up hand sanitizing stations around the office.
Dwight| NO, no, no. They will cost you your life.
Jim| Elaborate.
Dwight| The worst thing you can do for your immune system is to coddle it. They need to fight their own battles. If Sabre really cared about our well-being, they would set up hand de-sanitizing stations. A simple bowl at every juncture filled with dirt, vomit, fecal matter... 
Pam| Im not - Im not going to do that. Im not going to do that.
Dwight| Exposing yourself to germs is the best way to make yourself stronger.
Jim| So by that rationale, if I had to sneeze, I should just sneeze on you.
Dwight| Yes. I would welcome it.
Jim|  Youre welcome.
Dwight| The principle is sound. To avoid illness, expose yourself to germs, enabling your immune system to develop antibodies. I dont know why everyone doesnt do this. Maybe they have something against living forever.
Angela| Jim. Pam.  And the precious bundle of Gods gift to everything.  I wish you both a pleasant day.  And you too. Yes. Praise God. Ok.
Pam| Ceces getting christened today.
Jim| Big day.
Pam| Everyone from work is here. We werent planning on that.
Jim| Nope. 
Michael| Top of the Sunday morning to you.
Andy| And a top of the day to you too, sir.
Ryan| Hope you brought your pipes. Were about to smoke the opium of the masses.
Michael| Oh, yes.  Doobie-doobie doo.
Michael| I invited everyone in the office because its not a day for just Jim or Pam or the baby or me. It is about us all. And I thought we should all celebrate... my joy. And our, all of ours joys.
Andy|  Ah, man. 
Andy| Does the Nard-dog want Nard-pups? Yeah. I want a big ol litter of Nard-pups. All jumping around, sucking on the teet. Put em in a box, give em to my neighbors. Yeah, I want kids.
Dwight|  For all your paper and printer needs. For all your paper and printer needs. For all your paper and printer needs.
Toby| Sunday church service... its been a few years. The Big Guy and I, we got some catching up to do.
Michael|  Hey. Hey. I got an offer that you cant refuse. Scooch over.
Pam| Oh, Michael, this is just for family.
Michael| But Im the Godfather.
Jim| It is really funny, but you know that can be confusing at a christening because you are not the godfather.
Michael| Are you talking to me?
Jim|  Ok, your turn.
Michael| Scooch. Before I shoot you in the head.
Pam| Okay, Michael. Um, you know I love when you do that voice, but today, Im so sorry. I need you to tell me that you know youre not Ceces godfather.
Michael| Yeah.
Pam| Im sorry, Michael. I need you to say it. Im so sorry.
Michael|  Im not the godfather.
Pam| Okay, thank you.
Michael|  So who is the godfather?
Pam| Our friend, Seth, and his wife there.
Michael| Okay. Old friend, like, youve known him since kindergarten?
Pam| No, I met his wife in Mommy and Me. Theyre a great couple. You should meet them later.
Michael| No, I have plenty of friends, so... all right, well, you have great seats. Enjoy the show.
Pam| Okay. Thank you for coming, Michael.
Michael| I dont even know how to say this, but Cece is turning out to be a little b-i-t-c-h. And thats not true, but her parents are kind of boxing me out.
Church congregation|  We ask you, Lord, come to our aid.
Pastor| Good morning.
All| Good morning.
Michael| Good morning.
Pastor| What a terrific day this is, and not just because the Eagles are playing. 
 Pastor| You may have seen the bus out front. Today we also say good-bye to our young adult ministry. Theyre leaving for three months to build a school for the village of Quimixto, in Cabo Corrientes, Mexico.
Ryan| Ive heard of that place. If you go to Cabo San Lucas, all the prostitutes are from Cabo Corrientes.
Toby|  Okay, this is, all right, this is silly.   Nope, nope, nope, nope, nope, nope, nope, nope, nope, nope, nope... 
Female church member| And thank you for your prayers for Justin. We hope for a speedy recovery.
Pastor| Thank you. Anyone else with a prayer or a remembrance? 
Dwight| Good morning. Dwight Schrute. Thank you all for your prayers and your remembrances. Like Justin and his disfigurement, I too have had a horrible year. They say that the middle class is disappearing, and with it, the soul of America. So, as a gift to this beautiful congregation, I would like to offer a 4% discount on all Dunder Mifflin Sabre products if you buy a printer at full price.
Pastor| Christening calls to repentance, to faithfulness, and to discipleship. Weve come to celebrate these babies.
Pam|  Somebody needs a change.
Jim| Right now?
Pam| Well, she cant bring this up with her.
Jim| Okay. All right, come on.  Where are we going? Where are we going? Were gonna take a little field trip.
Jim|  Okay. Okay. Theres my girl. All right. Hold on one second. There we go. Whats that face for? Oh, my-oh, my God. Cece, no. No, no, no, not on the dress! Cece, stop!
Pam|  What?
Jim| What?
Pam| Honey, no.
Jim| Yes.
Pam| No, no.
Jim| This is happening.
Pam| We have an extra outfit in the bag.
Jim| No. Theres no extra outfit in the bag.
Pam| You said you checked it.
Jim| I did... say that.
Pastor| At this time, will the families please come join me?
Michael| Jim and Pam and Cece really seem to be clicking. They are totally gelling. Its as if they leave my office and they go to another office that sells happiness. And good for them. Thats great, because, you know, the paper industrys not gonna last forever.
Pastor| Before we go, Id like to remind everyone that the "Halberts" have been kind enough to host a reception next door immediately following the service.
Jim| Mm. No. Wrong on both counts.
