Erin|  They caught the Scranton Stranger, they trapped him in his house. 
Reporter| Police have now surrounded the apartment complex.
Michael|  They have him surrounded. Its the SWAT. The SWATs arriving.
Reporter| It is unknown if he is armed with anything.
Kevin|  They should do that thing where they play the really good music to get him to come out.
Dwight|  They shouldnt televise any of this, it just encourages copy-cats.
Angela| Just say copies, why do you have to drag cats into this.
Gabe| Okay, while this is interesting we should get back to work. These stand-offs can last a long time. What if its another Waco.
Erin| Its pronounced wacko.
Jim| Some events are so news worthy, so historic, that you have to stop everything to watch. Balloon Boy, Michael Jacksons funeral. Things that if you didnt see them live, you wouldnt really care that you didnt see them at all.
Kelly| Columbia Street in Washington Ave! When is he gonna come out? 
Andy| I bet hes wishing he had a hybrid, right? Sixty miles to the gallon in the city.
Kevin| No! I bet hes wishing he was strangling someone!
Michael| Ok, thats our street! Thats our street! Hes going down our street!  Come on everybody! 
Michael|  There it is! I saw it! I saw it! He went right by! You missed it! 
Michael|  Grandpa, where were you the day the the Scranton Strangler was caught?  Well kiddo, I was there. I was there... And Ill tell you what.  You go sell these and buy yourself a nice spaceship.
Erin| Michael!
Michael| Walk with me.
Erin| Gabe and I are having a party, and everyones invited, and its at his house apartment and were gonna watch Glee.
Michael|  Glee? What is Glee, some television program? Jim I need that thing stat!
Jim|  Okay?
Erin| Yeah its a TV show...
Michael| Dwight! Sign please. I dont have time for parties I dont have time for TV shows. Stanley! What time is that thing I have to do?
Stanley| I...
Michael| Cancel it! Are you still here?  
Erin| Uhh. Its just that its our first party together so...
Michael| MMM MMM MM MM MM! Did you hear what I said? Im a very busy man. I dont have time for your TV show.
Erin|  Okay, sorry.
Michael| Im joking.
Erin| Wait which one?
Michael| Im joking. Im kidding around! Im not actually angry.  Im not busy at all, Im not doing anything. And I know what Glee is, Im a total Gleek.
Erin| Good me too!
Michael| You know who my favorite character is? The invalid.  I am coming to your party.
Erin| I dont know if Michael likes Gabe that much, but theres this thing on Glee called mash-up, where two things that dont go together, make one great song. Take Gabe, take Michael, you make Gay Mike. Best friends.
Kelly|  No really? Is there time to change this?! That show! Now first they say that Mr. Schu doesnt know anything about choreography, then like three episodes later hes this fantastic choreographer?! Pick a lane people!
Kelly| And what was with Jesses sudden turn on Rachel, between Dream-On and Funk. Where the heck did that come from?! Honestly that show, its just. Its irresponsible.
Angela| Are you going? 
Dwight| Not because I want to. With all the feeling to base a show around. Glee? Thirst. Now thats a show Id watch.
Angela| I would watch that.
Dwight| Tonight might be a convenient night for us to have some intercourse.
Andy|  Youre having a party at Gabes apartment?
Erin| Mhmm! Id love it if you were there.
Andy| You would?
Erin| You and Michael are always the life of the party!
Andy| Try and keep me from coming!
Erin| Why would I keep you from coming?
Andy| Try and hide it, I will track this party down!
Erin| Why would I hide it! 
Michael| Kevin!
Kevin| Hey, you going tonight?
Michael| Yes, I am. Are you?
Kevin| Yeah! You gotta go to the bosss party!
Michael| What? No Gabe is... Gabe is not the boss.
Kevin| No hes not the boss.
Michael| Why did you just say he was the boss?
Kevin| Cause, youre the boss!
Michael| Yeeee... Guys! Do you consider Gabe to be the boss?
Erin|  Its make your own pizza night. Isnt Gabes place so nice?
Michael| Uh huh...
Erin| Look at the size of those wine glasses Michael!
Michael| Big...
Erin| Those posters used to be real French ads.
Michael| All right!
Gabe| So these are your cheeses, your ham, your sausages, your herbs, and your vegetables. Heres whats been done, so start creating. Some times it helps to think of a part of the world, and...
Michael|  Okay okay okay.
Michael| Gabe likes to entertain a lot, ad he cooks in an oven, and all that jazz. I just have a different life style. They have these bags of vegetables that steam right inside their own bag. So Ill get a few ingredients, sit down in front of the TV, a bag of vegetables, before you know it Im ready for bed!
Michael| 
Gabe| You dont really toss the dough. 
Michael| Try and destroy the old ways, Gabe, well I will not let you. 
Gabe|  Welcome to my Man Cave! I did my senior year in prog in Japan. Best year of my life.
Jim| You play? 
Gabe| Oh! I like to play soundscapes. I imagine one instant of a song, expanded to be the size of the universe.
Jim| You cant even do that.
Cece| 
Pam| Shes up! Great!
Pam| Cece, is reverse cycling, which means she sleeps all day and is up all night. Which basically means Im up all day and Im up all night. And if it doesnt stop soon, I am going to be up all night.
Erin|  The shows starting. The shows starting! The shows starting! Shows starting! 
Phyllis|  Whos that?
Kelly| Finn.
Phyllis| Whos that?
Kelly| Rachel.
Phyllis| Which ones Glee?
Kelly| You have to stop.
Michael| Wheres Michael? Wheres Michael? We cant start without Michael! Oh here he is! Ohhhh. Yayyy, and let the show begin! 
Gabe|  Its a little loud...
Michael| Actually I think its not loud enough. May I? Thank you sah!  There we go. Glee right? Rock and roll! Turn it up to elevaan! Spinal Cord!
Gabe|  Some of us are trying to have a conversation.
Michael| Well some of us are trying to have a...
Gabe| Ill just turn the captions on.
Michael|  Well I will turn up the volume.
Gabe| Thats for the other box.
Michael| Okay...  Heeeeres what were gonna do! Right down the hall is a bed room. All the real Glee fans are gonna go down the hall to the real Glee party in the bedroom, follow me! Where we can crank it!
Oscar|  That one! Shes been in a couple episodes of Friday Night...
Kelly| You know what? Im so confused. Is this a Glee watching party? Or a Glee pausing party? Cause we keep stopping it, to get a history lesson from...
Oscar| You know what? I didnt read the rules, I didnt know the rules. There, its on. I didnt read the rule book.
Pam|  Michael? Maybe you should try gong in the other room again. You can have my seat. Its closer to the TV. Itll seem louder.
Michael| Pam I have a loaded gun in my desk at work. If I ever start acting like that weenie Gabe I want you to take that gun, and I want you to shoot me like a hundred times in the groin until Im dead. Okay?
Pam| You have a gun in your desk?
Ryan|  Hey! Marantz Tubes Sterio. From the 1970s. I respect that. I respect that a lot. Oh hoho. The five Chinese Berilidy Herbs. No kidding. This is powdered seahorse. They say that fifteen Chinese soldiers fought off the entire army of Gangus Kong just using this stuff. You know what they say...
Andy| No what?
Ryan| What is this, Samurai wood cuts? Yep. Pretty erotic.
Andy| Yeah.
Michael|  Better men than Gabe have tried to be my boss. David got fired. Charles got fired. Jan went crazy. Ed Truck, who I liked, got decapitated.
Dwight| Michael, I find it absolutely disgraceful that no one followed you in here for your walk-out. I took the liberty of making a list of everyone who didnt follow you in here. Jim. Oscar. Creed. Me, at first.
Pam| Maybe I should go.
Dwight|  Kelly. Kev-  Are you gonna quiet that baby? Or do I have to?  In the Schrute family, the youngest child always raises the others. Ive been raising children since I was a baby.
Daryl|  Take a shot.
Andy| Oh thanks.
Daryl| Wow, so much Asia stuff. I wonder if theres a guy in China right now, looking at a bunch of our stuff.
Andy| Why does Erin like Gabe?
Daryl| Andy look, all I know is that if I was a girl, and I had to choose between the tall dude who loved Asia, and the you looking dude who loves sweaters and wearing sweaters... Id choose you.
Andy| Thats really nice, thank you.
Daryl| And Id blow your mind.
Andy| 
Jim| 
Oscar| Jim what are you doing?
Jim| Oh, it was commercial break so I just wanted to check the scores.
Oscar| Flip it back please.
Jim| Okay... 
Kelly| The shows back on, what happened?
Ryan| Were behind.
Oscar| Go to the recorded version.
Kelly| Oh my God what song was that?
Erin| I wasnt recording it.
Oscar| What?!
Kelly|  What song was it?
Erin| Wait, why do you have to record it?
Oscar| This is why Erin! Were living it! Start recording now!
Erin| Jim. 
Kelly| Okay, they did Blinded by the Light and they did it with an actual blind guy. Was it worth it Jim?  Cause we missed it!
Pam| If I could get her sleeping normally I could get my life back.
Dwight| That would be nice wouldnt it?
Pam| I cant even talk about it.
Dwight| You know its not really necessary for me to sit here holding her all night. Just go into Gabes refrigerator, get a lump of suit, or any kind of congealed animal fat will do rally, tie a piece of string to it and the other end to her toe, put the suit in her mouth, shell be happy for hours.
Pam| I kind of doubt Gabe has suit.
Dwight| Really? Oh... Then here we are.
Erin| Michael. Gabe is making the pigs in a blanket, and he kind of needs some  help so,  he was wondering if you could help him. 
Andy|  Ladies and gentlemen please welcome, Phyllis Vance!  Isnt that White Diamonds Maya Smith Taylor?
Phyllis| You know your perfumes!
Andy| My nanny used to wear that.
Andy| I just ate powdered seahorse! I have to admit I did not think it was gonna work, but it is totally working!  I feel exactly like a seahorse!  Blub blub blub blub blub blub blub blub.
Erin| Look who I found! 
Michael| Yeah, well I wasnt very hard to find.
Gabe| Lets go ahead and wash our hands.
Michael| Is this the same dough you used for the pizza crust?
Gabe| Yep! Waste not right?
Michael| So these are pizza dogs, they arent pigs in a blanket per se.
Erin| Michael knows everything there is to know about snacks,
Michael| Well...
Erin| Gabe was born in 1982. He was the longest baby in the hospital.
Michael| Hes the longest baby in this room.
Erin| Whats the longest thing youve ever seen?  For me it was the tale from Jets.
Gabe| Erin you dont have to...
Michael| You know what Erin you do have to.
Gabe| Michael! You are making this harder than it has to be.
Michael|  Thats what she said. 
Jim|  Hey.
Pam| Its a miracle. She loves him.
Jim| I dont know about, love...
Dwight| She loves me.
Angela|  Outside my car in two minutes.
Dwight| Well somethings come up, I have to go.
Pam| No no no no no! Shell wake up!
Dwight| I have something to do.
Pam| Look, I know what you have to do, please stay with Cece. Dwight? Ive always considered for us to be very good friends. Great friends! Remember your concussion?
Dwight| I do. But you married my worst enemy.
Jim| Well I think enemys a strong word. Cause I think we have a really charming back and forth. And-
Dwight| Enough. I will require beer and pizza to think this over.
Pam| Absolutely! 
Dwight| From Jim.
Jim| I dont think thats gonna...
Pam| Do it!
Jim| What kind of pizza would you like?
Dwight| Surprise me. No! Pepperoni.
Michael|  Okay... Alright.
TV| And the winner is, by two votes- 
Kelly| Ahhh! Whats going on?!?!
Andy|  Hey Creed, would you read Chinese?
Creed| Beleniege!
Andy| What does this say?
Creed| HI mahhhh. Boo yowww. Gunjo! Ooh uncow!
Andy|  Hello UPS! Still waiting on that five minutes with Erin order. Oh never mind its here. Oh if it isnt the bell of the ball!  You throw a lovely party ma lady...
Erin|  Are you having a good time?
Andy| Did you wear my favorite outfit on purpose?
