Dwight|  Uh-Oh. Okay, okay, nobody panic. Listen Up, listen up.  Everyone, follow me to the shelter. Weve got enough food for 14 days. After that, we have a difficult conversation. 
Michael|  My Bad. Space Heater and Fan were both on high, plugged into the same outlet.
Jim| Uh, its saying the server went down? Does Anybody know that password? Cause otherwise we cant do any work.
Michael| Uh... try "password".
Jim| Nope.
Dwight| Try zero, Zero, Zero, Zero, zero, zero.
Jim| No.
Dwight| Okay, now try Zero, Zero, Zero, Zero, zero, one.
Jim| Okay, Im not doing every number. 
Pam| Wait, um, does anyone remember when it was set up? 
Michael| Uh... it was like eight years ago?
Pam| Lord of the Ring stuff? I dont know, Im just trying to think of things that were happening at the time.
Erin| Um, everyone was getting their drivers license.
Jim| Why dont we just call the I.T. Guy who set it up? Whats the name of the guy in Glasses, again?
Michael| Okay, moving backwards, our I.T. Guys have been...  Glasses, Turban, Ear Hair, Fatty 3, Shorts, Fatty 2, Lozenge, and Fatso. I think Lozenge was the one who installed it.
Andy| I got it, try, um--
Michael| You know what? It made me laugh when I heard it, but Pam got really offended.
Kevin| Big Boobs. 
Meridith| Drama Queen? 
Angela| Nosy?
Pam| Youre typing "Big Boobs"? 
Jim| Im trying everything.
Dwight| Try "Big Boobs" with a "Z".
Jim| Thats--  the password. Were in.
Dwight| All Right
Kevin| Wow.
Dwight| Yes.
Michael| The important thing is... this kept us secure people.
Michael| Morning.
Ryan| Hows It Going?
Ryan| Hey, Im WUPHF. 
Michael|  Im Facebook.
Ryan| Whats up Facebook?
Michael| I sent you a Facebook message yesterday, I still havent heard anything back. 
Ryan| You shouldve sent me a WUPHF.
Michael| A what? 
Ryan|  When you send a WUPHF, it goes to your home phone, Email, Facebook, Twitter and homescreen. All at the same time. 
Robotic Voice| WUPHF.
Ryan and Michael| WUPHF! 
Michael| Dot com!
Ryan|  Thanks Erin.
Erin| Sure.
Erin| Pam.
Pam| Mm-Hmm?
Erin| I dont wanna be a lousy snitch.
Pam| Okay.
Erin| Ryan has been using the color printer for his business a lot, and as Office Administrator--
Pam| Oh, its okay.
Erin| But its not for--
Pam| Let it go.
Pam| Yes, I invested in WUPHF. Its actually a great idea and I cant believe it didnt exist before. And I know Ryans kind of a sketchy guy, but hey, I married Jim. Ive done my part for the nice guy. Now I want a bedroom set. 
Michael| I think an investors ski trip is the best idea. It will be a bonding experience. 
Ryan| I love it. 
Michael| I was looking at a trail map, and I was thinking that we should start on a bunny hill, because Ive never actually been skiing. And then work our way up to death drop. 
Ryan| Great, so we got our first offer to buy the company.
Michael| Your kidding?! 
Ryan| We could sell, but why think so small? We can just get a couple more people involved, really do this thing our way.
Michael| You and me.
Ryan| New Investors are key, though. Thats actually why I came in today.
Michael| Dont you work here full-time?
Ryan|  Today, I was thinking I would sit down with a few of the people who havent invested yet.
Michael| Mm-Hmm.
Ryan| Or we could do that together, if that sounds fun to you.
Michael| That does sound fun to me. 
Ryan| Awesome. 
Dwight|  Ah, this is good hay. Yeah. This is the good stuff, mattress quality.
Dwight| Every fall, my Uncle Eldred used to build us a maze out of hay bales for us kids to play in. We called it "Hay Place". Eldred Called it "Hay World". Eventually lawyers were brought in. But thats all behind us. Hay Place lives on!  Watch it, watch it.
Dwight| Hello! Welcome to Hay Place! A place for hay. 
Guy| Dont forget to make a broom.
Dwight| Oh, and the Petting Zoo closes at 200, and the Goat Roast is at 300. Come on in, enjoy!
Angela| Hey, Im kind of in the mood for a roll in the hay.
Dwight| Roll in the hay, five dollars. 
Angela| No, I meant... 
Dwight| Oh, our contract.
Angela| Mm-Hmm.
Dwight| Yes, why dont we meet at the usual spot.  Uh... Ive got a half an hour during lunch in-between the historical reenactment of the dunmore farm slaughters and the onion boil. 
Angela| Perfect!
Dwight| So, uh...  Excuse me, get off of there! Those are show bales, not play bales. 
Jim|  All right, Thank you, I will--I will send the contracts over right away. All Right.  Whoo! 
Jim| I am on the first hot sale streak of my life. I think it all comes from feeding Cece, because no matter how much she resists, I sell her those carrots. Lets be honest--if I can make mushed carrots seem better than a boob... I can pretty much sell anything. 
Kevin| Commission comes out to... dunh-duh-na-dah! Zero.
Jim| Mm-Kay, Well, it cant be zero, Kev. 
Kevin| I entered the sale, and I hit enter, and I said, "dunh-duh-na-dah!" Im pretty sure I timesed it right. 
Angela| You met your commission cap last week. So from here until the end of the fiscal year, your commission will be zero. 
Jim| What are you talking about? We--we have a commission cap?
Angela| Its a new corporate policy. 
Kevin| Dunh-duh-na-dah!
Gabe| Is this job really about the money for you, Jim? I mean, isnt this where you fell in love? 
Jim| A commission cap takes away my incentive to sell. So you realize I now have no reason to work, right?
Gabe| When youre dealing with a large organization, sometimes you have to put up with policies you dont like. I wish my gym didnt allow full nudity in the locker room. Okay, seeing these old guys walking around naked feels almost passive-aggressive. But I deal with it. Cause its policy. See what I mean? 
Jim| Nope.
Gabe| Nudity makes me uncomfortable.
Jim| Okay. 
Gabe| My gym allows it. I wish they didnt, but its policy. So I respect it, and I just-- keep a low--you know, I look away. Think about your commission cap as a naked old man in a gym locker room. 
Michael| Excuse me, everyone... SEX! Now that I have your attention... 
Stanley| You dont have our attention. 
Michael| MONEY! 
Stanley| Im listening.
Kevin| You had me at "Sex."
Michael| Pervert.
Phyllis| You have all of our attention just by screaming anything. 
Michael| Thats good to know. 
Pam| What do you want to say, Michael?
Michael| Wuphf! All right, Ive warmed them up for you. You have the floor, Ryan.
Ryan| Hows everybody doing?!
Michael| Whoo!
Ryan| Good! Now, a lot of you have already staked out your corner of the WUPHF empire. Raise your hand if Im describing you. 
Stanley| Yes, I have a dream. And Its not some M.L.K. Dream for Equality. I want to own a decommissioned Lighthouse. And I want to live at the top. And nobody knows I live there. And theres a button that I can press, and itll launch that lighthouse into space. 
Ryan| For my current investors, things are going great. 
Michael| We already have a buyer. 
Pam| Really?! Who?!
Ryan| Washington University. I dont even want to think about selling until our numbers get into the billions. 
Michael| At least. 
Ryan| So Ive decided to open up a second round of investment to friends and family. 
Phyliss| Oh, God. Hold on to your wallets, ladies. 
Oscar| Did you ever think of WUPHF as an emergency notification system, like, for college campuses with shooters or gas leaks?
Ryan| No, no--Oscar, its not--its not a digital rape whistle. WUPHF is about fun. 
Michael| Thats right!
Ryan| Fun, communication, connection. 
Oscar| Whats your money situation?
Ryan| Well, its tight, as with any start-up.
Oscar| Sure, how long can you sustain this without a cash infusion?
Ryan| We have nine solid days. I love these questions. Keep em coming. 
Andy| Im sorry, nine days until what?
Oscar| Bankruptcy?
Michael| Wait, Ryan, so this could be over by the weekend?
Oscar| How long do you think a week is?
Michael| No, not this weekend; next weekend. We were gonna go on the investors ski trip. I bought poles.
Jim| Well, since I have no incentive to sell, Ive cleaned my car, organized my desk, and taken a multivitamin. So... what now? 
Jim| Pam. Okay, now Ive tried everything. 
Pam| Did you prank Dwight?
Jim| No. 
Pam| Well, you like that.
Jim| Yeah, its not as fun if Im not blowing off work.
Pam| I love you, but Im kinda busy. So I need you to figure this one out on your own.
Jim| 
Pam| Oscar said WUPHF only has enough money for nine days.
Ryan|  Check this out. 
Erin| All that color. 
Michael| Look at that. Triple your investment by January. 
Andy| Anyone can just throw numbes up on a chart. What are you doing to make it happen?
Ryan| Well, earlier today, I was emailing someone by the name of John Legend. 
Michael| There you go.
Andy| You have his email?
Ryan| A lot of these guys are just Mac.com, @ their website, whatever. We get that guy WUPHFing, its all over. 
Stanley| I want my money back. 
Michael| Do not talk like that, Stanley.
Pam| Ryan, just tell us your plan.
Ryan| Okay, all right. I know what you wanna see. Ill be right back. 
Dwight|  Hey kids, was that fun?
Kids| Yeah! 
Dwight| All Right!
Kid| I wanna go on it again.
Dwight| Oh, I bet you do. You know what? When I was a little kid, they couldnt get me off the hayride! But its gonna cost you three more bucks. 
Dwight| Wow! This brings back memories. Hay stacking, hay throwing... and at the end of it all, one lucky boy would be crowned Hay King. I always wanted to be Hay King. The world shines on Mose.
Angela| 
Angela| Where have you been?! Ive been waiting. 
Dwight| Uh, can we move this to the end of the day?
Angela| No, I--I think you should make time for it. 
Little Girl| I found the needle in the haystack! 
Dwight| Hey, congratulations! Do you know what your prize is?
Little Girl| I dont know!
Dwight| Nothing. Life Lesson? Some tasks are not worth doing.
Angela| Dwight?
Ryan| WUPHF T-Shirts. Who wants one? Just imagine that youre at spring break, Daytona Beach. 
Michael| Here we go. 
Ryan| Everyones like, "Hey Dude, whats up with all the hotties in the WUPHF shirts?" Or, Uh, "Hey, whats up with that helicopter? Its Ry from WUPHF!"
Michael| "Its Ryan the WUPHF guy!"
Ryan| "Yo, Ry from WUPHF!"
Michael| "Hes up there."
Ryan| "Whats he dropping?! Wow, whats falling on us, man?!" WUPHF condoms! 50,000 condoms out of the sky! 
Michael| Look at that! He threw em on the ground!
Daryl| Look, this is a marketing campgain. You got nine days. Lets say you do get the money. What are you going to do with it?
Ryan| The first lesson of Silicon Valley, actually, is that you only think about the user, the experience. You actually dont think about the money. Ever.
Andy| That sounds weird.
Michael| No, its not weird, Andy, and you know what else? We have an offer from Washington University. So monetize that. 
Kelly|  Are you guys meeting about WUPHF? You know that that was my idea, right?
Kelly| I said to Ryan, "I try to call you, and you dont have your phone. I try to I.M. You, and youre not online. I wish there was a way that I could do everything all at once, and I could just be like this little dog going, Ruff! Ruff! Ruff! Ruff! Ruff!"
Ryan| Baby, Baby, Baby--
Kelly| I think Im gonna stay here. 
Ryan| No, no, no, no, no. 
Kelly| I do, I do. This isnt right.
Ryan| I help you with your things and you help me with my things. 
Kelly| But I--its not right.
Ryan|  I got this, its okay. Dont worry about this.
Daryl| Is it any particular branch of Washington University?
Ryan| The Washington University Public Health Fund.
Daryl| W.U.P.H.F.
Pam| Oh, God!
Daryl| They only want it for the initials.
Ryan| The domain name. Yeah, they do. 
Pam| I move we sell!
Micheal| What?
Daryl| Yeah, sell!
Andy| Yeah, sell. 
Pam| Sell.
Stanley| Get us out of this!
Ryan| Have some faith in this idea!
Daryl| If everybody wants to sell, we sell, right?
Michael| I wont sell. And you know what? Ryan and I have the majority of shares. Isnt that right?
Ryan| Yes. You alone do, actually.
Michael| I--yes. Were not selling. I will not sell. 
Kevin|  Awesome!
Man| Do you mind if we share this bale?
Angela| Sure.
Man| Theres no charge to sit on the hay, is there?
Angela| Probably.
Man| I mean, wouldnt you think the ten dollars to build your own broom would include the hay and not just the instructions?
Angela| Mm-Hmm.
Man| I mean, Im starting to think this guy is just trying to make money off the holiday.
Angela| Yeah, instead of Hay Place, it should be pay place.  Dont laugh at me.
Man| No, no, no, I wasnt--I was just laughing at your joke.
Angela| Oh. 
Man| Pay Place.
Angela| Mm. Yeah, so we can celebrate Thanksgiving-Me-Your-Money Day. 
Man| Thats humorous.
Angela| Thank You. 
Kevin|  You guys know how to get out? 
Pam| Hi, Michael.
Michael| Cant talk, saving the planet.
Pam| Oh, we dont recycle.
Michael| We Dont? Well, why have I been separating the trash into whites and colors?
Pam| Im sure no one asked you to do that.
Michael|  Eight Years.
Pam| Listen, I know you really like Ryan--
Michael| No, I wont even consider it.
Pam| Michael, I...  I hate to say this, but... you know this special bond that youve always felt with Ryan, where, like, youre best friends or youre his mentor or something?
Michael| Right, Yes, yeah. Best friend/mentor.
Pam| Michael, I think that feeling only goes one way. And I think that Ryan knows that, and hes taking advantage of you.
Michael| I think you are wrong.
Pam| And there are a lot of other people in this office who have money at stake. Other people you care about.
Michael| You may be right. I may be crazy.
Pam| Dont.
Michael| Im just saying that I think I agree with your point.
