Nate| Got it. 
Pam| Okay lets go in. Im freezing.
Michael| People, wait, wait, wait. Come back, come back. One fun one. Were gonna do a fun one.
Jim| One Charlies Angels. One. Lets go.
Pam| Okay, this is just a Christmas card from your paper supplier. No ones putting this on their fridge.
Kevin| Oh, I got it, you guys, how bout this. Michael, what if all the boys are on one side, all the girls are on the other. The boys are like, why I oughta, and the girls are like, lets go shopping!.
Andy| Lets just jump in the air!
Michael| Thats it! Thats a picture! Yes! Jump in the air. Were gonna jump in the air. Here we go.
Pam| Okay.
Nate| One, two, three.  Not everyone jumped.
Michael| Okay, everybody jump in the air this time, please. Here we go.
Nate| One, two, three.  Still some people not jumping.
Jim| You gotta be kidding me. Who isnt jumping?
Dwight| Ill tell you who. Darryl, Phyllis, Stanley, Angela, and Oscar.
Phyllis| I am jumping.
Dwight| You are? 
Phyllis| Yes, Im jumping.
Dwight| Let me see you jump.  Oh, my God. This is a store bought-camera. This isnt one of those special military-grade cameras that would be able to capture that.
Pam| Im freezing.
Nate| Um, also, Erin is jumping way too early. Shes on the ground by three.
Erin| I didnt want to miss it.
Andy| Well, if we all jump really high, well be in the air longer. Do that.
Oscar| Heres a question nobodys asking Is this worth it?
Michael| Dont answer that. People, listen up and listen good. We need to just get one picture where were all in the air at the same time. Yes?
Oscar| Why?
Michael| I believe in us. We can do this. Here we go.
Nate| Okay, on three. Uh, everyone in the air. Three,  two,  one,  zero. 
Michael| We didnt get it.
Pam| Im the office administrator now, which means Im basically being paid to be head of the party planning committee. The first thing I did as head... I shut it down. At its best it was a toxic political club used to make others feel miserable and left out. At its best it planned parties.
Pam| It hardly looks fake. Its so lush.
Jim| Whys it smell real?  Ah... good one.
Michael| Oh, ho, ho, ho! Oh, ho, ho, ho, ho, ho! Merry Christmas, little children! 
All| Merry Christmas.
Michael| Hows everybody doing today?
Erin| Good.
Michael| Hows the party coming along?
Pam| Great.
Michael| Are we over budget?
Pam| Nope.
Michael| No? Good. Did anyone get drunk already?
Meredith| Not yet!
Michael| Good for you. Angela, lay it on me. Whats the problem?
Angela| Nothing. Should be fun.
Michael| So Stanley, how big is the bug up your butt today?
Stanley|  Pam got those sugar-free cookies I like. Im doing fine.
Michael| Alright. Well, I will be in my office making toys for the good children. Andy?
Andy| Yea?
Michael| Whatcha got?
Andy| All good, Santa.
Michael| Well, thats a relief. Santas gonna take some much-needed free time. Alright. Good!
Michael| My kids are growin up. As a boss, I look at that and say great. It is exactly what a boss would hope would happen because thats what I want. Thats what every boss wants is a, is a wonderful Christmas with no drama.
Kelly| Its present time, you guys.  Happy Holidays from your friends at Sabre.
Gabe| We just want to say how grateful we are.
Kelly| Sabre is actively looking for ways to involve me as minority executive trainee. So I suggested choosing the annual Christmas gift to the employees. And they said, "Oh, yes. Perfect. Thank you, Kelly. Finally, something for you to do."
Kelly| Its a Hello Kitty laptop sleeve.
Andy| Hello Kittys for girls.
Pam| Nashua got mp3 players.
Phyllis| Yeah, I dont even have a laptop.
Kelly| I wonder if these presents would be under as much scrutiny if I were white.
Meredith| Wow.
Phyllis| Oh God.
Dwight| Oh come on.
Kelly| I said, "I wonder." I didnt say, "I think."
Gabe| Kelly, I thought we agreed on fleece blankets.
Kelly| Blankets, what am I, five?
Gabe| Erin and I make great use of ours.
Gabe| Yes, Erin and I are still dating. Why do you ask me so often if were still dating?
Darryl| Ill take one of those pink pouches.
Darryl| I feel good today. My little girl Jada? Its my turn to have her for Christmas this year. Two years ago I had her, and we had the best time. I tivoed her favorite shows, some things Ive never heard of. iCarly... You know whos funny on that show? The friend with the video camera. Hes got a nice way of talking.
Jim| Hey, its snowing.
