David Brent| Oh, sorry, mate.
Michael|  Oh, sorry, mate. Excuse me. Mate.
David|  What you doing?
Michael| English?
David| You picked on the wrong person, I can tell you that.
Michael| Oh no no, Im not picking on you at all. Youre English, correct?
David| Yeah big time, yeah.
Michael| Im working on an English character. Would you mind gi...  Its called Reginald Pooftah.
David| Ooh! David Brent, my liege. How are you?
Michael| Michael Scott.
David| Oh, there you go. I do characters as well. I got a Chinese fella. Hes called Ho Li .  Thats what it sounds like.
Michael|
David| Herrow! Herrow!
Michael| I do Ping. Herrow. I Ping!
David| You cant do that these days. You cant.
Michael| No, no, no. And people dont understand that is has nothing to do with making fun of a different nationality.
David| No, no. No, comedy is a place where the mind goes to tickle itself. Thats what she said. .  Ohh.
Michael| Thats good. Pleasure to meet you.
David| Where are you working?
Michael| Dunder Mifflin.
David| Any jobs now?
Michael| No, not right now.
David| Just let me know.
Michael| All right. See you around.
David| All right.
Michael| Bye-bye. What a nice guy.
Erin| Your first student is here, Mister Bernard.
Andy| Thats actually "Master of Ceremonies" Bernard.
Andy| Last year, I went to a seminar called "The Ten Secrets of Real Estate". Turns out it was just a ploy to sell me time-shares in Idaho. Cut to, you know, spending a weekend in Boise, terrible time, super lonely. But I get to thinking maybe I should put on my own seminar to lure clients.
Erin| Oh its...
Michael|   Hello, I am here for the small business seminar.
Erin| Michael?
Michael| Nein! Im greek! My name is Mikanos.
Erin| Ooh. Wait, Michael?
Michael| Okay.
Michael| I am the plant. Every great seminar has one. My job is to make the speaker look good, and I do this through the techniques of leading questions and laughing at all jokes. And the character "Mikanos", is just a little added flava. "Mikanos" is loosely based on another character I do, "Spiros", who is more about the ladies.
Andy| Thank you so much Tuna Turner. You are simply the best.
Jim| Listen, this isnt a favor, all right?  This is a good idea. We all win.
Andy| Go higher. I get super flexible when Im nervous.
Jim| Wow.  Stop, stop, stop, stop, stop, stop. Hey, Andy, Im really, really sorry to do this to you, but I have a meeting today that I totally forgot, so I cant be apart of this seminar.
Andy| No. What? You cant do that. You are a critical part of this seminar. Youre the charming warm-up guy,
Jim| I know.
Andy| If the seminar was a meal, youd be the amuse-bouche. You like, signal the flavors of the whole night.
Jim| Im really sorry. I cant do it.
Andy| You cant. You cant.
Andy| I cant have this go badly. Im a terrible salesman, and I havent been making very many sales lately, or ever. This is my only idea on how to turn things around. If it goes badly, I might lose my job, which would suck because this is the only job Ive ever been good at.
Jim| Will you let me know when this whole seminar things over?
Pam| Whats going on? Do you know that guy?
Jim| I just have a meeting, uh, outside the office.
Dwight| Hey.
Jim| Hey.
Dwight|  How are the marks?
Dwight| What are some of your small business ideas?
Older guy| I was thinking we could buy up of abandoned mine shafts.
Phyllis, Stanley, Dwight| Oooh!
Dwight| Thats great. Theres a big, big future in that.
Phyllis| A lot of mines in Scranton.
Dwight| Um, what about you?
Younger Guy| Uh, credit cards.
Dwight| Uh-huh.
Younger Guy| My company would act as an intermedium, for like, point two cents off every transaction.
Dwight| Wow!
