Kelly| Everybody, can I please have your attention? Ryan and I have a huge announcement. 
Erin| Oh my gosh!
Phyllis| Wow. 
Kelly| Over the weekend, Ryan Bailey Howard and I got divorced. 
Meredith| Sweet! Free Ring! 
Andy| Divorced?
Ryan| Just so you know, its totally amicable. Were fine. We dont need people here to take sides.
Kelly| The last thing that we want is any kind of drama.
Pam| Wait. Can you back up? Whats the story? 
Kelly| We were having a beautiful weekend in the Poconos. We were making love, constantly. We saw the sunrise. Ryan was crying a lot. 
Ryan| Its not irrelevant. Details 
Kelly| And in the morning we walked by a chapel and we stopped, suddenly, and Ryan said...
Ryan and Kelly| I dont think I should be married to you anymore. 
Kevin| What?
Andy| Sorry, when did you get married?
Kelly| Ummm, like a week ago, we got really wasted and it just felt right. 
Andy| And you didnt invite any of us?
Ryan| We are getting divorced, Andy! This is such a raw time. 
Kelly| God baby, you know, peoples reactions to this... maybe we made a mistake.  
Ryan| No, with the messed up laws in this country, I dont want to be married until everyone can be married. 
Oscar| You know what Ryan, I talked to the other gay guys, and were ok with it. We agree its fine if you got married. 
Ryan| No Oscar, Not, not until everyone can!
Kelly| Ryan, I changed my mind. 
Ryan| Ok fine, you know what, this actually isnt amicable at all and we actually do need people to take sides. Who is on my side? 
Kelly| And who is on my side? 
Jim| All right. Bye.
Pam| Bye. 
Jim| Lets Go!
Michael| Just a minute. How long do we have to wait?
Holly| For what?
Michael| You broke up with AJ weeks ago. 
Holly| Dont you have a sales call to go on? 
Michael| I dont understand. I really dont. I mean, we know we are going to start dating. Why not now?
Holly| We dont know that. 
Michael| Sure we do. 
Holly| Why is it such a certainty that we are supposed to be together?
Michael| Why does the sun rise in the morning? Why do magnets stick together? Because everybody says so. Everybody. 
Holly| Michael, I cant keep getting into a situation where I date whoever Im working with. Well, you can understand that. 
Michael| Yeah, I understand. I just dont agree. 
Holly| Well you dont have to agree. 
Michael| Yes I do. 
Holly| No you dont. 
Michael| Yes I do. 
Holly| No, you can have your own opinion. 
Michael| I have my own opinion and my opinion is to disagree with you. 
Jim| Hes going to be a lot of fun to drive around in a car with. 
Pam| Aw youll get through it hon. Just make a game out of it. A funny "Jim" game. 
Jim| Thats it? Thats all I get? Even after all the hard work I put into celebrating your talent today?
Pam| All right, whatd you do?
Jim| Well, those things that you consider doodles, I consider art. 
Pam| Whered you put it?
Jim| Whered I put what?
Michael| Lets go. 
Jim| Oh, sorry gotta go.
Pam| Say it. Where? 
Jim| Ok fine, three hints. One! When you are getting colder, youre really getting warmer. 
Pam| The fridge. 
Jim| Two! You have a better chance, if you think Bob Vance. 
Pam| The fridge, got it. 
Jim| And the final clue... 
Michael| Lets go!
Jim| You know what, just think about it, youll be fine. 
Pam| Bye.
Erin| Holly is ruining Michaels life. He thinks she is so special. And shes so not. Her personality is like a 3. Her sense of humor is a 2. Her ears are like a 7and a 4. Add it all up and what do you get? 16. And he treats her like shes a perfect 40. Its nuts.  
Jim| Cheer up. We made a sale. 
Michael| Just drive faster. I want to get back. 
Jim| Well, Im going the speed limit. So...
Michael| Okay, fine. My feelings dont matter to you. What matters to you is your precious speed limit. 
Jim| Someones in a bad mood. 
