Pam| Hey. How you doing?
Darryl| Thinking about my grandmother a lot. 
Pam| Yeah. 
Darryl| She was about to turn 97. 
Pam| At least she lived a very long and Im sure, a very happy life. Got you this card. When youre ready. We all signed it. We just wanted you to know were thinking about you. 
Darryl| Thank you. "Congratulations, Darryl. Lets get wasted." "Have fun today, big guy." "Aww, yeah. Party time. Whoo-whoop."
Pam| Its possible that some people thought it was your birthday. 
Darryl| "Hooray. Live it up big D. " "Days like this dont come often enough. Time to celebrate. You deserve this"? 
Andy| Birthday punches!  One two three four five sice seven eight!
Pam| Im so sorry. 
Darryl| 
Andy| ...thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twenty-one twenty-two twenty-three twenty-four twenty-five twenty-six!...
Andy| ...So I got an early res at Blue Wasabi and Im taking Rachel. Shes picking me up after work. 
Darryl| Rachel from the party?
Andy| Oh, yeah! 
Darryl| Nice. Do the damn thing. - Pow! 
Phyllis| Blue Wasabi is so good, but get the cheeseburger. They say they wont do it, but they will if you make a scene. 
Holly| Okay, bye. Okay, bye.  Ill miss you. 
Michael| Miss you. Okay. Ill be in my office if you need me. 
Holly| Bye. 
Michael| Okay, bye. Bye. All right, bye. Bye... bye. 
Holly| Okay, one more quick one. 
Michael| Dont go. I dont want you to go. Oh dont go. Dont go. 
Michael| Holly and I are dating. Its been a week, and I still cant believe it.  It goes to show that everything you want in life, you get. And you cant work for it. It just comes to you. 
Gabe| And what do we have here? 
Erin| From my secret admirer. Thats you! 
Gabe| Come on. 
Gabe| I dominate Valentines Day. I practically make romance into a science. 
Erin| "Roses are red. Violets are blue. Look in the vase to find your first clue." Oh, my gosh. Its a romantic scavenger hunt! 
Gabe| Oh, close. Its a romantic treasure hunt. A scavenger hunt is where you find items from a master list. This is where you follow clues that lead to a prize. Common misuse. Good luck. 
Erin| But, theres no clue. 
Gabe| Well, get to work. 
Erin| I cant, cause theres no clue. 
Gabe| The puzzle is the clue. 
Erin| Oh. 
Oscar| 
Michael|  Are these numbers correct? 
Oscar| The numbers are correct, Michael. 
Michael| Okay. 
Oscar| 
Michael| Are you... are you sick, Oscar? Do you need to go home? Cause youre grossing me out. 
Oscar| I jus... I just need a signature. 
Jim|  There you go. Thanks. 
Pam| How much did you give him?
Jim| Big tip. 
Pam| Wait. I dont have my scarf. 
Jim| What? 
Pam| Im missing my scarf. Oh. 
Jim| We decided to have a Valentines day lunch and then that way we can spend the entire night with Cece and avoid the Valentines day dinner thing. Its a whole thing. 
Pam|  Yeah, lunch was wonderful! 
Jim| Shh. 
Pam| Um, there was an amazing buffet and there was a chocolate fondue... station. And what else was there? 
Jim| Um, bottomless champagne. 
Pam| Yes. Never found that bottom, did we? 
Jim| No. 
Erin| Psst! Psst! 
Andy| Whats up?
Erin| Are you good at jigsaw puzzles? 
Andy| Are you kidding me? Its all I did every summer when my brothers were out sailing. 
Erin| Okay. 
Andy| But if there is a romantic thing with Gabe, I should probably...
Erin| Oh! No, no, no, no. Its not weird at all. You have your new girlfriend. I have Gabe. This is just as friends. 
Andy| Well, okay then. 
Erin| Yes!
Andy| At least until Stanley calms down. 
Erin| Oh, is he...
Andy| D...d...d...d...dont look. I accidentally did his Sudoku. 
Erin| Andy. 
Jim|  All right, I will fax over it to you. Whoop. I will fax it over to you. Okay. Thank you. 
Dwight| Okay, my name is j...j...j...j...j...j...j...j Jim Halpert and I will fax it in to you... under you. Ill fax it under you. Oh, excuse me. I just p...p...p...p pissed my pants. Not really. I didnt really.  
Jim|  Wait. 
Dwight| Youre just filling that out right now. That wasnt meant for me. I will not be your Valentine. 
Jim| Aww, nuts. 
Angela| I dont know if anyone else feels this way and dont get me wrong, I love Michael and Holly, and maybe Im being overly sensitive, but... the PDA. 
Oscar| Yes! The freaking PDA! 
Angela| Uh-huh. 
Oscar| Thank you! I mean, Im thrilled for them. 
Angela| No one is more thrilled for them than I am...
Oscar| Yes, yes, absolutely. 
Angela| ...but its totally inappropriate. 
Darryl| Yeah, its a little much. 
Phyllis| Mm-hmm. 
Darryl| Obviously, so happy for them both. 
Oscar| So happy. Yeah. 
Kevin| I dont know, guys. I, for one, enjoy watching them, because...
Angela| No, stop! Just dont. 
Oscar| Kevin! 
Kevin| Can I finish? Can I finish? Is that okay? I was saying...I enjoy watching them because it makes me horny. 
Everyone|  
Angela| God! Kevin! 
Erin| So tell me about your new girlfriend. 
Andy| Shes neat. Uh, I met her at Darryls cousins party. We were the only two white people there. 
Erin| Aww, cute. 
Andy| Hey, look at that. Done. 
Erin| Thats Gabes boom box. Come on. We have to go find it. 
Andy| I wish you well on your quest. 
Erin| No, come on. 
Andy| Aww, I mean...
Erin|  Come on! 
Andy| Okay. 
Erin| Ha! 
Gabe|  I hear them kissing all the time. Its this horrible plipping sound. You know, its like Chinese water torture. Just... like its coming from my own head. 
Michael| Sit. Okay, just close your eyes. 
Holly| Ohh. Can you get lower?
Michael| Oh, yeah. 
Holly| A little lower. 
Holly| I cannot keep myself from Michael. Everything he does is sexy. He has this undeniable animal magnetism. Hes a jungle cat. The man exudes sex. He can put both his legs behind his head. 
Gabe| Thank you all for meeting on such sort notice. 
Michael| 
Gabe| Yes?
Michael|  Yes. Michael Scott, Dunder Mifflin. What is the purpose of this meeting?
Gabe| Seeing as its Valentines Day, I felt it would be apropos to have a little refresher course on romance in the workplace. 
Michael| Perfect. Yes. It is quite apro-propriate. Carry on. 
Gabe| First things first. An office romance is permissible. Not something youd expect to hear from corporate. Well, guess what. Sabre is 100% tolerant of office romances. 
Ryan| Speaking of, Gabe, I dont see Erin at this meeting. 
Meredith| Uh, I also dont see Andy. 
Kevin| Oooh. 
Jim| OOH! Boom! Face! 
Gabe| I get it. Andys slamming my girlfriend. Very funny. What I do not approve of, however, is public displays of affection, or PDAs. PDAs are totally superfluous to a happy, healthy office romance. Perfect example. Look at Jim and Pam. 
Pam| Yeah. What? Us?
Gabe| They dont touch. They dont kiss. You would hardly even know that they were husband and wife. 
Jim| Did it! 
Pam| Yeah! 
Jim| Love it. Keep it goin. 
Gabe| Okay. So, PDAs. Thats gonna include behaviors such as hugging, kissing, uh...
Kevin| Booby honking. 
Gabe| Yeah, booby honking. Sure. 
Kevin| Butt honking. 
Gabe| Butt honking. Yeah, all the honking. 
Creed| The one where you start in a crouches position, then you leap...
Gabe| Sure. Basically, theres no precise definition, but you know it when you see it. Ahem. 
Oscar| Are you guys listening to this? 
Michael| What, are you talking about me and Holly? 
Pam| Yeah! 
Gabe| Maybe you find your own chair. 
Holly| So we kiss occasionally. 
Oscar| Not occasionally. All the time. 
Phyllis| Yeah, and its not just the kissing. Its the flirtatious whispering. 
Stanley| The flirtatious tickling. 
Michael| Whispering and tickling have their place in business. 
Darryl| That thing were you softly exhale on her neck. 
Michael| I... Okay, yeah, thats pretty hot. I will give you that. Look, you are all hypocrites. You all do it. 
Dwight| Michael. Confession I have done PDA in the office. 
Michael| Thank you. 
Dwight| Ive had intercourse in the office. 
Michael| All right. 
Dwight| As has Angela!
Angela| Dwight! 
Dwight| As has Ryan. As has Kelly. As has Meredith. As has Phyllis. As has Darryl. As has Creed.  As has Michael and as has Holly. 
Kevin| As has Kevin!
Angela| With who?
Kevin| She goes to another school. 
Michael| Okay. Fine. No more PDA. 
Oscar| Good. 
Michael| You win. But heres what we are going to do. We are going to designate one of our closets as a hook-up zone. 
Angela| No. 
Michael| Anything goes. 
Oscar| Just leave it how you said...
Dwight| Michael, thats absurd. What if two couples want to go at the same time? 
Michael| Okay, then we have two closets. No, no, were gonna have three closets, one for each base, no homers. Yes?
Dwight| And what is the hook-up zone policy on masturbation? 
Michael| Pro. 
Dwight| Yes!
Michael| What? Problem solved. 
Michael| No, no, its great. I love working at Dunder Mifflin, a division of Taliban enterprises. 
Pam| Thats weird. I mean, thats weird to have sex in the office. Thats where you work, right? 
Jim| Mm-hmm. 
Pam| You know, youre in a meeting, and nobody knows that youve had sex there, except for you and him. 
Jim|  Ew. 
Erin| Dont mind us. You keep working. 
Darryl| Okay. Ill keep working. 
Erin| Oh, my God. Its a song. 
Andy| Whoa. 
Erin| What do you think is on it? 
Andy|  We should actually probably talk about it outside or we might make Darryl mad. 
Erin|  Not if were talking like this. I think its okay. He doesnt seem to hear us. 
Andy| I think he can hear us. 
Andy|  That makes sense, cause I feel like Id be able to hear us at this level. 
Erin| Darryl. 
Andy| Darryl is a jerk. 
Erin| No, hes not. 
Andy| No, Im just testing if he can hear. 
Darryl| I can hear you. 
Andy| Oh. Okay. 
Erin| Okay. Then no more talking. Lets just play the song. 
Boom Box|  The temp at night. The temp at night. The temp at night. The temp at night. 
Andy| The temp at night?
Erin| What do you...
Darryl| You got it. Pick it up. Take it out. 
Andy| Pi...
Darryl| Pick it up. 
Andy| Okay. 
Darryl| Take it out. Pick it up. Pick it up. Pick it up. Take it out. 
Andy| Right. Okay. 
Holly| Sorry to interrupt. Forgot to collect my things. 
Michael| Ah, the old "leave behind." Oldest trick in the book. Good thing its working. 
Holly| Oh, no. Michael, I dont want to make people uncomfortable. 
