Michael| Kahlua Sombrero, please.
Waiter| All right, so just you tonight?
Michael| Actually, I am meeting somebody, but Im a little bit early. Leaving my company. After 19 years.
Deangelo| Ill drink to that. Im starting at a company this week.
Michael| Oh, really?
Deangelo| To begginings and endings. 
Michael| And to middles, the unsung heroes. And to moms.
Deangelo| The moms and the troops.
Michael| Do not tell my fiance Im drinking on a Wednesday. 
Deangelo|  I wont... I dont know her.
Michael| Im moving out to the burbs... actually, Im moving further than the burbs, Im moving to Colorado.
Deangelo| Colorado! The sunshine state.
Michael| Yep. Dont mess with Colorado. 
Deangelo| Doing some skiing? 
Michael| No, no. I dont want to end up like Sunny Bobo.
Deangelo| Well thats just good sense right there. Everyone I know who skis is dead.
Michael| You know, I would like to try the luge, through.
Deangelo| Try it once, youre hooked. Thats my guess.
Michael| Thats what Ive heard.
Deangelo| Im an olympics nut.
Michael| Oh yeah? Me too. Summer or winter?
Deangelo/Michael|  Summer!
Deangelo|  Knuckles! Actually, I gotta come around and give you...
Deangelo| You know, its funny, I tried to get an animal olympics going.
Michael| Really? What happened?
Deangelo| You know, life happened. What are you gonna miss most about Scranton?
Michael| Oh... wow. The mountains. Where things are.
Deangelo| Thats the way it goes.
Michael| Man, he is late. Im gonna call him. Do you mind? Im sorry. 
Deangelo| Excuse me. Hello? You running late?
Michael| No, Im here. Im right... Im at the bar. 
Deangelo| Im at the bar too.
Michael| You are? What bar?
Deangelo| Im at the bar. The bar thats located in the lobby of the hotel.
Michael| I... do not see you.
Deangelo| How long have you...
Michael| Im been here about... gosh, over half an hour.
Deangelo| Ok, me too.
Deangelo/Michael|  Sorry...
Michael| Whatre you wearing?
Deangelo| I am wearing a grey suit, red tie.
Michael| Are we both at the right place?
Deangelo| Which place?
Michael| I hear your voice.
Deangelo| I hear your voice, I see your lips moving.
Michael| I see your voice in the phone. Oh, man!  Michael Scott.
Deangelo| Deangelo Vickers.
Michael| Wow... that is insane!  
Deangelo| That is insane, that is the right term. Lets get some Vodka up in this cranberry, and one for my friend.
Michael|  Here we go! Are you ready?
Deangelo| I am ready. 
Michael| Alright! Here we go! 
Michael| This is it. What do you think?
Deangelo| Oh, shell do. Shell do just fine.
Deangelo| I am very much looking forward to tommorow. It feels like the culmanation of a lot of hard work, a lot of good fortune...
Michael| 
Deangelo| Did that? Did that just happen?!  We should.. we should write a movie or something! Im serious!
Oscar| Michael is leaving. And apparently theyve already hired a new manager. And were meeting him today. Its a lot to process. Paperwork wise. 
Kevin|  Nope! Its not Ashton Kutcher. Its Kevin Malone! Equally handsome, equally smart! 
Michael| Ok, everyone, as you know, one of my favorite things is fanfare for its own sake. So, without further ado, lets start clapping! Presenting Deangelo Vickers! 
Deangelo|  
Michael| Come on out! 
Deangelo| Hello!  How are you sir?
Michael| I am well, sir, how are you?
Deangelo| Can I just say, I am so excited to be working here. Little bit about myself, I love the American Southwest, for starters. You may call them Arizona, New Mexico, Nevada, Utah, I call them heaven. I have a peanut allergy, something I live with, its a part of me. Ive learned to cope with it. What else, Im just as comfortable at the ball game as I am at the opera. I was a-
Dwight| Did I want to be made manager? Sure. A great opportunity squandered? Absolutely. A crushing blow? Yes. Will I get over it? No. But life goes on. Not for me.
Kelly|  Ill get that you guys. Dont... its just... you know...
Deangelo|  Ill help you.
Kelly| Oh, hi! 
Deangelo| Hello!
Kelly| Have we met before? 
Deangelo| No, not officially, actually, I saw you walking out of the bathroom before.
Kelly| Well, I guess Ill go back to my cave. It was really great meeting you.
Deangelo| 
Kelly| And that is what you call a meet cute.
Michael| And we talk for like 20 minutes, no clue its Deangelo the whole time!
Darryl| Kind of embarassing.
Angela| Yeah, that story makes you sound stupid.
Michael| I happen to like the hilarious hijinx I get myself into. There he is! Deangelo, I was just telling them about last night, when we met. Remember that? That was crazy!
Deangelo| Oh.  That was... lets see, wheres my replacement? Wheres the guy Im replacing? Why dont I look to the left? Hes sitting right there! 
Michael| Oh yeah... I know... thats what I was just saying... thats what...
Deangelo| 
Andy| That exact situation is why I always carry around some of these.  nametags. Just in case. Because sometimes you just need to I.D. yourself.
Deangelo|  Office funny guy! Always glad to have an office funny guy around!
Andy| I wasnt even trying to make a joke. But I guess Ive always been sorta quirky, offbeat, a little twisted.
Michael| This is Jim and Pam, aka Jap. What started as an affair has blossomed into a family before our eyes.
Pam| Well, it wasnt an affair.
Michael| Yes it was.
Pam| But, no, but we are a family.
Jim|  We made that.
Pam| Cecelia.
