Michael| It is six a.m.  and we are about to go house to house to give everyone their Dundie Nomination Certificates. Just like the Oscars!
DeAngelo| Yes, and this happens every...?
Michael| Every year! This happens, you have a lot to learn my friend. 
DeAngelo| Well, you know, why dont we try it, and if it goes good itll be part of my tradition.
Michael| Why do you always say that? Youre gonna love it.
Michael|  Alright lets go!  This way, this way! 
DeAngelo| Thanks.
Michael| Surprise!
DeAngelo| Congratulations!
Jim| Yep, okay...
Michael| You and Pam have both been nominated for Dundie Awards!
Jim| Okay.
Michael|  Here we go! Have Pam come down.
Jim| No she doesnt wa- Shes not here.
Pam| Whats going on?
Jim| Stay in bed!
Michael|  Congratulations!
Stanley| Have you lost your mind! Get off my property before I call the police!
Michael| We got it.
DeAngelo| Uh, leave it at the door or...?
Michael| Yeah thats fine.
Michael|  Hey Toby! You suck! 
DeAngelo| Is this an employee of ours?
Michael|  Go go go go go go!
Michael|  Ive never seen this place in the daylight. 
DeAngelo| It reminds me of Katrina.
Michael| Here we go, alright got it? Set?  Hello? 
Meredith| Im so busted! Walk of shame!
DeAngelo| Do you usually leave your door unlocked? And ajar?
Meredith| Ahh, Nice! I got a Dundie nomination!
Michael| Yes you did. Thats right! Congratulations Meredith. We should head out.
Meredith| No no no! You guys stay! No no no! I have Vienna Sausages and I have napkins.  Let me fix you breakfast!
DeAngelo|  Im not going in there.
Michael|  Go.
Michael|  Good morning Erin.
Erin| Oh hey, didnt see you.
Michael| You have big plans for tonight?
Erin| I dont know, maybe volunteer at the shelter, or go to bed, or... I dont know. Maybe Im going to the Dundies!! 
Michael| You are getting so funny!  Very good.
Michael| The Dundies are my baby, and they need to go on. When Larry King died they didnt just cancel his show. They got Pierce Morgan to come in, and do his show, and, that way, Larry lives on.
Michael| Anything can happen at the Dundies!  Theyre like the Golden Globes but less mean. And I just want all of us to have a good time!
Dwight| Just a little announcement folks, remember, the Dundies is a black tie affair.
Michael| Black tie optional.
Dwight| Every day is black tie optional!
Michael| A la, tonight we will be hosting at Louie Volpies!
Kevin| Nice! 
Phyllis| I love their breadsticks!
Pam| Oh, their breadsticks are like crack!
Ryan| I love when people say like crack when theyve obviously never done crack.
Pam| Well the breadsticks are like what then, Ryan, what can I use?
Ryan| I dont know, something from your world. The breadsticks are like scrapbooking.
Pam| Youre right, youre right. Im a middle class broad. 
Michael| Shh, shh! Okay, okay. Everybodys right. Theyre like breadsticks on steroids. Right?
Ryan| Yeah thats great.
Michael| So as you know, the Dundies are my legacy. So Im going to need to train a replacement. So this year, I have decided to have a co-host.  And that person is  DeAngelo! 
Dwight| Always the padawan, never the Jedi.
DeAngelo| Thank you Michael, uh, but I will have to pass.
Michael| Think of it as part of your training.
DeAngelo| Not much of a performer, unless you count singing in the shower. Boy, okay...
Michael|  Okay, well well work on it.
DeAngelo|  Michael, Im very, very bad.
Michael| You are doing it.
Michael|  Guys! I want you to help us work on some banter.
Kevin| Yes! I love banter. But I hate witty banter.
Michael| Here we go! So, DeAngelo! You and I have a lot in common. You lost two hundred pounds, and I lose my car keys every morning.
DeAngelo| That is true, we do share some similarities. I know how you can fix one of those problems, for me it was portion control. For you, you need a key chain. Maybe one with a-
Michael|  Okay, okay. You know what, I didnt actually lose my keys...
DeAngelo| This did not happen.
Michael| Mmmmkay. There needs to be what you call a rat-a-tat. And right now its all rat and no tat. Ryan come on up here. Tap DeAngelo out. Just watch this. Okay.  Ryan how are you today?
Ryan| Why dont you ask my therapist, my mom certainly pays her enough.
Michael|  There you go! Lovely! Regis and Kelly! Nice! Use that as an inspiration.  Just be funny.
DeAngelo| Uhhh, you sir!  Are we having fun tonight?
Jim| Having a great time.
DeAngelo| Oh good!
Jim| Thanks, yeah.
DeAngelo| Where were you on September 11th?
Michael| No! God! 
DeAngelo| This is so weird! If Im conducting a meeting, good to go. But if I think of it as a performance... I-I fall apart. Obviously.
Andy| Why dont you think of hosting the Dundies like youre just running a meeting.
Michael| No, no, no! This is the performance of your life!
Jim| Why dont you just, privately, in your own head, think of it like a meeting.
Michael| Jim, please no loopholes.
Darryl| Mike, why do you have to control how he perceives it in his mind?
Michael| This is my last Dundies ever, if I want mind control over him, is that too much to ask?
DeAngelo|  Me mo. Me mo.
Michael| Good. Good. Good!
DeAngelo| Meee Mo, Mee!
Michael| Now, tell me something terrible that happened in your childhood.
DeAngelo| When I was very young, my mother divorced my father and I had to go to court and choose between them.
