Michael|  Well, Im moving to Colorado to start my new life with Holly. Just up here, getting used to the altitude.
Dwight|  Michael?
Michael| Yes?
Dwight| Ive got a treat for you!
Michael| Ahh, thank you. Like a butler.
Dwight| Colorado specialty, Rocky Mountain Oysters.
Michael|  Oh, these do not taste like oysters.
Dwight|  Thats because theyre Not oysters, theyre bull testicles! I cut them off fresh this morning!  Hah!
Michael| Sick freak! What is wrong with you?
Dwight| What is wrong with you? Im the sick freak? After what you did? You expect to be buttled? You didnt recommend me?!
Michael| I dont own Dunder Mifflin, okay?  The job was not mine to give.  Look, I need your advice on something. I am told that there are bears in the Rockies.
Dwight| Where did you hear that? Obvious XM Radio?
Michael| Well, I was just thinking that maybe I should keep a salami in my pocket...
Dwight| Great idea.
Michael| ...in order to feed the bears.
Dwight| Especially if you think that life would be better without Legs!
Michael| How do you mean?
Dwight| Black Bears can smell a salami at five miles Michael, what are you thinking?! And they run faster than a horse, so if you were thinking about outrunning one on a horse I would try a cheetah. You, in tight pants, Michael, are a salami to a Black Bear. Do you understand?  Youre like a giant walking salami!
Michael| Okay, so no salami in the pants. How about a pepperoni?
Dwight| Any kind of meat that you can possibly name!
Michael| Okay.
DeAngelo|  Youre not gonna take all these toys are you?
Michael| Hm?
DeAngelo| I mean you dont have a job lined up, so its not like you have a desk to put em on.
Michael| Well I have interviews.
DeAngelo| Thats nice.  How bout that truck? Can I have this little truck? I was thinking I might... glue a stapler on top. Or put a hole here, stick pens in it.  You okay?
Michael| Yes. Yes, you know what? Take my favorite truck. Sure.
DeAngelo| You know what? Uh, its your last couple days, Im gonna get out of your hair.
Michael| Oh you dont, thats-
DeAngelo| I will be in the break room.
Michael| That sounds good. Thank you.
DeAngelo| Dead man walking.
Michael| Sad? No, no, no. I dont leave til tomorrow, so... Tomorrow I will be a wreck.
Gabe|  Stay away from Erin! 
Andy| Hey!
Gabe| Im your boss!
Andy| Why dont you, uh, stay away from me?
Gabe| No, Im gonna stand where I want. Okay? You dont wanna get on my bad side! Ive seen some horrible things! I own over two hundred horror movies!  
Andy| Okay! Thats so weird! Just go away!
Gabe| No! You go away! 
Andy|  Hi Tuna.
Jim| So you guys are filming people when they go to the bathroom now?
Phyllis|  How about cupcakes?
Angela| Please.
Pam| Whats wrong with cupcakes?
Angela| Everything.
Michael|  There they are! Party Planning Committee together again!
Pam| Well we all wanted to plan your goodbye party. We thought this would be easier.
Pam| We thought.
Angela| Its an experiment.
Phyllis| The three of us have all been chairmen before.
Pam| So this is the dream team.
Meredith|  Hey! What are you saying?!
Angela| The dream team... and Meredith.
Meredith|  We decided on the ice cream. Mint chocolate chip, your favorite.
Michael| Mmm!
Phyllis| Yeah that was a surprise...
Michael| You know what, Im thinking maybe we should get ice cream that everybodyll like. How about vanilla? Lets get vanilla.
Pam|  Okay.
Michael|  Tomorrow I want everyone to have a good time. No drama. And as for today, just a typical day. Alright?
Pam| Should we get toppings?
Michael| What do you like Pam?
Pam|  What?
Michael| What kind of toppings would you like?
Pam| Hot fudge?
Michael| Sounds good. Fudge it up! 
Michael|  I bought this for myself. And yesterday, they gave me this.  I still need something to drink out of though.
Michael|  Attention everyone, before I leave tomorrow I would like to reveal a secret I have kept for over twenty years. A secret about Phyllis.
Phyllis| Please Michael.
Michael| When Phyllis was in high school, she was so... cute.  And she still is.
Phyllis| I thought he knew about the baby I gave away.
Phyllis|  Look Michael, its a going away present so your hands wont get cold.
Michael| Ahh.
Phyllis| Its almost done, but you cant get them wet, and they cant be dry-cleaned either. You have to hand wash without water, wring-dry gently, and use a hairdryer on cool.
Michael|  Sounds great, I just think its great. Oh, I have gifts as well!  And I will start, by giving the first gift to Phyllis! Phyllis, you are shy and sweet, and you dont often speak your mind, but you should. Because you have great ideas. So Phyllis, I am giving you this, so you can always remember to speak your mind. 
Phyllis| Its cute. 
Michael| Stanley, you love your Sudoku and your puzzles, I bestow upon you, my felt.  May you never lose the fun loving quality in life.
Stanley| Wheres the rest of it, its got no balls.
Michael| Well, okay... And Andy, Andy who needs confidence  that he is a great salesman. I give you, my clients, our ten most important accounts. 
Andy| Wow.
Stanley|  Yeah wow!
Andy| You know Im the worst salesman here right?
Michael| But youre the best salesman, on the inside.
Phyllis| What does that even mean?
Michael| You sold us all on Andy, a product that nobody wanted.
Andy| Im gonna lose em.
Michael| Youre not gonna lose them.
Andy| I promise you that I will.
Michael| Just do your best! I have faith in you.
Stanley|  Gimme those clients!
Andy| No.
Phyllis|  Do you believe that?!
Dwight| Ive given up expecting Michael to do the right thing. Or the decent thing. Or even the comprehensible thing.
DeAngelo| I used to be obese. Once youve conquered obesity, everything else is easy. Life literally moves in slow motion. Im not saying Im superman, but, let me just put it this way. If I were shot in the head, Im pretty sure everything would be fine. I almost welcome it. 
Michael| Kevin, I have something for you.
Kevin| Oh! 
Michael| You know who that is?
Kevin| Oh...
Michael|  Dont be a caricature Kevin, never be a caricature. How did that feel when I tore that up?
Kevin| Better...
Michael| Good, stand up.  You will be thin. You Wont drool over pizza like an animal anymore.
Kevin| But...
Michael| You will find love.
Kevin| Michael, Im pretty much okay with who I am now.
Michael| Dont be. You should never settle for who you are.  Oscar, Oscar, Oscar! Oscar, you are-
Andy| I just lost Porter Hardware! I just, I lost em!
Michael|  Okay, you know what? Just do your best buddy! Okay, Oscar, you are very smart, and you have a gigantic education. And, I think of you as my scarecrow, because you gave me a brain. So thats why I made you this. 
Oscar| Thank you Michael. Its beautiful.
Michael|  It looks like a  It looks like it was made by a two year old monkey on a farm! He just accepted, accepted that I put all this work into it!  He has the lowest opinion of me, of anybody!
Michael| Was it just me, or did you think that we were going to have sex at some point?
Angela| It was just you...
Michael| How would you have wanted to do it? Okay, okay. You know what? Inappropriate. I am engaged happily, and you have landed yourself a Senator.
Oscar| State Senator.
Michael| Mmhmm, bravo!
Oscar| Brava!
Angela| You wanna see some pictures? I just got these.
Michael| Sure!
Angela| Uhm, these are, okay this is us at the theater. And antiquing! Oh, rollerblading.
Michael| Whos that? Whos that guy? 
Angela| Oh, thats Thomas, Roberts aide.
Michael| I guess this could be the one, huh?
Angela| Yeah. 
Andy|  Hey.
DeAngelo|  Hey!
Andy| Im going to be dropping out on one of our biggest clients this afternoon and I could use some back up.
DeAngelo| Lets rip it up homes. 
Gabe|  Walk away bitch.  
Oscar|  Oh Michael! Where do you want your last pay check sent?
Michael| My last pay check?
Oscar| You have an address yet in Colorado?
Michael| No.
