Deangelo| So, coasting time is officially over.  Big changes are comin, and theyre comin fast.  If you dont like em, this is called a door.  You can walk right through it.  Alright.  Im not here to be your friend.  I like my life outside of this place.  I live to leave at 5.  Change number one Darryl.  Per your request, the company is sending you to business school at night.  Full ride.  Deal with it.
Darryl| Seriously?
Deangelo| Stone cold seriously.
Deangelo| They are trying to figure me out.  And I dont like it.  Once they figure me out, they start to tell me what I want to hear.  And I need to quickly figure out whos a good worker and who is simply a good mind reader.  Because as soon as Im hearing what I want to hear, Im not gonna care.
Deangelo| Change two, Toby, youre gettin a new chair.
Toby| Thanks.
Deangelo| Dont thank me!  Hey, dont thank me, guy!  Okay?  And I dont care if you like it.
Oscar| These sound like good ideas, why wouldnt we like them?
Deangelo| I dont care what your favorite flavor is.  Heres a bowl of ice cream.  You either like it or you dont.   Thats my attitude right now in this room, thats my attitude on Ice Cream Thursdays.  Alright?  Clear?  Any questions?
Kevin| This all sounds great to me.   But I could see how some people might think that theyre bad.  I dont know what to think.
Deangelo| That is a s--  astute observation, Kevin.
Deangelo| Kevs got me pegged.  
Deangelo| It blows away Vermont in the fall.
Darryl| Snap, for real?
Pam| Good morning, Deangelo.
Deangelo| Hold on.
Pam| Okay.
Deangelo|  And if youre really serious, you should go in the spring.
Pam| Because of the flowers.
Deangelo| No.  Because the entire state smells like Earth.
Pam| Dogwoods, or just the Earth.
Deangelo| Yes, Pam.
Pam| Hey, well, good morning.  I think I have good news for you today.  I found your new executive assistant.  My friend Carla.    Shes got great experience.  We even considered making her Ceces godmother, but she had this boyfriend at the time-- but heres her resume.
Deangelo| Put it with the rest.
Pam| Okay.
Deangelo|  Hey dudes!
Jim| Hey!
Andy| Hey!
Pam| Oh my God, he hates me!
Jim| No he doesnt.  You just get so nervous and hyper around him.
Pam| I know.
Jim| Every time theres a silence, your brains like "Heh-heh-huh-huh" .
Pam| Is that what he tells you at your little inner circle meetings?
Jim| Careful.  There is no inner circle.
Andy| Oh, theres an inner circle.  Oh yeah.
Jim| There is no inner circle.  Deangelo just prefers to delegate a few things, to a few guys.
Kevin| Jim only says that because hes in the inner circle.  I also say that because I am also in the inner circle.  Did you get that, Ma?  Your boy, Kevin Malone, is IN the inner circle!   Which doesnt exist.
Deangelo|  There he is!  Got ya coffee.  
