Pam| We could get Deangelo flowers.
Dwight| No, you cant get flowers for someone whos in a coma. Theyll wilt before he wakes up.
Phyllis| Thats true.
Jim| All in favor of the baskets full of chocolates, teddy bears, and balloons? 
Dwight| Wait, wait. All in favor of the knapsack filled with canned goods, chainsaw, gasoline, and emergency radio in case he wakes up post-apocalypse? 
Jim| Nope. Baskets have it.
Jim| So as it turns out, unless youre a young child or a prison inmate, you dont need anyone supervising you. People just come in and do their work on their schedule. Imagine that - people like us allowed to sell paper. Unsupervised.  And yet, somehow it works. It must be because the stakes are so high. 
Jim|  Well, I really appreciate the offer, but Im just happy the way things are. Okay. Thank you.  That was Jo, asking me if I wanted to take over as acting manager while they find a replacement. I told her... I dont want to mess this up, right? Theres a consensus, people are happy.
Dwight|  Dwight Schrute. Yes, I would. Thank you.  Jordan, gather my things from my desk. 
Jim| Wait...
Pam| What have you done?
Dwight | Mose... youll never guess where I am right now. 
Mose | Aaaaahhhhh! 
Pam| Cant stay there all day.
Jim| Im coming.
Pam| Do I at least get to go with you in this fantasy?
Jim| Youd slow me down.
Jim| Dwight has been acting manager for three months now. No. A week. Just feels like three months. Lets see, we all have to punch in to a time clock, which is very old, very strong, and has a slot about the size of a finger.  We were all given new business cards big enough to set us apart from the competition, which is how I learned that our titles are all now Junior Employee. Our lunch breaks are staggered to prevent wasting time. Mines at 1030, and I find that the first hour of the day goes by a lot quicker than the second seven hours.
Pam| Stop stalling! Come on. 
All| I pledge allegiance to the flag of the United States of America, and to the republic for which it stands, one nation...
All but Oscar| ...under God...
All| ...indivisible, with liberty and justice for all. 
Angela| Amen.
Dwight| Excellent. Morning announcements! Theres been a problem with some people sharing copier codes. Your copier code is a distinct 21-digit number that is unique to you, and you only, okay? Dont share it.  Jo Bennett, our CEO, will be here today for a high-level meeting involving Gabe and myself. 
Erin| Ooh, about what?
Dwight| Thats on a need-to-know basis.
Erin| I thought I needed to know for your calendar.
Dwight|  General meet-and-greet. So I expect you to be on your best behavior, which means none of you will be insubordinate, nor will you foment insurrection.
Jim| Question, if we already fomented insurrection, may we be grandfathered in?
Dwight| Define foment.
Jim| You define foment.
Dwight|  Please take note of the new color-coding system.
Dwight|  Aha!
Kelly| Oh my God, what is wrong with you?
Dwight| Gotcha! Why are you late?
Kelly| Its none of your business, actually. Its very medical and personal.
Dwight| All right. You stop me when I reach the diseased area. 
Andy| In fairness, Darryl did tell me that joke, so...
Erin| Oh! Darryls funny. 
Andy| I know, right?
Gabe| Hey, Andy?
Andy| Yeah?
Gabe| Can I talk to you a second about these client memos?
Andy| Sure. Whats going on? 
Gabe| Are you still in love with Erin?
Andy| What?
Gabe| Because I am. I need to get her back.  I cant be alone anymore. Andy, do you like being alone with me right now?
Andy| No, this is horrifying. 
Gabe| No. I dont like being alone with me either, okay? I have to get her back. Are you still gonna date her?
Andy| Were just friends, okay?
Gabe| Do you promise that?
Andy| Yeah, fine, I promise. Well never date again. Can we go outside now?
Gabe| No, just give me a second. I dont want anyone to know Ive been crying. 
Dwight|  Hey, hey, hey, hey. What do you think youre doing? Whats this? Whats the Fist?
Jim| Oh, its just a social club. You know, like the French Revolution, or the Black Panthers, or communism. Its just a club. Guys talking, you know. 
Dwight| You expect me to believe that youre starting a rebellion?
Jim| Nope. Social club. God, I hate when everybody calls us a rebellion. 
Dwight| Okay, you know what? I would love to join The Fist. 
Jim| And we would love to have you. But not today. Unfortunately, its a bad day, what with Operation Overthrow and everything, but I have noted it.  
Kevin|  One...
Stanley| 
Andy| Pam, I have to show you this video. Youre gonna love it. Its Beyonce falling with a fart mixed in. 
