Creed|   Its a beautiful morning at Dunder-Mifflin, or as I like to call it, Great Bratton.  Keep it running.
Creed|  Do I love being manager?... I love my kids. I love real estate.  I love ceramics. I love my job. I-I love wrestling.
Creed|   Find out what language this is. 
Creed|   Okay, team building! On this side of the room, Stanley, Phyllis, Jim, Ted, Elroy,  and this side of the room, Pam, Meredith, Phyllis, Creed...
Jim|  He never called a meeting.
Creed|   BO-BODDY! BO-BODDY. What does the first "B" stand for?
Pam|  What are we doing?
Creed|  Were making acronyms. Okay! What does the first "B" stand for?
Kevin|  Um... Business!
Creed|  I like it! Business! Good, Kevin!  All right! The "O"...
Pam|  We need a new manager.
Jim|   Your paper experience is very interesting. Do you think you could use that experience to inform decisions here?
Fred Henry|  Absolutely--I, yes. In fact, I actually have a three-step plan that I believe could effectively double your profits.
Jim|  Really?
Fred|  Yeah.
Jim|   ...What is it?
Fred|  Nice try.
Toby|  Im sorry, what is your three-step plan?
Fred|  Well, I mean, I cant just hand you my plan. I mean, if you guys give me the job, then, then youll get the plan.
Gabe|  Well... its an interview, and we dont know that you really have the plan.
Fred|   Well, Im not gonna just make up that I have a plan. I got a plan. Believe me, you guys want it. Youre in paper, right?
Gabe|  How would we know that, if you dont...
Jim|  You could just be saying it to get the job.
Fred|  I guess I could be, if I was... who would do that?
Jim|  How about this. Why dont you give us a part of the plan, and that way we know you have it.
Fred|  Tell you what. Ill give you part three of part two. Not gonna give you a whole part.
Jim|  Okay.
Fred|  Color-code sent documents, TM.
Jim|  Did you just trademark that...
Toby|   W-What?
Fred|  Thats a verbal trademark. Thats an agreement.
Jim|  We are the Search Committee, hand-picked by our CEO, and tasked to find this branchs new manager. Not everyone we meet will be good, but someones bound to be, right?  And, to be honest, I think a lot of the decent candidates are right here in-house, so, Im not too worried. But Im really excited to spend a lot of time with Toby and Gabe.  Did you know that Gabes last name was Lewis? I had no idea.
Stanley|   Good morning.
Darryl|  Good morning.
Phyllis|   Good morning.
Darryl|  Good morning.
Phyllis|  Did you have a nice drive in?
Darryl|  I did.
Darryl|  I have a solid relationship with Jo, the companys owner. I have management experience. I have a good friendship with Jim, the head of the Search Committee, and it doesnt hurt that Im...  bla-aaack!
Andy|  
Erin|   Its good. I really hope you get it!
Andy|  The manager job? Nah, Im barely interested. I just cant not go for it. You know, its not the Bernard way. We give it the old college try, and then, in defeat, we show grace.
Erin|  Still, Id really like to see this office with you in the bosss chair.
Andy|  Dont even...  EEEHHHH!!!!
Erin|  You in the bosss chair!
Andy|  EEEHHH!! No. Hehe.
Andy|  In my family, you dont really go out and get things. If you want something, you write it on a list, and then the housekeeper goes out and gets it, on Wednesdays and Fridays. So, I dont know, I guess you could say this job is on my list, and...  well see what Rosa comes back with.
Erin|   Did you hear anything?
Phyllis|  Oh, Im sure theyll let us know when they get the results. 
Phyllis|  It turns out that Erin was born in the basic time and region that I gave away a child.
Erin|  So, Phyllis might be my mom. I mean, the chances are tiny, but...
Phyllis|  But, probably not, I mean, it was a big year for babies. Porkys had come out.
Erin|  Yeah. Im sure I was just another Porkys baby.
Phyllis|  Mm.
Erin|  But why not find out.
Phyllis| Yeah.
Pam|   Should you really be so blatant about that?
Dwight|  They wont make me manager, and I wont settle for anything less. Ive gone about as far as I can here. Thats obvious. Time to take my talents elsewhere.
Pam|  Are you really going to apply for work at Scranton Breadworks?
Dwight|  Bread is the paper of the food industry. You write your sandwich on it.
Warren Buffett|  Can you do any better on salary?
Jim|  Unfortunately, that range is set at corporate.
Warren|  What about mileage when I use my car? I mean, gas aint cheap, you know.
Jim|  Heh. We think that 25 cents a mile is pretty generous.
Warren|  How about 27? And uh, when I make long-distance calls, will they be monitored or is it on the honor system?
Angela|   Okay.  How odd, a very unusual phone call from the Senators office. The Senator wants me to have lunch with him at The Botanical Gardens.
Kevin|  The Botanical Gardens, Scrantons hidden gem. Dont eat any berries you dont recognize.
Toby|  How will your experience selling refinery equipment translate to our smaller scale here?
Robert California|  You dont work in sales, do you.
Toby|  Uh... Human Resources.
Robert|  You see, I sit across from a man. I see his face. I see his eyes. Now, does it matter if he wants a hundred dollars of paper or a hundred million dollars of deep-sea drilling equipment? Dont be a fool. He wants respect. He wants love. He wants to be younger. He wants to be attractive. There is no such thing as a product. Dont ever think there is. There is only... sex. Everything... is sex. You understand that what Im telling you is a universal truth,... Toby.
Toby|  Yes.
Gabe|  Okay, I-I am, Im almost a little concerned that you might be overqualified for the position.  Do you, um, do you think that you are?
Robert|  Do I look like someone who would waste my own time?
Gabe|  No. 
Jim|  Can you...  You are a man of great confidence. Could you speak a little more to that, and, what the role of confidence... would be... in a dialogue with a subordinate?
Robert|  Will you be heard? Will you have a voice? Will I steamroll over you? Do you feel heard right now, Jim? Do you have a voice, right now? You can answer me.
Jim|  Yes.
Robert|  That was your choice, not mine. The fallacy is that it is up to the steamroller. It is up to the object... whether it will be flattened or not, and I can tell from the small interaction weve had already, you wont be flattened by anybody. Do you agree with me, Jim?
Jim|  Yes.
Robert|   Yes. You do.  
Jim|   He creeps me out.  But, I think he might be a genius.
Andy|   Good luck, Darryl. 
Darryl|   Thank you.
Darryl|  Think about it! What other mammal, besides humans, drinks the milk of another mammal? I mean, you dont see a bear drinking raccoon milk.
Jim|   Oh.
Darryl|  So this is cool. I think we make a good fit. 
Gabe|  Oh? Uh... we havent started the interview yet. Were you--were you joking?
Darryl|  Uh...  yes?! I was.  Little joke!
Toby|  So, how would you go about settling interpersonal conflicts within the office?
Darryl|  I thought that was your job.
Toby|  Well, its one of my strengths, but its the managers job.
Jim|  Well, for instance, how did you deal with it when two warehouse guys got into a fight?
Darryl|  Ill answer that, Jim. I would use it as an opportunity to teach, uh, about actions... and consequences... of actions. 
Darryl|   Whos that?
Jim|   So I think all we need is a resume, and well be good right?
Darryl|  I... I just thought you knew me.
Jim|  Yeah, its no big deal, just something that looks like that.  Cool? 
Darryl|  Let me...  Oh. Cool. 
Merv Bronte|   Did, uh, you just interview?
Robert|  Ohh, unfortunately, yes.
Merv|  What do you mean?
Robert|  That business cant attract anyone. Its awful up there. Those people seem like theyre in prison, waiting out life sentences in a... dying industry.
Merv|  Place must be horrible. I dont know if I want this job. 
Merv|   Well, if I get this job offer, and then I know that Im gonna take it, and if I take it, I know that Im never gonna quit, and then 25 years are gonna go by and... Im gonna die here.
Dwight|  What makes you feel qualified to judge a place after a mere interview?  What are you doing..?  Stop trying to figure me out.
Robert|  I just did.
Dwight|  You cant.
Robert|  Its done.
Dwight|  No, its not.
Robert|   I know you now, your nature. Im done. Not worth continuing. 
Dwight|  Stop trying to figure me out.  Do you even know anything about paper? How its made?
Robert|  I saw an episode of how they make paper on Sesame Street. 
Dwight|   Get out.
Dwight|  Im gonna prevent inferior men from sullying my place of work with their weak, passionless leadership. Do you see my hat? No? Thats because I just threw it in the ring.
Merv|  You guys pay for relocation, though, right?
Toby|  Well, why would you need relocation, if you already live in Scranton?
Merv|  Well, Id want to move further away, you know? Just... I dont want any chance to run into my co-workers outside the office.
Jim|  Can I ask why youre leaving your current job?
Merv|   Im leaving my other job because they were all jerks, really.  You know, all of em. You had your jerk-wads, and your jerk-offs, so, just between the wads and the offs, I just... I had to get outta there. 
Jim|  Is this a bad time to be doing this?
Merv|  Im having a bad time. 
Toby|  Im sorry, if we did something to upset you, Im sure it was inadvertent.
Merv|   Wait.
Merv|  Oh, why did I believe that weirdo in the lobby? These are the nicest people I ever met.
Angela|   Thank you.
Pam|   Its gorgeous, Angela.
Kelly|  Yeah, I actually know about nice rings and it is gorgeous.
Meredith|   Wow...
Angela|  Its a little flashy. I mean, what am I? Naomi Judd?
Meredith|  Tell us the freaking story!
Kevin|  Yeah! Tell us a story.
Angela|  Okay. He took me to the replica of Monets Japanese bridge, and then he put this flower behind my ear, which normally, I would hate, cause its so civil rightsy. Then he got down on one knee, and he said, will you be a Senators wife?
Pam|   Oh-ho-ho! He talked about himself in the third person?
Angela|  Yes, Pam. Not everyone is as informal as you and Jim.  Oh, hey Pam, dude, whatever, wanna marry me? 
Pam|  Thats not accurate.
Angela|  Then I saw flashes. Reporters were there. They always find us. And everyone was crying, even his aide. 
Oscar|  Angelas engaged to a gay man. As a gay man, Im horrified. As a friend of Angelas, horrified. As a lover of elegant weddings,  Im a little excited.  But overall, horrified.
Jim|  Andy? You all set?
Andy|  Okay, guys, its time. Its pep talk time. Tell me what I need to hear.
Phyllis|  Are you sure this is a good idea? I hate to see you disappointed.
Andy|   Augh.
Erin|  I think Andy should be the boss. Hes just so great. If Im being objective, then Darryl, of course.
Jim|  So, Andy, what improvements would you make as office manager?
Andy|  For starters, I really think we can streamline communication around here... 
Gabe|  Whoa! Thats a very heavy accusation to level against Toby.
Andy|  I wasnt acc-, accusing...
Gabe|  Well, Tobys in charge of Human Resources, that would include communication. I think that Tobys done a fine job.
Andy|  Right! I really wasnt trying to insult any, anyone.
Toby|  I didnt think you were.
Gabe|  I have two relationships with Andy. I have a personal relationship, and I have a professional relationship. Personally, yeah, I think hes a rat, and I think hes responsible for the demise of my relationship with Erin. Professionally,... he broke up the happiest couple in this office!
Gabe|  How many windows are there in New York City?
Andy|  What?
Gabe|  Critical thinking. Common, on-the-spot question asked in an interview.
Andy|  Okay. Let me think... are you counting car windows?
Gabe|  No... How far away is the Sun?
Andy|   Uh, 93 million miles.
Jim|   Is it?
Andy|  Yeah! And the diameter of the Sun is 870,000 miles, which makes it 109 times wider than the Earth, and...  333,000 times heavier than the Earth,...
Gabe|  Shut up about the Sun! SHUT UP about the SUN! 
Andy|   I am unhappy with the confusing and, at times, confrontational nature of that meeting. I wanted it to go better. I WANTED IT TO GO BETTER!!
Darryl|   Yes, there used to be a paper clip that would pop up and say "Looks like you are writing a letter or resume. Would you like help? I believe his name was...  Clippy.
Creed|   First of all, I want to thank you for your years of patronizing our company. Ive got some bad news. Were going out of business.  Saving face.  Yep, yep. I understand that. Basically everything is falling apart here. Pam looks around the office and realizes only she has overheard this] 
Pam|  How is this on me?
Pam|  Hang up.  Corporate needs you to find the differences between this picture and this picture.  Intel has told us there were at least seven.
Creed|   Okay I already see one, gimme. Okay.
Pam|  Theyre the same picture.
Kelly|  Well, I manage my department, and Ive been doing that for several years now. And, god, Ive learned a lot of life lessons along the way.
