Oscar| Oh, for Gods sake. 
Oscar| Planking is a very stupid and dangerous trend. Basically, you lie like a plank in weird places. Thats it. Sometimes you get run over. Welcome to the Internet.
Erin| Planking is one of those things where, eh, you either get it or you dont.Â  And I dont.Â  But I am so excited to be a part of it.
Andy|  After you my good sir.
Dwight| No, I insist.
Andy| I insist.
Jim| The Search Committee finally decided, after a lot of deliberation, on Robert California for the manager position. Who took one look around and left.Â  He drove down to Florida and convinced Joe to make him CEO... CEO... her own job. He talked her out of her own job. And I dont really know how someone does that. But, anyway, then the position was his to fill.Â Â  And he chose
Andy|  I its unbelievable. True, I may have been the second choice, but I was the first-choices first choice. And, about Dwight, I sensed that he might have some resentment about not getting the job so I sat him down and we had a talk. And I told him, â€œI need a really strong number two. I want you to be my enforcer.â€ Smart, right?
Kelly| (planking on top of cabinet] Very smart.
Andy| Uh, this has got to stop.
Kelly| I cant get down.        
Dwight| K... Kevin!         
Dwight| Yeah, at first, I was really disappointed, but Ive got a great daily routine going right now. I have upped my karate to eight times a week. Ive added boxing - lunches and on weekends. I do kickboxing three times a week. Krav Maga four times a week. An hour of meditation every morning at sunrise and again at sunset. So yeah, Im doin great.        
Dwight| K, Im gonna need some help. Pam?
Pam| I dont think I should.        
Jim| Oh, yeah. Pregnant.
Pam| Right here. Little Michael Scott- 
Jim| No, I told you I dont like that joke. It is a boy. We found out early.
Pam| Much different the second time around. And I have to say; it is nice not being the only pregnant woman in the office.        
Angela| Look, its a â€˜Little Pregs  and â€˜Big Pregs 
Pam| Wait, when did we start calling it that-
Angela| Isnt it amazing, the difference in our sizes?
Pam| Well, I am a few months ahead of you.
Angela| I am having a child with my husband, the Senator. And Pam is having a child with Jim... the great salesman.        
Dwight| Hoist him aloft. Cmon Darryl. Lift, lift Darryl. 
Darryl| Im lifting.        
Darryl| Yeah, I wanted the manager job, but I got somethin much better. This soda. This is mine.        
Stanley| It might be easier if you take a deep breath, lift from the knees, and shove it up your butt.        
Stanley| I came up with a new thing this summer. I act like Im telling someone how to do somethin. I go on with a long description and then I say, â€œand shove it up your butt.â€ Its stupid, but its my thing now.        
Jim| No one should be planking at all.
Andy| Thank you, yes. Dwight, my enforcer, my number two, can you take care of this?
Dwight| Say no more.        
Dwight|  Kids, dont try planking. Its dangerous.  â€˜Specially with me around.        
Jim| You watching that commercial again?  Why do you keep watching it, if you know its just gonna make you cry?
Pam| Because everything makes me cry, so whats the difference? This dog, he just wants to protect his bone.
Jim| Hes got a bank vault. Thats a start.
Pam| Not enough though.        
Jim| The new CEO works out of the conference room about half the time. But whenever he takes a break, he does these weird walks around the office. And you never know who hes gonna zero in on for these really intense small-talks. You just hope its not you. And yet, you hope it is you too. Its strange.        
Erin| Here we go.
Robert| Hello.
Erin| Robert California. Lets have a conversation.
Robert| Describe your day so far.
Erin| Well, I woke up. And I hit the snooze-
Robert| And when you recount your day, never say you woke up. Its a waste of your time. Thats how every days begun, for everyone, since the dawn of man.
Erin| Very smart, very smart. Suddenly, I was awake. And Ive been doing this thing-
Andy| Hey, Robert. We have that 930am casual chit-chat scheduled. I emailed you about it last night to confirm. And again this morning.        
Andy| First item on the agenda can I get everyone an extra long Columbus Day weekend. Item number two, connect with the guy. Robert California, what does he think of me? Dont know, super care. Number three, time permitting, we lost our biggest client.        
Erin| Pam, pam. Psst. Pam. 
Pam| Jim. 
Jim|  Can I call you right back? Thank you very much.  Okay.  What is this?        
Andy| The Friday before Columbus Day. Thoughts?
Robert| What are your thoughts.
Andy| Just making chit-chat. Kind of a medium year for womens soccer, no?        
Dwight| What are you looking at?
Jim| Its, its nothing.
Dwight| It cant be nothing.
Phyllis| Yeah, it cant be nothing.
Jim|Â  Its just a list of our names, split into two columns.
Stanley| What?
Jim| Okay, just wait one second, alright? I will copy it. Do you have a pen?
Erin| No.
Jim| No. Okay. Um, Ill take a photo of it. Dwight, can you throw me my phone?
Dwight|  Nice catch.
Pam| If he comes out, distract him. 
