Jim| Hey, so this isnt matching up with thisand Im not sure which ones right. Can you just hunt down the original for me?
Kevin| Yes. Me do.
Jim| Alright.
Jim| Hey Kev, what were you saying before about the paperwork?
Kevin| Me do it now.  Go.  Stop worry.
Pam| Kevin, do you feel OK?
Kevin| Me feel good.  Body strong.  Sleep big last night.
Pam| Yeah, I think we should get him to the hospital.
Jim| Yeah, alright Kev why dont you come with us?
Oscar| No, guys.
Angela| No, hes fine.
Oscar| Hes fine.
Angela| Hes always been like that.
Pam| No he hasnt.
Angela| I mean, hes gotten worse over the years.
Oscar| Hes making a statement. Its an ironic comment on our expectations of him.  A funhouse image of our model of Kevin.
Kevin| You keep think that.
Kevin| Me mechanic not speak English. But he know what me mean when me say â€œcar no goâ€, and we best friends.  So me think why waste time, say lot word when few word do trick?
Andy| Kevin, I appreciate what youre trying to do.
Kevin| Thank.
Andy| Here, we have a word code, the same way we have a dress code.  And what were talking about isbasically the speech equivalent to just wearing underpants.  Sometimes words, you no need usebut need need for talk talk.
Kevin| But save time. More success.
Jim| Does it save time though? â€˜Cause weve been here for about an hour.
Kevin| No me fault.
Pam| Kevin, at most youre saving a microscopic amount of time.
Kevin| Many small time make big time.
Andy| What are you gonna do with all this time?
Kevin| See world.
Pam| Kevin, you cannot possibly save enough time to see the world.
Jim| K, Kevin, are you saying â€œSee the worldâ€? or â€œSea World?â€
Kevin| See world.  Oceans. Fish.  Jump. China.
Jim| No, see? Right there, thats the problem with your method. â€˜Cause I still dont know if youre saying â€œSea Worldâ€ or â€œsee the world,â€ and its taking a lot of time to explain it.
Kevin| Fine, fine.  Ill talk normally.
Kevin| When me President, they see.   They see.
Dwight| This week we are rolling out the brand new Sabre tablet.the Pyramid.  
Phyllis| Ooh, why is it shaped like that?
Dwight| So, you can tell your clients â€œUnleash the power of the pyramid.â€
Pam| Its huge.  How much does it weigh?
Dwight| Oh no no no.  Without the battery pack and optional memory booster, its barely three pounds. 
Ryan| How much memory does it have without the booster?
Dwight| Fifty L.
Ryan| Im sorry,â€ Lâ€?
Jim| How many L to a K?
Dwight| Youre really going to want the booster.
Stanley| How on earth are we supposed to sell?
Jim| Ill take five.
Phyllis| Andy, dont make us sell this stupid thing.
Andy| Oh, no no no no no. This is Dwights meeting.
Dwight| Thank you.
Andy| I just wanted to pop in and get your opinions on tiesand tie clips.  Which combo do you think Robert is going to like more?  What do you think, C-SPAN?
Oscar| â€C-SPANâ€?
Andy| Yeah.  C-SPAN, cocker spaniel.  Spaniel because of your Spanish bloodline and cocker cause
Dwight| Is this really the best use of our collective time?
Andy| I am still forming a first impression with Robert.  Once it is formed, we can all relax.  Ok, Im sorry to hijack your meeting , D dub doghad to pull rank.
Dwight|  OK, lets look at some ties. 
Dwight| Heres how Im going to help out from now on. Im going to not care, and Im going to sit around quietly waiting for Andys inevitable demise.
Dwight|  Your friend Neil Patrick Harris really made me laugh the other night.
Erin| Um, D-Dog, you have a message.
Pam| Erin, you dont need to call him that.
Erin| Andy wants us to, P-Dog.
Darryl| Its ok E-Dog, just who called?
Erin| Justine.  She said shes coming by later.
Jim| Your ex-wife?
Kevin| Wait, I thought she was a **** and you ******* hated her guts?
Darryl| No no no no.  I like her.
Kevin| Well Im just quoting you.  I would never say that about her.  I dont know the woman.
