Dwight| ....back orders and you never called them.
Oscar| Can you believe this?
Erin| Theres a dog in the car.
Oscar| You cant leave a dog in a parked car.  Snowboarder, it figures.
Jim| Do Snowboarders hate animals?
Oscar| I bet this guy didnt leave his weed in the car. OK we have to do something because this is incredibly dangerous.
Andy| Oscar, its not that hot out.
Darryl| A car parked in the sun is like a toaster oven.
Andy| Well, we dont know how long the drivers been gone and its not in direct sunlight.
Kelly| So what, Andy, you wanna just let him die, you scumbag?
Kevin| Here, Im gonna get in my car. When I start dying, I will honk the horn three times. That means save the dog.
Dwight| OK, you know what? Im gonna give him something to drink. Come here, doggy.  Come on.
Jim| Dwight! At least aim it.
Dwight| There you go! Here doggy! Hes not even trying. Come here doggy, come on.
Andy| Were losing cloud cover.
Kelly| Oh dont try to get in on it now, Michael Vick.
Darryl| Hey, hey, hey. Vick did his time.
Oscar| This guys been gone long enough. Hes lost his right to a window. 
Jim| Whoa whoa whoa whoa!
Oscar| Come on buddy, get back.
Dwight| Whoa, Oscar! What are you- What? No, hey! 
Jim| Alright! Nice job, Oscar!
Oscar| And one for good measure! 
Jim| So...ah, whos gonna take the dog?
Oscar| Why would we take the dog?
Jim| What if he jumps out the window and runs away?
Oscar| Jim, hes not gonna star- 
Meredith| Whoa!
Oscar| Shh! Shh! Stay there, stay.
Dwight| Nein. Sits.  Goot.
Jim| Oscar, what do you wanna do, this is kinda your deal. You wanna dog?
Oscar|  There we go. That should do it.
Jim| Yeah, thats pretty good.
Dwight| Yeah, thatll work.
Kelly| Thatll work.
Jim| Nice job.
Dwight| Bye poochie!
Kelly| Bye. 
Meredith| Bye! 
Pam| Whats that come to? Like, what did they each win?
Jim| Oh man, its gotta be over a hundred thousand dollars.
Pam| Awesome.
Dwight| Before taxes.
Phyllis| Thats still a lot of money!
Andy| The warehouse crew won the lottery yesterday. Nine hundred and fifty thousand dollars. And then they quit!...and no one else can focus.  This is it. This is all on my shoulders. Im the one who has to tell everyone to get back to work, Im the one who has to tell Darryl to hire a new warehouse crew. Im the one who has to say those things.
Darryl|  Hello?....Justine!  Nice surprise! How you doin baby?....Nah. No no, I didnt win. When I got promoted I stop-...what?...Yeah. Yeah, Glenn won....Oh, you wanna call him? Yeah, you should call him, congratulate him. Thatll be-...What?....Oh, his numbers in your old phone. Oh, you know what? I might have it right-  Whoops.
Darryl| When I worked in the warehouse, I was part of that lotto pool. They won  playing my birthday.
Oscar| What really interests me is the group dynamic of six people winning the lottery. This will not end well. Right?
Phyllis| Yeah.
Meredith| Were lookin at at least one suicide and one weird sex thing.
Oscar| At least.
Jim| I mean, I dont even know what Id do with all that money.
Dwight| I know what youd do with all that money.  â€œHey Pam, lets buy expensive bathrobes and hug.â€
Jim| No, Id probably buy a big piece of land in Maine, build a house, work in town. Somewhere I could bike to or kayak to. Id either bike to my job at the kayak shop or kayak to my job at the bike shop.
Pam| And then on the weekends, would you hacky sack back to reality and spend time with your wife and kids?
Jim| Whoa. Saucy. I thought you liked Maine?
Pam| I think we should get a townhouse in SoHo...
Ryan| SoHos mostly lofts but OK.
Pam| And then every morning, Id walk out on to my terrace and I would breathe in the inspiration of the city. You know? And just gather ideas for my painting...
Kelly| Oh, god.
Pam| And then my handsome husband...
Jim| Which ideally would be me....
Pam| Would bring me a flavored coffee.
Jim| Stop. Im a barista in your fantasy?
Pam| Well in your fantasy were Stephen King characters.
Jim| I dont know about Stephen King, I mean...
Meredith|  get a divorce...get a divorce...
Kelly| I think I would keep working. And for my salary I guess I would take like a dollar a year....I mean obviously I wouldnt come in till noon and I wouldnt do anything I didnt wanna do. I mean Im getting paid a dollar a year, OK? You can chill.
Andy| Are you kidding me?! Guys if I have to ask you to get back to work one more time, Im gonna change my tone.  To down here like Mr. T. and this will get seriously annoying. I feel sympathy for the jerks who have to listen to this all day.  Darryl, how we doin on the new warehouse guys?
Darryl| I dont know.
Andy| What d-? What..what? Wuh, do we have new guys, or what?
Darryl| No.
Andy| Are they on their way over?
Darryl| I havent hired anyone.
Phyllis| What? No warehouse guys? I have an important order that has to go out by five. I emailed you about it.
Darryl| Im not checkin email till lunch. Four hour work week.
Andy| This is kinda time sensitive.
Darryl| I got it. Im doin it.
Phyllis| Andy, this is a seriously big order. I cant lose this client.
Andy| Alright, well until we have a new crew, lets get some volunteers for warehouse duty. Whos in? 
Erin| As long as you guys dont need me up here.
Phyllis| No..we dont
Dwight| I think well be fine. 
Oscar| Really, nobodys gonna help her? Is chivalry dead?
Andy| Are you volunteering?
Oscar| Of course. I would. But my hip....I would kill to be at a hundred percent. 
Andy| Jim! How bout you?
Jim| Uh, yeah. I mean, as the strongest person in this office, I guess I should go down with you...
Dwight| Hey...OK no. No. That. You are so not...oh god.  False. Andy, I will volunteer.
Andy| Great. And Kevin.
Kevin| Good old Kevin. Hell do anything. Well guess what? I will not do a good job.
Pam| Oh, thank you.
Angela| Sure.
Pam| Wait, wait. Whats this? 
Angela| Oh, sorry. I thought it was a guess your babys birth weight pool.
Pam| It says â€œLotto Poolâ€, right on top. 
Angela| Yeah. And I said sorry.
Pam| Oh come on. You really think Im gonna have a fourteen pound baby?
Darryl| When did I get so fat?
Andy| You look awesome.
Darryl| I didnt hire anyone if thats why youre here.
Andy| Where are we in the process?
Darryl| I have a file of applicants here. I just gotta open it, look at it, interview a bunch of guys,hire some of em. So Id say were in the early stages of the process.
Andy| Did you go out celebrating with the guys last night?
Darryl| The guys did invite me out to celebrate but I decided to just stay home. Eat a bunch of tacos in my basement.
Andy| You do have a fantastic basement.
Darryl| I did. I did have a fantastic basement. Now it smells like tacos. You cant air out a basement and taco air is heavy. Settles at the lowest point.
Andy| Right. Um, well how bout we take a look at some applications? ...This guy wrote his in green ink, thats pretty cool. Check it out. Hey! There ya go...there he is.
Andy| That is not Darryl. I dont know where Darryl is. I suspect probably our Darryl is inside of fat Darryl.
Jim| OK. Three hundred boxes of twenty pound white. Thats seventy-five boxes per person, so thats not so bad.
Dwight| Negative! Three hundred boxes for me, zero for you chumps. Deal with it! 
Jim| Nice.  Whoa whoa whoa whoa! Oh!
Kevin| Damn! 
Dwight| Yup.
Andy| Welcome, everybody! My name is Andy and this is my other brother Darryl. What? No Newhart fans? OK...Darryl, how do we usually kick these things off?
Darryl| You mean what did we do the last time the warehouse won the lottery?
Female Applicant| Your old crew won the lottery?
Andy| Does anyone have experience? Shelving, storing, keeping track. What do we use, the Dewey Decimal system?
<br/>Male Applicant 1| Wait, wait. So all the old guys quit?
Darryl| Oh yeah.
Andy| Well-
Darryl| One of em, Glenn, is starting one of those fat camps where he steals your kid in the middle of the night. Madge and a couple other guys might start a strip club, but on a boat. And Heday is investing in an energy drink for Asian homosexuals. 
Andy| Um, can you guys give us a minute? But stay close, youre all doing great.  maybe grab a coffee..or if theres any donuts out you can split one. You know theyre for everybody so people get fussy....You know what? Just have a donut.  Do you wanna talk about this not winning the lottery thing?
Darryl| I dont
Andy| You sure? Cause you keep talking about it, so...
Darryl| Nope. Im good. Im here. Lets find some warehouse workers.
Andy| Good. Great. Then can you say things that arent like a huge bummer to everybody? Cause the more I talk, the more theyre gonna realize I dont know what Im talking about.
Darryl| OK.
Andy| We need you, OK?
Darryl|OK.
Andy| OK?
Darryl| Yeah.
Andy| Alright.
Dwight|  Whats the problem? Grunting is scientifically proven to add more power. Ask any female tennis player. Or her husband. 
Erin| I didnt feel anything.
Andy| Alright! Thank you for coming back in, again. Uh, now were gonna ask you a few questions. Darryl, you have the floor.
Darryl| Why do you wanna work here?
Male Applicant 1| I need a job.
Darryl| Thats not a good reason.
Andy| Good. Keepin em honest.
Darryl| Dont just take the first job that comes your way. Cause next thing you know, its ten years later and youre still there. Could write your obituary tomorrow, its not gonna change.
Andy| Are we scaring them straight....?
Darryl| I hope so. Think about this carefully. Theres better lives than this one.
Darryl| Ive never been lucky. And Im not talkin about the lottery, Im talkin bout stuff like developing a soy allergy at thirty-five. Who gets a soy allergy at thirty-five? And why is soy in everything?
Ryan| Nice. Right back where I like you.  Can you make ten copies of this for me?
Pam| No.
Ryan| Why not? What are you doing?
Pam| Uh, buying lottery tickets online. 
Ryan| Ah, everyone wants to be rich, but nobody wants to work for it.
Pam| You came in at 1030 today, right?
Ryan| OK, (well just dismiss it.)??????
Andy| Is everyone licensed?
Male Applicant 2| Like a drivers license?
Andy| No. Warehouse license....Masters in warehouse sciences?...I, I feel like Darryl has talked about a license of some kind.
Female Applicant| Is this a joke?
Andy| No. Not joking. This is real....painfully real, what is happening right now.
Kevin|  OK, Im not gonna make it. Im turning back.
Jim| Theres gotta be a better way to do this. This is literally how they built the pyramids.
Dwight| Well, they whipped people which was helpful. But youre right. We should be able to find a more efficient way of moving boxes than Madge or Heday.
Jim| Yeah  Not that theyre not smart people.
Dwight|  No, no. Very smart. Uh, theirs is more of a physical intelligence.
Jim| Id go with that.
Dwight| Like baboons or elephants.
Jim| Not that, dont...
Kevin| Guys! When I was a kid, my sisters used to butter me up and slide me across the linoleum floor of the kitchen. Then really made them laugh.
Jim| Its a great idea Kev, I dont think it applies here though, so maybe we just-
Kevin| Yeah we move stuff and it was fun.
Dwight| Kevin! Doesnt apply.
Kevin| Right. My mom-
Erin|  You need to drop it, OK? They hate it. I like it a lot but they hate it so drop it! 
Andy| Does anyone get distracted easily by bubble wrap?  Youll be dealing with lots of bubble wrap obviously. Um...
Male Applicant 1| How much longer is this gonna take?
Darryl| Did you hire em?
Andy| No. Because they all left.
Darryl| What do you mean â€œthey leftâ€?
Andy| I mean, after you bailed? I got confused and frankly a little weird and the stuff that you said certainly didnt help.
Darryl| Then I think you should fire me.
Andy| What are you talking about? Im not gonna fire you.
Darryl| Yeah. Just put me out of my misery.
Andy| ..OK, this is weird. I dont, I dont get the joke.
Darryl| No? OK. I dont wanna be here anymore. Fire me.
Andy| So Darryl says to me â€œfire meâ€. But what he really means is â€œIm gonna say something really weird, try and figure out what it means.â€ So I say â€œNo, youre not fired.â€ But what I really mean is â€œI have no idea what your talking about, but Im gonna go ahead and hire some people for the warehouse and hope that you eventually start feeling better.â€........I really hope thats what he and I mean.
Andy| Attention! Does anyone know anyone who could work in the warehouse? We can pay. Come on Oscar, whos the most jacked guy in all of Scranton? Like your wildest fantasy guy.
Oscar| Bulk or definition?
Andy| Definition.
Oscar| Bruce Kenwood. He hangs out at Plant Fitness.
Andy| Are those just show muscles? Or is he really strong?
Oscar| Oh, hes plenty strong.
Oscar| It used to be Reggie Winters out at Golds Gym. But he moved away. And then it was between Bruce and this guy Dean. Um, but Dean got fixated on his calves and uh, and his triceps went to hell.
Pam| So. Ive been thinking, after we win the lottery, we take our winnings....
Jim| Our fake winnings
Pam| And we move to the south of France. See? No, theres plenty of bicycling for you. I think thats where they do the Tour de France.
Jim| It is, yeah. I mean I just dont know why Im compromising if its my fantasy. Cause in my fantasy its Maine and you love it.
Pam| Because Im never gonna act like that, even in your fantasy.
Jim| Nope. Youre, youre doing a great job of it in my fantasy right now. 
Dwight| Hey, idiot. What did Erin want again?
Jim| A...hot chocolate tea
Andy| Gideon. You are a PhD candidate studying Americas diminishing blue-collar workforce?
Gideon| North America...and, diminishing is a little reductive, but uh sure. Thats the headline version.
Andy| Great....Well, itll bring a fresh new perspective to the warehouse.
Gideon| FYI, Wednesday through Friday I have a pretty full teaching schedule.
Andy| Eh, cool. Well figure that out.
Nate| Also, FYI, ah, I dont techinically have a hearing problem, but sometimes when theres a lot of noises occurring uh at the same time, Ill hear em as one big jumble. Uh, again its not that I cant hear, uh because thats false. I can. Um, I just cant distinguish between everything Im hearing.
Andy| Got it. Dually noted. You!  Coolest tank top I have ever seen. Where did you get that?
Bruce| Made it.
Andy| So cool! What a cross-section we have here. Thats what I love about interviewing. I get to meet all these people I wouldnt ordinarily meet or know or even talk to.
Dwight| Message in a Bottle, The Postman...
Jim| Kevin Costner.
Dwight| Kevin Costner.
Jim| Yeah. 
Kevin| So I found this grease. And then I remembered that you thought it was a great idea.
Erin| You did say it was a great idea. I heard you say it!
Jim| So, its not the dumbest idea.
Dwight| Its not the greatest one either...
Jim| But, the fact remains we gotta move these boxes.
Dwight| And its clear were not going to carry them. 
Jim| So sadly, its the best idea on the table.
Dwight| Exactly.
