Jim|  Hey. So, we saw a new billboard.
Andy| Yeah? Pretty cool, huh?
Andy| What better way to announce our new slightly lower prices than with an ad campaign? And what better face for an ad campaign than our new regional manager?
Andy| Howd it look?
Jim| Youve seen it, right?
Andy| No.
Pam| Andy, somebody defaced it. 
Andy| What?  Morning, Stanley.
Jim| Theres this thing that people tend to do with billboards. How do I put this? If theres an opportunity for a graffiti artist to work in a... phallic shape, interacting with the artwork, itll happen, and Andy gave them that opportunity. 
Andy| Erin, how long did we order those billboards for?
Erin| Six months. 
Andy| Oh, god. I need you to call the billboard company.
Meredith|  Great billboard! Funny, edgy, right up to the line without crossing it, loved it. 
Andy| Which one did you see?
Meredith| Washington Street, the one with, like, twenty dongs on it.
Jim| Okay, dont be gross.
Dwight|  Whats going on?
Pam| Somebody defaced the billboards we just put out in an inappropriate way. 
Dwight| Oh, thats funny. Wait, from the photo shoot with you and me? 
Andy| Yeah, Dwight. 
Dwight| No. No. No! NO! NO! NO! NO! NO!  No, no, no, no, no, no, No, No, No, NO, NO! NO! NO! NO!  NOOOOOOOOO!
Dwight| Schrute Farms is very easy to find, its right in the middle of the root vegetable district. If the soil starts to get acidic, youve probably gone too far. 
Ryan| Just give us the address. Well look it up online.
Dwight| Its simpler this way.
Oscar| Its really not.
Andy| Now, stated arrival time is 3 p.m.
Kelly| I dont get the reason for this party. 
Phyllis| Yeah, whats the reason?
Kelly| Whats the reason, Andy? Whats the reason?
Andy| Its just a garden party. Sheesh.
Andy| You dont need a reason to throw a garden party anymore than you need a reason to throw a birthday party. Its a garden party. You dont need a reason. 
Andy| Few other super simple reminders â€“ no burping, no slurping, when eating take small bites and chew thoroughly with your mouth closed. Yes, Darryl?
Darryl| What happens when were done chewing? Do we spit it out on the floor, or keep it in our mouths the rest of the time?
Andy| I get it, Im being a little overbearing. But I promise to be underbearing for a week if you guys just all... step it up. 
Oscar| Andy, we understand basic table manners, were not children.
Phyllis| Yeah, its just a picnic. 
Andy| This is not a picnic, Phyllis, its a garden party.
Darryl| Theres a grill in the warehouse I could bring.
Andy| Aw, ew, please dont. Not a barbecue. Its better than a barbecue. Its dignified, quieter, there are rules. 
Pam| How is that better than a barbecue?
