Andy|  Hey everybody its closing time. You dont got to go home but you cant stay here. 
Erin| 
Andy| Closing time.
Andy| Every office needs an end of the day tradition. Something to tell you the day is over.  Otherwise, you go home and the night just feels like more day.  Its weird.
Andy| Closing time
Jim|  ...W R K.
Andy| One last call for alcohol so finish your whiskey and beer.
Jim| Uh no its W R K, as in kitten.  Oh my boss is singing Closing Time, maybe thats what you are hearing.
Andy| Come on pam!
Andy/Pam|  Closing time, time for you to go home to the places you will be from.
Pam| Lets see. Andy has been manager for a hundred and five days. Which means Ive heard Closing Time a hundred and five times.  Still dont know the words. Tah wa Ta way hm hm home and home and home.
Andy| I know who I want to take me home. I know who I want to take me home.  I know who I want to take me home.  Take me hooohooome! You know what fine! I try to start fun traditions for you guys, but if you dont want to sing no traditions!
Stanley|  Closing time every new beginning
Stanley| Ive never heard that song before. And once I heard it, I did not care for it, but that song means its time to go home. Nowits my favorite song.
Andy/Stanley|  Every new beginning comes from some other beginnings end.
Stanley| Goodnight.
Andy| Whose your favorite iron chef?
Robert|  This is atrocious.
Andy| You go first.
Robert| The ticketing software paints a picture of a sloppy, careless, error prone office.
Andy| Well the monitoring software is a double edged sword. Sometimes
Dwight|  Sorry, go ahead.
Robert|  Did you need something from us?
Dwight| WhaYes. Your attention. Uh because No that is all. 
Dwight| Last night I dreamed that the number two was the most valued number in the world. The vice president had all the power. Athletes fought for silver medals. Women were considered the best gender. And stadiums of fans shouted "Were number two!. As with all my dreams, Im guessing it was about my fear of immigrants.
Robert| Last week an accounting mistake resulted in a client getting their order for free.
Andy| Umpfthats not good. Chalk that one up to Tweedle Dee and Tweedle Dumb out there.
Robert| Who are they?
Andy| Theyre both Kevin. Oscar is the Sex and the City gang and Angela, if you can picture
Robert| Andrew sometimes I feel like you dont know me at all.
Andy| I would agree with that.
Robert| Simplyend the mistakes
Andy| End the mistakes, easy-
Robert| When I come back next week and this report shows me no mistakes, we can talk about names, all day. Our favorite names, silly made up names, normal names said in a silly voice. Wouldnt that be nice?
Andy| I would like that.
Robert| End the mistakes. That is all I ask.  And you cant have a favorite Iron Chef. It depends entirely on the secret ingredient. Sometimes I feel you dont know food at all.
Jim| Im just saying with the NBA lockout I think roller derbys in a really good place now. Somy pitch isme, Pam, you and, someone else maybe Justine.
Darryl| Nahh!  No. Not Justine. Never Justine.
Jim| Is that off again?
Darryl| Oh yeah.
Jim| Ok.
Val| Hey, mandatory warehouse safety meeting. Today.
Darryl| AhhWe dont really do those. We just sign the thing.
Val| Are you really this lazy?
Darryl| Ill be there.
Gabe| Hey.
Val| Hey.
Gabe| Mondays suck.
Val| Yeahayup.  Just trying to get in.
Dwight| I may have a little solution to our mistakes problem. This is a project Ive been working on for quite some time and today, might be the day to use it.
Andy| What do you got?
Dwight|  Allow me. Youre going to love this.  Ughshouldve used a shorter string. Never mind, I know it by heart. It is a system that holds people accountable for everyone elses work.
Andy| Sounds controversial.
Dwight| Have I not been worthy of your trust? Have I not been a reliable number two?
Andy| Do not go there! Youre the deuce I never want to drop.
Dwight| Well, I can make this work. Ill set it up right now. Just need your go ahead.
Andy| Go do the voodoo that you do so well.
Dwight| I will do my voodoo.
Andy| Mmhmmm.
Gabe| Hey. I need you to get the paperwork rolling on a new workplace relationship.
Toby| For you?
Gabe| Yes. For Gabe.
Toby| Who are you seeing? Thats gr
Gabe| Whom Im seeing is Val from down in the warehouse.
Toby| Oh.
Gabe| Im not technically seeing her, but uh Ive seen her, with the eyes and uh there was attraction. In at least one direction. So..
Toby| You know I dont have to do the paperwork unless youre actually dating.
Gabe| Ok, but once this starts, its going to be moving fast. Its going to be hot and heavy and I dont want a bunch of bureaucratic red tape wrapped around my jock. You know?
Toby| But I meanuh have you talked to her? Is sh
Gabe| Yeah we had a whole conversation about Mondays
Toby| Do you know her last name, yet?
Gabe| Toby Im going to tell you her last name tomorrow because shes going to be screaming it tonight.
Toby| Shes going to be screaming her own last name?
Gabe| Hey! Watch it.
Toby| Good luck Gabe.
Andy| Hi guys. I just wanted to say that, you all have been doing amazing work., really.
Kevin| Thank you.
Andy| And Id like to add that your work has been a little sloppy. So, Dwight and I have implemented a new program that we like to callDwight
Dwight| The accountability booster. It registers every time a mistake has been made in the office. From a late delivery to an accounting error. Five strikes in a day equals a home run. One home run and youre out.
Andy| If we as a group make five mistakes in a day, something bad happens like we block Minesweeper.
Dwight| Or in this case an email gets sent to Robert California containing the consultants report from last year. Remember the one that recommended the branch be shutdown? And as a fail-safe also every negative email youve ever written about him to the group will also be forwarded to him.
Kelly| What emails are you talking about?
Dwight| Roberts favorite songs Creep by TLC, Creep by Radio Head. You remember that one Jim? There is no way he hasnt strangled at least one stripper. Oscar. He eats his yogurt like he is punishing it for disappointing him. Kelly.
Kelly| Thats not that bad actually.
Dwight| P.S. We should should kill him.
Jim| Wait, so you installed a doomsday device?
Dwight| No, its an accountability booster.
Jim| Which when it goes off it destroys everything. Very similar to a doomsday device.
Dwight| Jim, youre trying to make me sound like some kind of evil maniac. Now the point is that we are now working in an environment where we have accountability to each other. I am confident that you guys are equal to the task.
Kelly| Um, no were not and you are a psycho who is ruining our lives.
Ryan| We cant do this Dwight.
Dwight| Smilenod. Smile and nod.
Dwight| They are making me out to be a Bond villian. I like to think of myself as a brilliant scientist who will stop at nothing to remake the world. Likenot Doctor Moreau someone good. Doctor Frankenstein, Doctor Jekyll, not them. Doctor
Andy| Are you sure this is a good idea? I mean the thing about this office is, we make a lot of mistakes.
Dwight| But the device will change that. Without a safety net, people will improve.
Andy| Alright everybody, looks like we need to be getting to work. Be extra careful. Double check everything or the accountability booster will getcha.
Stanley| This doomsdays device sounds like a scare tactic to me.
Oscar| Theres an easy way to tell if this device is a sham. We just make a mistake. Ill send an order down to shipping before weve received payment.
Dwight|  Oh, theres one mistake.
Erin| Now we only have four strikes left until a home run.
Andy| Dwights our co-worker and he worked really hard on this doomsday device so I
Dwight| Its not a doomsday device, gosh.  We can do this you guys.
Warehouse Crew| First. Second.
Darryl| Its not a race.
Warehouse Crew| Thirrrr.third.
Darryl| Who knows what the belt is for?
Gabe| Its for protecting my ass. When you suckers lift more than you can handle. Sup, Im Gabe. Corporate. Continue. Dont be nervous.
Darryl| Apparently we have a visitor. Gabe, everyone.
Warehouse Crew| Hi, gabe.
Darryl| All right so the support belt. Now this one is mine. Doesnt get much use nowadays.
Gabe| Look at this, this is enormous.
Gabe| I get the sense that Val enjoys a good putdown. Considering thats the only thing I know about her. I will be milking that hard. 
Gabe| Its like a hula hoop. Right. Mele Kalikimaka is the wise way.
Darryl| You done?
Gabe| The Michelin man called, he wants his cummerbund back.
Phyllis| Remember we have to give Rigo Escrow their refund by five.
Kevin| Im on it.
Angela| Kevin, maybe I should handle that. We really need you to focus on your project.
Kevin| Good thinking.
Kevin| Apparently a big client for this company, needs to know the story of how paper gets made.
Angela| Oscar, use a calculator. 
Oscar| When the stakes are this high, there is only one computer that I trust. And its powered by thai food and spanish reds. 
Andy| Alright everybody, you are doing great!
Dwight| Well, I wouldnt say that. Three mistakes already is pretty terrible, but I do see improvement. Meredith kept someone on hold for thirty minutes and now look shes hard at work. 
Jim| Dwight, question.
Dwight| No questions.
Jim| If this doomsday device goes off...
Dwight| Accountability booster.
Jim| If this bad idea goes off and we all lose our jobs. Are you going to feel good about that?
Dwight| I havent even considered it. Thats how sure I am that this accountability booster is going to work.
Stanley| Try mose1234.
Ryan| Dwight would never be that obvious. Try something likez64$8.  Not that exactly Jim, something like that.
Jim| Ok.
Dwight| How about Scrantonstrangler666.
Jim| Nope.
Dwight| No. Oh shoot. Ha ha haYou guys are never gonna shut down the machine, ok? But I appreciate your energy and your team work. If you applied this to your regular work, You wont even notice that the device is there, watching you ready to strike.
Kelly| Whawhats Dwights mothers name.
Jim| HmmHeda.  No.
Darryl| Once you read the packet, sign the back.
Gabe| Hey Darryl, I was thinking, uh, maybe while we read through this, uh, you could grab us all some coffee. My treat. Its a hundred dollar bill. Should cover it I think. Dont bring me any of that caramel soy latte crap, ok? I want a decaf frappuccino. Val
Darryl| Actually, Val, why dont you come with? Ill need the extra hands to carry them back.
Val| Yeah, sure.
Gabe| Uh.
Darryl| Mmhmm.  Caramel soy latte.
Gabe| Decaf frap-
Darryl| Got it.
Angela| You sent the late notice to Ryan Heart & Wolf. Right?
Oscar| Mhm. Six-forty, six-twenty.
Angela| Six-seventy, six-twenty.
Oscar| Nuh uh.
Angela| yes!
Oscar| Five eighty-eight plus fifteen percent- Oh no.
Kevin| What does this mean? What does it mean!
Oscar| Andy. 
Angela| Ohhhh!
Andy| Gahhh. Thats five strikes.
Stanley|  WellI was saving this for my retirement, which I guess is today.
Andy| Dwight we got five strikes.
Dwight| Really?
Andy| Did the email go out or
Dwight| It goes out automatically at five P.M.
Andy| Well, th- Theres gotta be a way to stop it.
Dwight| Well, I would have to enter my password in order to cancel it.
Andy| Ok! Dwight you may now enter your password.
Dwight| No.
Andy| What?!
Dwight| You dont deserve to have this branch. Five mistakes in less than a day.
Phyllis| We did our best.
Dwight| No you didnt, Phyllis. You complained the whole time. You yelled at me. You tried to break into the machine.  What?!
Erin| Youre a real crumb bum, you know that?
Dwight| Hey, you cant just change the rules because you dont like the outcome. What about you, Kevin? What about you and your fake task? Can you tell me now where paper comes from?
