Andy| Erin.
Erin| Yeah.
Andy| In two minutes I want you to come into this meeting and tell me I have a really important phone call. Im not going to take it because I want him to know how important the meeting is to me.
Erin| Whos calling?
Andy| Nobody. Just say that Im-  Just make it up that I have a phone call. And then Im going to refuse to take it.
Erin| Youre not going to take it?
Andy| Just make up a phone call. Its not a real call. Make it up.
Erin| Ohohohoh.
Andy| And come and tell me. Doesnt matter what it is.
Erin| Youre not going to get it though?
Andy| Im not going to take it. And then hes going to be like â€œwhoa this is a really important meetingâ€.
Erin| Copy that.
Andy| Okay.
Andy| Ok, so tell me exactly what kind of deal you are getting now and Ill tell you how we can beat it.
Client| Uh well weve been going with
Erin| Andy.
Andy| Yeah.
Erin| You have a very important call.
Andy| Im sorry â€“ Im with a very important client. Itll have to wait.
Erin| Are you sure? Its really, really important.
Andy| There is nothing more important to me right now than this meeting.
Erin| Really? Because your mother is dead.
Client| Oh my God.
Andy| I dont think shes dead.
Erin| Shes dead. She was hit by a bus.
Andy| Shes not dead. This is exactly the kind of thing my mom pulls.
Erin| This isnt one of those times. Its the police. They said its the worst theyve ever seen.
Dwight| Andy Im really sorry about your mother. My deepest condolences.
Client| Oh you must take this call. Its
Andy| Yeah. Um line 1?
Erin| Line 2.
Andy| Hi.
Darryl|Its Darryl. Erin told me to pretend to be a cop and say your mom died.
Andy| Ooh, gosh!
Darryl| Dude.
Andy| Officer.
Darryl| Look man this is a bad idea.
Andy| Did she have any last words or?
Darryl| Really? That is messed up man.
Andy| Oh make sure that your client gets the best deal possible.
Darryl| Youre a bad man Andy Bernard.
Andy| That is so mom.
Darryl| That stuff can come back to get you. Its called karma. You do not want to be messing around. I got an uncle
Andy| Alright thank you officer. Erin please hold all my other calls. Where were we?
Pam| Hey Cathy.
Cathy| Hi.
Pam| Hows it going? Everything make sense?
Cathy| I think everything is under control.
Pam| Great.
Cathy| You should sit down.
Pam| Oh no, Im fine.
Cathy| No I should go fill out my paperwork.
Pam| Ok  Oh that was just me. Pregnant Pam. And I make sounds much worse than this.
Dwight| Oh we know.
Pam| Im training a temp to be my replacement while Im on maternity leave. Oh I shouldve mentioned Im pregnant. You probably didnt notice because its impossible to tell Im so small. But yeah Im pregnant.  Oh come on!
Ryan| Hey â€“ asking for a friend. Do you happen to know if that new girl is single?
Jim| Hmm. Doubt it.
Ryan| Yeah me too.
Pam| You doubt it?
Jim| Whats that?
Pam| Why do you doubt that shes single?
Jim| Honestly I have no idea. I just figured wed save her from Ryan right?
Darryl| What are you doing with my lunch?
Andy| Im delivering it from the fridge. Its like a porno. Hey did anyone order a pizza?
Darryl| Its not pizza.
Andy| Yeah and were not about to make love. I just thought maybe youd want to eat lunch at your desk today so that during lunch we could go down to the warehouse and bang out a few tunes.
Darryl| I like the sound of that. Is Kevin in?
Andy| Uh you tell me 
Ryan| So word on the street is she has a boyfriend.
