Gabe| The Sabre Code of Conduct outlines the governing principles key to establishing and maintaining trust with our employees, clients-
Kelly| Oh my God, kill me!
Andy| Hey! All right, obviously we all want to die but we have to get through this. So, Gabe go ahead. Its okay.
Gabe| Oh, is it okay with you? Because if its not, you work for me, so... Comply with all applicable laws, regulations, policies and contracts governing our business. Be honest, fair-
Pam|  Im gonna do it.
Gabe| And trustworthy in all your business activities and relationships. Treat one another-
Pam| Oh! Im going into labor! Oh my goodness!
Jim| Oh okay, shes going into labor. Make way, everybody!
Pam| I know its wrong to fake going into labor just to get out of things, but sometimes its necessary.
Pam|  Im going into labor!
Phyllis| Or should I have corndogs. I mean-
Pam| Im going into labor!
Ryan| Okay, three reasons you are wrong about True Blood. Number one-
Pam| Im going into labor.
Pam| Here we go!
Andy| Hey guys, uh, cant keep saying youre going into labor. Everyone knows youre full of it.
Kelly| Yeah.
Oscar| Its not fair, you guys.
Kelly| Pitiful.
Meredith| Its stupid.
Andy| Never cry wolf.
Jim| Okay.
Pam| Okay.
Erin| Oh.  
Pam| Oh! Oh!
Everyone| Oh! Oh my goodness!
Jim| Oh my God!
Pam| Im really in labor! This is happening!
Jim| Okay guys, here we go! Well see you!
Pam| Oh!
Jim| How do you feel?
Erin| Drive carefully!
Oscar| Good luck!
Everyone| Goodbye! Good luck! 
Pam| False alarm.
Andy|  What?! They took another client from us? Okay, bye. Man! Business is war! Customers, clients- its like a war out there.
Andy| I am a leader. But you can only inspire people so much in a place like this. So today Im turning the inspire-factor up to ten with a little help from my friend Americas bloodiest battle.
Andy| Why even read business books? We should be studying war. Going to places like Gettysburg. Where is that?
Erin| Its right here in PA.
Andy|  Well we should take a fieldtrip there. I mean, that would be so cool. I wonder if that bus downstairs is-
Angela| Okay, Andy, we get it. Its a trip to Gettysburg.
Andy| That sounds super inspiring! Im in!
Dwight| Gettysburg? Hmm. Could be interesting. Second-most northern battle in the Civil War.
Oscar| Actually it is the northernmost.
Dwight| Ha!
Dwight| The Civil War history industry has conveniently forgotten about the battle of Schrute Farms.  Whatever. Im over it. Its just grossly irresponsible.
Andy| Charge!
Phyllis| Well, this could be fun. I-
Andy| Yeah, well, the bus has free wifi and I made special low-sugar lunches for everyone. And is anyone kosher or halal?
Ryan| Whats the halal option?
Andy| Dates, tabbouleh, and a bagel with cream cheese.
Ryan| Out.
Andy| You know, its the same as the kosher option. Theres a lesson in there. I mean, I cant force you to go. Youre not my slaves. Thanks to Gettysburg. But... whos coming with me?
Erin| Im in.
Phyllis| Im in too.
Dwight| Guess Im a sucker for historical fiction.
