Dwight|  Oh, little help. Wow your hair is really thinning.
Dwight| Standing is proven to be healthier, increases productivity and just looks cooler. Picture someone doing something heroic. Now was he sitting or standing? Not counting FDR.
Dwight| Every second you sit there is an hour off your life. Look at all of you. I feel like youre in a suicide cult.
Creed| No. No. No. Youre way off on that one.
Dwight| Oh yeah?
Oscar| Are you really comfortable standing there? I tried one of those and I just never hit the sweet spot.
Jim| Hey guys lets just all admit it. Ok? Dwights better than us. He had the guts to stop sitting. And hes never, ever going to go back on it right?
Dwight| Thats right Jim.
Darryl| Hey man.
Dwight|  Hey.
Darryl| Taking a load off huh?
Dwight| No. Putting a load on more like it.
Darryl| Good luck with that.
Dwight| Last thing I need is luck. 
Dwight|  Thank you so much. 
Jim|  What are you up to? Oops look out! 
Dwight| What are you doing? Give that back. Come on!
Jim| Prank! 
Dwight| Oh thats real creative.
Jim| You know what its not my best. Because you could just easily bend over and pick it up right?
Dwight| I could, but I just dont feel like it loser.
Jim| Because youre sitting?
Dwight| Standing.
Jim| Ok.
Dwight| Dont!
Jim| Because youre sitting?
Dwight| Standing.
Jim| You know I have to do this.
Dwight| I know. 
Andy|  Andrew Baines Bernard.
Jim| I think you could just do Andy Bernard.
Andy| Andrew Baines Bernard. I love filling these out. Because its like taking a test, but I know the answers.
Robert|  In four seconds my wife is going to be coming through that door. I told her she could work here. Under no circumstances can that be allowed to happen.  There you are! Honey how on earth could you miss the elevator?
Andy| What was that?
Jim| I dont know. He wasnt talking to me. But if I were you I wouldnt hire his wife.
Ryan| Thats why my foundation â€“ The Dream for a Wish Foundation â€“ is going to put them out of business. Theyre not going to know what hit them.
Robert| Everyone. Id like to introduce my wife Mrs. Robert California. Mrs. California this is everyone.
Susan| Hello. Oh call me Susan please.
Robert| Last night at dinner Susan and I were talking about her returning to work. So shes here today to see if theres a good fit. Something tells me it just might work out. This is Andy Bernard the regional manager.
Susan| Hello nice to meet you.
Andy| Hey there. Its a pleasure.
Robert| Andy would you be so kind as to show Susan around the office. Show her the various departments. Find a place where shell shine.
Andy| I would love to. But I have to be completely honest with you guys. Were 100 percent staffed up.
Robert| Andy. Lets see if theres a good fit first. Then well talk.
Andy| Alright.
Dwight| Knock, knock, knock, knock, knock.
Darryl| You dont have to say it if youre doing it.
Dwight|  Remember how you said that you were looking in the office to do calisthenics and aerobics?
Darryl| Uh weight lifting yeah.
Dwight| Well todays your lucky day. I have opened in this very office building Dwight Schrutes Gym for Muscles. You wanna take a look?
Darryl| Ill take a look.
Dwight| Your path from obesity begins right here!
