Andy|  Christmas tiiiime is heeeere!  Wow. Thanks guys, that sounded amazing. Hi, Im Andy Bernard and I am the first office Santa ever to make holiday wishes come true.
Andy| Whos excited to get their holiday wishes?
Stanley| Holiday wishes.
Andy| Whats that, Stanley?
Stanley| We know exactly what holiday youre referring to.
Andy| It is important to be mindful of all belief systems at our holiday party.
Stanley| Ive been here eighteen years and have suffered through some weird thematic Christmases. A Honolulu Christmas, A Pulp Fiction Christmas, A Muslim Christmas, Moroccan Christmas. Mo-rocca Christmas. I dont want it. Christmas is Christmas is Christmas is Christmas.
Jim| I got Stanley tickets to see Lewis Black for his birthday. ...Might not have been the best idea.
Stanley| I dont want no Kwanza wreath, I dont need a dreidel in my face, thats its own thing. And whos that black Santa for?! I dont care! I know Santa aint black! I could care less. I want Christmas! Just give me plain baby Jesus, lying in a manger, Christmas!
Meredith| What is the status on my wish?
Andy| Fulfilled! Brought my bicycle, so I can be your designated driver later. In the event that you drink to much, which is by no means required.
Dwight| What about my wish that we dont have to attend meetings that degrade our sense of adulthood?
Andy| That, I cannot do, but I did get you an acre of property on the moon.
Dwight| Where? Dark side or light side?
Andy| Light side.
Dwight| Is it by the Sea of Tranquility?
Andy| As a matter of fact, yes. Directly adjacent....beachfront.
Dwight| Thank you, Andy.
Andy| So, whos wish is next? Oh, what about Santas wish? My biggest wish is that you all get along well with Jessica....Cmon guys, Jessica?...Jim, tell em who Jessica is.
Jim| Shes not your grandmother, is she?
Andy| Ugh! Gam-gams name is Ruth, Jim, you should know. I introduced you on speakerphone that time?
Jim| Yeah.
Andy| Jessica is my super serious girlfriend, who is seriously awesome and seriously sexy. Only thing thats not serious, by the way? Our repartee.
Creed| Thats great. When you know you know. Hey, whats Ruths deal, man?
Andy| Totally out of your league. So in summation, ho ho ho, please be nice to Jessica and mistletoe is not an excuse for sexual assault, and dont go near Gam-gam.
Erin| I love Jessica, and I havent even met her yet. Its like we dont even need to meet, you know? I already love you. Stay home.
Kelly| I just want you to know that I will be mean to Jessica if you want me to be.
Erin| Oh no, no. Its fine, Kelly.
Kelly| Its really no problem. I was already planning on being mean to her.
Erin| Thats OK, I dont want you to do that.
Robert|  Hello, ah. Merry Christmas, Erin. Kelly, Happy Pancha Ganapati.
Kelly| Eww, what is that?
Robert| The five day Hindu celebration in December honoring the god Ganesh, Patron of the Arts.
Kelly| Cool.
Kevin| Hey, man.
Robert| Hey!  Oh!
Kevin| How ya holdin up...because of your wife leaving you?
Oscar| Kevin?
Robert| I actually appreciate the human intimacy. Feel like a kitten being cradled by a gorilla.
Kevin| Yeah.
Robert| Its been ten days since I had sexual intercourse.
Andy| Well you came to the right place....Ah, this, this partyll cheer you right up.
Robert| I hope so. The corporate party was wretched. I am so tired of the Black Eyed Peas. Its rock-n-roll for people who dont like rock-n-roll. Its rap for people who dont like rap. Its pop for people who dont like pop.....ah, heartbreaking. 
Andy| Oh, thank you.
Andy| Well, I hate to have to take my Santa hat off, and put on my hard ass hat.  But, this is serious. Its come to my attention that somebody who shall remain nameless, wants to switch desk clumps.
Dwight| Fine with me. Jim can leave anytime he wants. Goodbye.
Jim| It wasnt me.
Andy| It wasnt either of you.
Jim| Kathy wants to leave our clump?
Andy| Sh sh sh sh! Dont look. Who it was is not important...but she did say that your constant pranking and one-upsmanship is driving her crazy. She or he.
Dwight| I just wanna say, this is not my fault. OK? The weak always bully the strong. Contrary to what you see in the media. I am always acting in self-defense. Occasionally preemptive self-defense. 
Jim| Ow, What are you doing? 
Andy| Hey! Hey! Respect the hat!
Jim| Pam never seemed to have a problem with us.
Andy| Alright. Im gonna speak in a language you both understand....Mo-nay.
Jim| What was that?
Dwight| What is it?
Andy| Money....You both have sizable Christmas bonuses coming your way. If I catch either of you messing with the other, I will give both bonuses to the other person.
Jim| Cant do that.
Dwight| No, absolutely not.
Andy| You need consequences. OK? I want you both walking on eggshells.
Jessica| Hi. Im Jessica. Im looking for Andy?
Erin| Jessica. Yes. We dont say hi, we hug.  Im Erin.
Jessica| Oh!  Oof!
Erin| Sorry, hi, I hope you feel really welcome, we all want you here.
Jessica| Oh.
Andy| My ex is meeting my sex....which is always scary, you know? And not just because you think they might talk about your penis...thats just part of it.
Andy| Hey! Jess, Erin, I hope youre not talking about my penis.  Hi.
Jessica| Hi.
