Dwight| Oh, ugh.  What is this, a meatball? Really? 
Jim| Its always more fun to mess with Dwight with an audience. That was usually Pam so now that shes out I had to find someone else. Turns out that Stanley is quite the comedy fan. But not everything makes him laugh. He has very specific tastes. Through a painstaking process of trial and error, Ive found out what he likes. And its really weird.
Dwight| Jim, come on! Thats so juvenile! What the- 
Stanley| Youve been meatballed! 
Dwight| Ugh.
Stanley| Are you ready for some meatball?
Dwight| Aw, man.  This is not very clever, Jim.
Jim| I know.
Stanley| Look for your stapler!
Dwight|  Really Jim? Really? Very funny.
Stanley|  Oh okay. Good night.  Whats the haul?
Dwight| Thirty-two meatballs.
Stanley| Good day.
Dwight| That idiots been feeding us for a week.
Stanley| Well never have to buy meatballs again.
Erin|  Dunder Mifflin. Jessica, hi! How are you? Oh yay, thats so great to hear.
Erin| Im not going to be one of those exes who cant move on. They have their life and I have mine. Im taking an Italian class. So far Ive learned tortellini, spagettini, linguini... Well its not so much a class as a restaurant, but I do Monday, Wednesday, Friday from seven to nine.
Erin| I will patch you through right now. You sound really pretty today. Okay.
Andy| Jessica! I love you! Thats a message from my mom.
Andy| My parents met Jessica and they completely flipped for her so they gave me this old family ring to use on her. I know, whoa! Pump the breaks, Bernard, too early! I get it. I just, you know, Im just carrying it around, seeing how it feels. I havent proposed to anyone in years... Mom took the main diamond out, she thought that had more of a my little brother kind of vibe to it, but...
Jim|  Whoa, looks pretty nice. Got a little bit of a Shining vibe, though.
Oscar| Oh, who needs a house that size?
Dwight| Big. Stupid. Pure chump bait.
Robert| Im selling the house, actually.
Jim| You know, theres a glare from over here... oh wow, thats magnificent.
Robert| Its mid-recession in a depressed area of a faltering state and Ive got the most expensive house on the market. The one percent are suffering too, people. I wanted it to be my Playboy mansion. A temple to wine, revelry, sex, intrigue... this was hot on the heels of Eyes Wide Shut, mind you. Then I met my wife, she moved in, made it her own. Now shes left me and forced me to sell the place. The ultimate insult? Theyre calling my speakeasy lounge a rumpus room.  Does my turmoil amuse you, Jim?
Jim| Im sorry, I thought you were making a joke.
Robert| What could you possibly have found funny in what I said? What was the joke you thought you heard?
Jim| I guess I thought you were approaching it with more of a sarcasm than misery. Kind of laughing at your own pain, sad clown thing.
Robert| Oh yes. How hilarious it is to laugh at clowns, the painted jesters of the dying circus industry. Very funny, Jim. I get it.
Andy| Um, Im getting reports of a serious outbreak of the grumpies in here.
Robert| A beautiful monster cost me my forties and my dream home. I think Im entitled to the occasional bad day.
Andy| Well, please tell Susan we all say hi.
Kevin| Dude, what if, since youre feeling grumpy, we all swing by tonight and check out your indoor pool? 
Oscar| Kevin, no.
Robert| What, as some sort of last hoorah?
Kevin| Yeah. All of us in the pool, saying hoorah. Maybe the last one that says hoorah is it.
Robert| You know I suppose someone should enjoy the place before I hand it over to the staging experts at Remax tomorrow.  Lets try this everyone, tonight, my house, wear a swimsuit. Lets just call it a get-together. And lets say no food.
Kevin| Hey Oscar, was that you who just created a party out of thin air or was it me?
Oscar| That was you, Kevin.
Kevin| It was me.
Meredith| You going tonight, kiddo? Cause I can give you a lift.
Erin| Oh, I dont know, Meredith. It seems like you shouldnt drive maybe ever.
Meredith| Its no problem. You live right near me.
Erin| How do you know where I live?
Meredith| Andy followed you home after the Christmas party.
Erin| Why?
Meredith| He wanted to make sure California didnt put it in you.
Erin| Oh. Come on.
Erin| Wow. Andys such a weird stalker. Following me home like that when he has a girlfriend? I should get a restraining order. 
Angela|  Oh, it is warm.
Cathy| Its almost too warm.
Gabe| Im feeling eighty-two, eighty-two and a half.
Ryan| Oh, so close. Eighty-one.
Gabe|  Well, well say its eight-two and itll be our secret.
Cathy|  Hey, late guy.
Jim| Hey. Wow. Just stopping by. Got another party to go to. A wife and two kids at home party.
Andy| Oh.
Jim| DJ Pam Halpert is spinning some serious Radio Disney tonight.
Jim| Youre looking at the master of leaving parties early. They key is, you have to make a strong impression, so you want to have a picture taken, you want to say some peculiar non sequitur that people remember, you want to note something unique, a talking point, for later. I dont mean to brag, but New Years Eve, I was home by nine.
Jim| Robert, just wanted to grab you one second. This place is amazing, by the way.
Robert| You should see the whole thing.
Jim| I bet I should.  Thats beautiful, Im going to email that to you.
Robert| Im just about to give the tour.
Jim| All right-
Robert| Join us. You must see what you were laughing about.
Jim| I must...
Jessica|  Wow.
Andy|  Yeah, its pretty serious poolage.
Jessica|  What are you doing?
Andy| Hmm? Flicking a bug off my wiener. 
Jessica| Gross. Im getting a drink. Do you want anything?
Andy| No, Im good.
Erin|  Funny how we can be surrounded by people and still feel so lonely. Hi.
Andy| Hi.
Erin| How is everything? Hows your car?
Andy| Its great. You know. Reliable. Great mileage.
Erin| Is that so? How about this weekend we take that sucker to a duck pond or something? Maybe get caught in the rain?
Andy| Well, I cant. Im going skiing with Jessica. you know, a couple of dopes on the slopes.
Erin| Oh, like a goodbye trip.
Andy| No. What?
Jessica| Hey.
Erin| Hi.
Erin| I guess Andy isnt totally over his current girlfriend. But, if he was jealous once before then maybe I can make him jealous again. Just not with Robert. He told me he was a ride I wouldnt survive, and I believe him.
Darryl| Val. You made it.
Val| Yup, yup.
Darryl| Uh oh, look at this. Red plastic cup, red plastic cup. How about that?
Val| You know, you are just as dumb at night.
Darryl| Mmm. 
Andy| All right, theres- this would be no problem. I could swim under, one breath.
Jessica| No, show me.
Andy| Okay.
Jessica| Dive in right here.
Andy| In a minute. In a minute.
Jessica| Okay. You dont know what youre doing.
Andy| A minute would be cool.
Erin| Hey, Dwight Snoot.
Dwight| What-
Erin| What you doing?
Dwight| Im relaxing. Scram. 
