Andy| Val, I need the space.
Val| All right guys, clear out.
Andy| Everybody out.
Val| Promise me youre going to clean up.
Andy| I cant promise what Im going to do or not do.
Val| Promise me that-
Andy| Obviously Im going to clean up.
Andy| Stress is like the uptight mayor or a town whos saying, "Hey, were uptight, you cant dance," and then you have to be like, "Oh yeah, Mayor Stress? Well watch this!" And then... we dance. Oh how we dance.  Sex also works.
Erin| Hey! Jims back from jury duty.
Andy| Hey! Tuna! Hes back.
Jim| Hey.
Andy| Oh, look at this.  Tuna wrap.
Jim| Okay.
Andy|  Hand roll.
Jim| Yeah.
Phyllis| How was jury duty?
Jim| It was pretty uneventful, actually.
Dwight| Cant believe they let someone like you serve on a jury. Makes me question the whole judicial system.
Erin| What was the case?
Jim| Uh, hit and run.
Erin| Ooh, "the case of the hit and run," thats exciting.
Phyllis| Did you send him to the slammer?
Jim| Nope. Not guilty.
Dwight| Of course you found him not guilty.  "Oh, he apologized and I just really want him to like me, mm."
Jim| Were best friends, actually. Were going wine-tasting next weekend, if you want to come.
Dwight| Not coming, have plans.
Jim| Okay.
Jim| I did get called in to jury duty. And they released me around noon, so, didnt think it was worth it to come back to work for a half day. And then the next morning Pam was a little overwhelmed with the kids so I took an extra day to help out. And then three other days happened.
Erin| Ah! Angela had the baby!
Kevin| Is it black? Cause that would be hilarious.
Darryl| Why?
Kevin| You know.
Darryl| Would it be more hilarious than Angela having a Chinese baby?
Kevin| A little bit, yeah. Right guys? Back me up.
Ryan| Eh, a little bit.
Kevin| Oh, did I win the pool?
Erin| Ah, no. Right month, wrong year.
Oscar| Well no one won the pool. Angela wasnt due for another month.
Erin| We should all go to the hospital and visit her.
Phyllis| Oh, Id love to but, um-
Jim| Aw man, I would but I cant miss any more work.
Oscar| Well Kevin and I have to go, Accounting is its own little family.
Kevin| Yeah, Oscars the dad, Im Oscars dad and Angelas my mom.
Gabe| Everyone, our very own Angela-
Oscar| We all got the email, some of us are going to go visit.
Gabe| Oh, I am so in.
Gabe| I love maternity wards. Its the perfect blend of love and horror. Things can go so wrong or so right.
Andy| Come on, Judge Judy, tell us your case. What were the deets?
Jim| Mine was actually a pretty boring case, so-
Meredith| How could it be boring? You were there for five days. Titillate us.
Stanley| Yeah, you owe us. I had to stay until six twice to cover for you. My wife got to the TV first, had to sit through damn Rizzoli and damn Isles.
Phyllis| Yeah, my car got smashed visiting one of your clients and I had to have it detailed and they took my meter change.
Jim| Wow, Im really sorry.
Phyllis| Yeah.
Jim| I never considered that my week off would make everyone elses job harder. The least I could do is give them a good story.
Jim|  So Phyllis, he was here, and then the car came and did- he was like that. Yeah, so it had to be a double backflip, actually.
Toby| You know, when I was on j-duty, uh, Strangler case, we used to recreate the various stranglings with empanadas from- at Ernestos.
Jim| Oh man, Ernestos. That was our favorite restaurant too.
Toby| You mean food truck. Ernestos was a food truck.
Meredith| Toby, shut your hole about the empanadas. Nobody cares about the empanadas.
Dwight| I was in Los Angeles last year. Jim tricked me into thinking Id won a walk-on part on NCIS, but thats not important. While I was being kicked off the lot, I saw food trucks everywhere. Everyone in Los Angeles eats from them. And nobody calls them restaurants.
Oscar|  Guys, I dont know how many of you have seen- Gabe? Bring it in. I dont know how many of you have seen a premature baby before. Its going to be really tiny, so please dont say anything offensive.
Kevin| Got that, bimbo?
Erin| Got it, bimbo. 
Angela| Yes?
Oscar| Knock, knock. Oh!
Kevin| Hi!
Angela| Oh... I dont- I dont want any- what are you guys doing here?
Oscar| We wanted to say hi to the newest little Dunder Mifflinite.
Senator Lipton| Well, meet our not-so-little bundle of joy, Philip Halsted Lipton.
Kevin| Phillip is so fat.
Oscar| Kevin!
Kevin| You warned me not to say anything if it was tiny, Oscar. But you didnt prepare me for a big, giant, fat baby.
Angela| Hey.
Senator Lipton| Yes, hes substantial.
Erin| Hes more than substantial. Hes a monster.
Dwight| So this whole hit and run thing, theres just one part I cant figure out. You said it was at a four-way stop...
Jim| Mm-hmm.
Dwight| And the victim rode his bicycle into the left hand turn lane but the perp was already in the left-hand turn lane?
Jim| Mm-hmm.
Dwight| See, thats what Im having trouble with, because the fact is, you never said he was on a bicycle.  Busted, Halpert!
Jim| Okay, wait, wait.
Dwight| Yes! Andy, get out here.
Jim| No. I never said he was on a bicycle. I just said I wasnt listening to you.
Dwight| I am making a citizens arrest. You have the right to remain silent. You have the right to beg for mercy. You have the right to request judgment by combat. Dwights rights.
Andy| Whats up, gangstas?
Dwight| Jim was lying about jury duty. He was lying the whole time so he could go do yoga or go canoeing. I dont know what this pervert likes. Fire him!
Andy| Dwight, not everything is a conspiracy theory.
Dwight| I have Jim on the record saying that the vic-
Andy| No. Dwight! I have me on the record, saying to you, take a chill pill.
Dwight| I dont- I dont need to take a chill pill.
Andy| Here, right there.  Down the hatch.
Dwight| I really dont want to take the chill pill. 
Andy| Attaboy. Good. Now, chill.
Dwight| Okay, okay.  But lets just say that Jim was lying about jury duty. You would have to fire him, right?
Andy| Yeah, sure, of course. Id fire him to Timbuktu. 
Dwight| Thats good enough for me. 
Jim| ...and Pam was just going crazy, trying to take care of Philip because Cece has been out of control recently, and- look, Andy, it doesnt matter. The truth is, I just feel terrible lying to you.
Andy| I feel terrible getting lied to. No ones ever lied to me before.
Jim| Okay. I think the best thing to do right now is just come clean and tell everybody the truth.
Andy| No, not after what I told Dwight about firing you. No. Heres what were going to do. Were going to have ourselves a good old-fashioned cover-up. Have you ever heard of a Connecticut cover-up?
Jim| No.
Andy| Do you know why you never heard of it?
Jim| No.
Andy| Covered it up.
Jim| Are you sure you can keep this under wraps?
Andy| They used to call me King Tut because Im so good at keeping things under wraps.
Andy| My nickname was actually King Butt, because I had a king-size butt.
Ernesto|  Where you want I park?
Dwight| Okay, everybody, gather round. Got a real special surprise for you. 
Toby| Ernesto!
Ernesto| Hola Toby! 
Toby| Yeah, hey.
Ernesto| Como esta? 
Nate| Uh, Im going to say "I" when Im talking for Ernesto, so instead of "he says blah, blah, blah," Im going to say "I say, blah, blah, blah," but thats for him. Anyway, it was something like, "He remembers Toby."  "I remember Toby."
Dwight| Okay- oh, Jim. Hey, this guy look familiar?
Jim| Uh-
Toby| Its the empanada guy.
Jim| The empanada guy!
Dwight| No, Toby!  Damn it, Toby! No, I wasnt asking you.  Ask him if he remembers Jim. 
Ernesto| No.
Nate| He says, "No."
Dwight| He says, "No!" Boom!
Andy| Yeah but who remembers all their customers? I mean, I can name like three of our clients.
Dwight| Okay, he remembers Toby, the most forgettable man in the known world. 
Nate| Ah, he doesnt want any trouble, he sees lots of people, they come from all around to eat his delicious meat pockets.
Jim| Uh, you guys are going to love these. So, empanadas on me. You guys gotta try them.
Creed| Usually Im a burrito guy, but if you wont tell, I wont. Wink, wink.
Dwight| Great. And while were enjoying these delicious empanadas, Jim, why dont you tell us your story again?
Andy| Why? Everybodys heard it.
Dwight| Walk us through it. What time would you get there every morning?
Andy| Hey, Murder She Wrote. How about we drop the whole Murder, She Wrote thing, okay? Jim was at the courthouse for jury duty every morning. How do I know? Because I drove him there.
Phyllis| Why?
Andy| Why? Why? 
Jim| Because my car broke down.
Andy| His car broke down. So he called me, cause I live near the courthouse.
