Jim| Oh ho! Look whos back reporting for duty.
Pam| Hey guys!
All| Hey.
Pam|  Hi.
Andy| Pam! Ahh! Look what I can do now that shes no longer pregnant.  Bam! Bam! Bam! Bam!
Phyllis| Are you glad to be back?
Pam| Yeah. Yeah, I mean I could have used another week, or three.
Stanley| You still had eight weeks more than we did.
Pam|  Well, its not exactly a vacation.
Angela| Hello everyone! Remember little old me. Hi!
Dwight| What are you doing here? You just had our baby. Our collective Dunder Mifflin...family baby. Four days ago.
Angela| I wanted to come back to work. Not everybody needs some long luxurious Parisian maternity leave. 
Pam| What?!
Kelly| Damn girl! Your body!
Oscar| Angela, you look amazing.
Angela| Really? I feel like this big rhinoceros. Anyway, I wanted to thank you guys for covering for me so I made some treats. Ive got brownies and magic cookie bars.
Group| 
Pam| Oh Angela, those brownies have walnuts in them and I think Kevins allergic to walnuts. Youre allergic to walnuts, right Kevin?
Kevin| Extremely, but Im gonna fight through it.
Pam| Aw. Its OK Angela. I have mommy brain too.
Angela| I dont know what that is, Pam. I made a batch with no nuts, special for you Kevin, right here.
Pam| When did you find time to do all this?
Angela| Babies sleep a lot Pam, if you feed them enough. Brownie Pam?
Pam| Thank you.  Oh my gosh. Its really good.
Angela| I wouldnt know, Im watching my weight. Ugh.
Pam| So you guys, you know whats an even more useful treat...is cash. So-
Jim| Nope. Its over.
Pam| ...we wanted to say thank you-
Jim| Nope. OK.
Andy| Dwight, I have exciting news for you.
Dwight| What?
Andy| I think youre going to like it.
Dwight| You cant tantalize me.
Andy| Oooh, maybe I can.  I got an email... from corporate....that told me that...
Dwight| OK. 
Andy| That... you got a promotion!  Right? I mean thats not the kinda thing you wanna read quietly at your desk.
Dwight| If you make me head of sales one more time, I swear.
Andy| No, this is legit. You will be assembling a team to go to Tallahassee for three weeks to develop and launch a chain of Sabre stores.
Dwight| Yes! Yes! Yes! Yes! Yes! Yes! Yes! Yes! Yes! Yes, yes, yes, hi-yes! Yeah yeah yeah yeah!
Dwight| The Shrutes have a word for when everything comes together in a mans life perfectly Perfectinschlag. Hmm. Right now, I am in it. I finally get a chance to prove myself to corporate, I am assembling a competent team, I am likely a father, I am so deep inside of perfectinschlag right now. And just to be clear, there is a second definition, â€œperfect pork anusâ€ which I dont mean.
Erin| And heres the fax for you.
Andy| And heres some facts for you. Did you know frogs can hear with their lungs? And that flamingos can have orgasms that last 30 minutes.
Erin| Ah! Love to learn.
Andy| Yeah, its weird that I said that last one.
Erin| So... 
Andy| Uh yeah, look at that.
Erin| Were pin twins.
Andy| Pin twins! This is a gift from Jessica, kind of a gag gift really. Real gifts come later.
Erin| Yeah. Thats cute. When I saw it in CVS it made me gag too. 
Erin| For a while there I thought something would change. But nope. Andys still with Jessica, they even carpool together most days. I dont know, I wouldnt mind carpooling every day with Andy, but I wouldnt want to spend that much time with Jessica.
Darryl| What do we have here?
Darryl| Val knit me a beanie. But I cant if its a â€œwere just friendsâ€ beanie or a â€œIm hot, youre hot, lets get it poppinâ€ beanie. So Im gonna up the ante, give her a clearly romantic gift, and well get to the meaning of the beanie.
Dwight| Pam, pack up your post-natal swimwear, make it a one piece or this offer is rescinded, and join me on a fantastic barbeque one week from today in Tallahassee, Florida where Im going to be living for the next three weeks.
Pam| Really?
Dwight| Mm hm.
Pam| Ill fly anywhere for some good barbeque.
Jim| Ooh, me three.
Dwight| Eh! No plus ones. This is for competent workers only. And dont worry about the cost, Sabre is footing the bill.
Pam| Does this have anything to do with what you were talking to Andy about?
Dwight| God, youre such a spy.
Darryl|  Notice anything different about me?
Val| Youre wearing the beanie. You like it?
Darryl| Super comfortable. Like sweatpants for my head.
Nate| I love it too Val. Its its really itchy, uh but to be fair my head is constantly itching so I cant really peg it on the hat.
Darryl|  Wow. Its like the nation of Islam down here.
Val| I like to knit, dont hate. And whos that for?
Darryl| Oh, this is a gift, for....my man Nate here.
Nate| What?
Darryl| Yeah.
Nate| Darryl, you shouldnt have.
Darryl| Hey.
Nate| Can I open it?
Darryl| No, no, no. Maybe just later.
Nate| Ah, I cant wait. Im sorry. I get too excited.  Darryl.
Val| Wow. Those are really nice.
Nate| Theyre so elegant.
Val| Cashmere.
Nate| Howd you know?
Darryl| Just a hunch. Your gift is on the way.
Val| Cant wait.
Nate|  â€œIm glad youre in my life. Happy Valentines Day.â€ Ugh, Darryl. I am glad to be in your life too. Oh, your card is more beautiful than the gloves.
Dwight| My first task as special project manager Dwight Shrute? Assembling a crack team. I need people who are loyal. People wholl help me get an inroad with the gay Hispanic community. People who wont be missed. We dont need idiots, good for nothings, methheads or... Whats your name?
Kathy| Kathy.
Dwight| Kathy.
Jim| I just got a text from Robert California that says â€œbring your clubs to Floridaâ€.
Pam| Why? Does he think youre going to Florida?
Jim| I hope not.  Because I am not going. Two question marks?
Pam| No, just do one. Two question marks is kind of aggressive. You know its like wha-what?? Just do one.
Andy| You wanna take Darryl, Phyllis, Toby, Angela and Oscar?
Dwight| Yes.
Andy| Can I interest you in someone less essential? Like uh a Creed or a Meredith perhaps?
Dwight| Oh my god.
Andy| Theyre not expendable exactly, I just cant...I cant think of the word Im trying to find.
Dwight| Are you kidding me?! Im supposed to get in an airplane with those nincompoops? Wed never get off the runway.
Andy| Alright, look. I gotta keep this office functioning somehow. So, I have put together a list, heres your team. Darryl and Phyllis you can have, but youre also taking Kathy, Kelly and Kevin.
Dwight| Oh god.
Andy| You have your team.
Dwight| Kevin!? Kelly!? Kathy!? Andy just gave me a chain with three weak links. Have you ever tried to use a chain with three weak links? I have. And now I no longer own an arctic wolf.
Pam| Well, lets hear it.
Jim| â€œRobert, Hey!â€ Exclamation point.
Pam| I like it so far.
Jim| â€œGot your text, awesome idea. Lets hit the links next time youre in PAâ€ Dash JH.
Pam| Its perfect. You emphasized the golf, completely omit the Florida.
Jim| Yeah, its a golf text.
Pam| Total golf text. Send it.
Jim| Duh- Wait. I just feel weird. I should just call him.
Kelly| You wanna call someone? That texted you!? Do you wanna drive them away? I mean, ugh.
Darryl|  This is Darryl.
Bob| Oh, sorry I asked for the main shipping number. I just need the address for the warehouse? I want to send my girlfriend some flowers.
Darryl| Your girlfriend? Is your girlfriend Val?
Bob| Yeah, do you know her?
Darryl| Were friends. Were friends.
Bob| Cool. Um, so can I get that address or...?
Darryl| Yeah sorry, Im just looking for a pen.
Bob| Why do you need a pen?
Darryl| Back off! I got my reasons.
