Dwight| Today is the first day of Sabres new project to develop a chain of retail stores. I am meeting my new boss, Nellie Bertram, head of special projects. Work starts at nine. Sabre HQ is thirty minutes away, driving the speed limit. Giving everyone twenty minutes to shower, plus fifty for Jim to style his hair, twenty for breakfast, forty for Erin to get lost between her room and the lobby, ninety for Ryan to do his morning ecstasy... Were already twenty minutes late.
Dwight| Wake up! 
Dwight| Hey, hey, hey, hey! Wake up!  Ow! Why are you sleeping that way?
Erin| Oh. I was reading the mattress tag and I fell asleep.
Dwight| Stanley! Wake up! Youve got to wake up, the hotels on fire!
Erin| Stanley, wake up, its pretzel day! 
Stanley| Mmm!  Ugh!
Dwight|  Good morning.
Erin| Hey, wake up. Lets have some fun. Were in Florida now.
Ryan| Hey, you. Im so glad this is happening. I actually came to your door twice last night. Come on in, the waters fine.  Oh, not cool!
Jim| I am on the two kid sleep schedule so Im up and at em at four fifteen, but no kids, so I honestly didnt know what to do with myself, and then I thought of something. Uh- 
Dwight| Heeeeres Dwi- what the-?  Oh man.
Erin| What do you think happened?
Dwight| Looks like Jim got mixed up with some bad apples.  Oh no, no, no, no. It wasnt me. I gotta find Luwanda at The Alcohol Club. Oh. 
Jim| Puppet.
Cathy| Cool, for your kids?
Jim|  Yeah. Its weird being away from them. Never done this before.
Dwight| Attention, Dunder Mifflin group. Proceed outside. The vehicle is waiting. Seats have been assigned. Shotgun goes to Ryan. Congratulations, Ryan.
Dwight| I need to make Nellie see me as a leader today. First impressions get locked in forever. When I first met Pam, she said something that slightly rubbed me the wrong way. Since then Ive loved working with Pam and shes frankly wonderful, but I hate her.
Dwight| Ill have a bottle of the antacid. Also, I want to get a souvenir for my son, but his mother doesnt acknowledge my paternity. Do you have anything for that? Also, I want it to have a Florida feel.
Saleswoman| What does he like?
Dwight| Power.
Ryan| Okay, and this one is, "Huh. Dont see too many museums around here."
Dwight| Okay, Twiggy, thats enough. Get in the car.
Erin| Hey, are you okay?
Dwight| Im fine, okay? Its just stress. You know, cause I care about this project. And frankly the fact that none of you are vomiting or diarrheal right now I find very alarming.
Erin| Who says none of us are diarrheal?
Jim| Are you sure its stress? Because I did poison you.
Dwight| Very funny, Jim.
Jim| Oh no, Im serious. I was thinking, "For this trip I have to do something epic, so what should that be?" and then I thought of it. Ill poison you. What are you gonna do? You gonna steal my newspaper or put a cricket in my cereal or something?
Dwight| Im gonna set your face on fire.
Jim| Thats a good one.  Whoa, Stanley! Did you just come back from burning down a rival nightclub?
Stanley| Laugh it up, Halpert. Im in Florida for a month without my family. Im gonna enjoy this. Want to get in? You can work the iPod.
Jim| Yes.
Stanley| Youre a nice guy, Jim, but you have no idea how to vacation. Find some Kenny Loggins.
Jim| Loggins and Messina.
Stanley| Did I say "Messina?" 
Andy| Ahh!  Sorry I couldnt resist. Its so quiet.
Creed| I like it. Its so peaceful, Ive already written like, twelve plays today.
Andy| Its so quiet, one might say, you could hear a pin...  I thought that would be cooler.
Darryl| I loved it.
Meredith| Hey, can you pick up the pin? Some of us like to work in our bare feet.
Andy| Of course, I will pick up the pin. It is right here. Got it.
Oscar| Can we see that? Did you really find it?
Andy| Yes, right here. Got it. Dink, ow.  In the trash.
Pam| Hey, why is it so quiet? Shouldnt the phone be ringing? Uh-oh. Erin set the phone to voicemail.
Everyone| Oh great. 
Kelly| Were screwed.
Pam| There. 
