Pam| Hey Angela, you wanna see a picture of Phillip wearing those little booties you got us?
Angela| So cute.
Oscar| Hey, you guys want to see a picture of Gerald wearing galoshes? He refused to go out in the rain until I bought these. Now going out in the rain is all he wants to do.
Pam| Oscar thinks that having a dog is just like having a baby.
Angela| News flash - If you didnt carry it around for nine months, it isnt your kid.
Pam| Exactly. Unless you adopted, of course.
Angela| That is where we disagree.
Oscar| Hey, are your little dudes crawling yet?
Pam| No, three-month-old humans dont do that.
Angela| My Phillip is crawling.
Pam| Angela is such a liar!
Oscar| Its maddening!
Oscar| Exactly. Thats just like crate training. All night long, all night long.
Pam| Well count yourself lucky. Wait until you have two. Thats two sleep schedules, two naps that dont coincide, I mean, youll never sleep again.
Angela| No one said "you must have two"
Oscar| Like her genes are so important. The world just needs more Pam/Jim DNA. Thank you, no.
Angela| No thank you.
Andy|  Check this out. My brother just got a new sailboat. He has NO idea what he just got himself into. Theres nothing harder than taking care of a boatam i right?
Angela/Pam| Unbelievable!
Oscar| Un-be-liev-a-ble.
Nellie| It is the end of the day, it is the end of the week. We managed to fill 40 hours somehow. Thats not bad, is it?
Packer| Thats great.
Dwight| Pretty good.
Nellie| Well thank you. This is very helpful feedback.  Dwight, I am still not ready to name a VP.
Dwight|  Thats not what I was going to ask. Gosh, jump to conclusions. Come on, I know, youve got so much on your plate. Right now, youre like oh, whats more important? Dwights question, figure out whos the VP? Dwight, VP. Dwight, VP. Dwight, VP. Dwight, VP.
Nellie| I cant be hypnotized, Dwight. I tried it, I ended up smoking more.
Dwight| Can we at least eliminate those that are not in the running? Free them up to focus more completely on the menial. Like stacking or sorting, or-
Jim| Catching butterflies.
Dwight| Thats a hobby, unless its for food.
Jim| Theater.
Dwight| Waste of time.
Jim| Dragging.
Dwight| Thats just a verb.
Jim| Dragging sticks.
Dwight| Yes, nice, perfect. Dragging sticks.
Nellie| Alright, Im gonna eliminate three people right now, okay? Just you three, no.
Packer| Not good enough (clicks tongue)
Dwight| English peoples main use today is judging American talent.  Youre crap. Youre wonderful.  Theyre mean, but theyre incisive.
Nellie| Everyone meet in the hotel bar at 700. Im not allowed to say its mandatory, so lets just call it compulsory. 
Packer| Ill be there at 600
Cathy| Ugh, were gonna have one of those crazy nights, arent we? Maybe well see the real Talla-nasty weve been hearing so much about.
Jim| Talla-nasty, very clever.
Cathy| Thank you-
Gabe| Wait, wait, you think she invented Talla-nasty?  no, no, no, no
Jim| Cathy? Its been great. Fun, normal.  I thought I was gonna be hanging out with stanley on this trip, but hes turned out to be kind of a loose cannon.
Stanley| My friend and I are new here in Tallahassee. Would you like to get a cocktail? . Maybe go out for a little dancing. Beautiful day, no?
Andy| Okay, everybody. 500. Workday is over. Put your pencils down. Aaannnnddd bring em back up, because now, the late night work jam begins!
Pam| Yes, the conference room is set up. Ive got pens, Ive got paper, Ive got a whiteboard, we are good to go!
Andy| Say what?
Pam| We are good to goooo!
Andy| Say what?
Pam| Were good to goooo!
Angela| Stop it. 
Andy| Say-
Angela| Stop it.
Oscar| Andy.
Andy| Tonight were staying late to service the accounts of the people who went on the Florida trip.
Pam| Yes, of course, we couldve just been doing this the whole time, but SOMEONE dropped the ball.
Andy| ball droppings can be beautiful. For example, when it turns an awkward soprano into a rich, full tenor. 
Packer| Jason Bourne would kick Bonds ass.
Nellie| Jason Bourne has no support staff. His own governments out to get him.
Dwight| Genghis Khan could take em both down cause hes not afraid to kill children  What? its true. He- He would- he would eviscerate babies and hang them from poles outside of the villages. (Jim taps Dwight on the shoulder)
Packer| Okay, drinking game. Count of three, take three sips.
Dwight| Thats a stupid game. I got a great drinking game. Okay, everyone empty your pockets. Whoever has the most seeds is the king. Whoever has the least buttons is the hunchback.
Gabe| What happens if youre the hunchback?
Dwight| Oh, you get kicked.
Jim| How many buttons do you have?
Dwight| (takes out bag) 40. Always.
Cathy| Can I see?
Dwight| Sure. (Hands bag to Cathy)
Cathy| So, I get to kick you now.
Dwight| No, theyre not transferrable just cause I handed em to you.
Cathy| Well, thats how I played it in college.
Jim| College rules (Cathy throws Jim the bag and Jim kicks Dwight)
Dwight| Aah!
Packer| Aaaaand he host at his own lame game.
Nellie| Ooh, double meaning! The game was lame, and now hes lame from the kick. Quick wit.
Packer| Thank you.
(Dwight looks on angrily)|Ryan
 Ill have a glass of your oakiest chardonnay, please.|Erin
 And I will have waffle with your mapliest syrup.|Waitress
 Sorry, no waffles.|Erin
 Oh, okay. Just forget it, then. Forget it. Forget it.|Ryan
 A waffle?|Erin
 A hotel waffle. I know what I want to eat. Is that crazy?|Ryan
 No.|Erin
 Im moving down here, you know.|Ryan
 Oh, no, I didnt know.|Erin
 Im young, and I can  and if I cant, Im still pretty young. I guess Ill always be young.|Ryan
 You come with me. Were gonna get you that waffle.|Ryan
 Why would Erin confide in me that shes staying here in Florida if she didnt want me to make some last-ditch, nothing to lose, Kelly Ka-who run at her? (Erin walks over) Hey.|Erin
 Hey.|Pam
 Watson carpet and tile.|Kevin
 One order.|Oscar
 Order reference number 00983-126.|Phyllis
 Eight Cases, bright white inkjet.|Angela
 Paid.|Kelly
 Im dying!|Darryl
 Processed.|Val
 And delivered.|Kelly
 Sometimes I get so bored I just want to scream, and then sometimes I actually do scream. I just sorta feel out what the situation calls for.|Nellie
 I will be right back.|Packer
 I will be here.|Dwight
 Hey. I see what youre doing. Its futile. the VP position is mine.|Packer
 Oh, please, Youre through. Shes going to give it to me as Im giving it to her tonight. The cowgirl has chosen her saddle. |Dwight
 Well, saddles   sometimes fall off, especially if you dont properly cinch the girth.|Packer
 What? Thats a joke, right? You see the way shes all over me.|Dwight
 If anyones having sex with Nellie for personal gain, its me, and Im not joking at all. If you dont tighten your saddle, you may fall off.|Andy
 Who is ready for dinner? "oh, I bet its pizza, or tacos, or something stupid". No.  I went south of the border for this. And then I went south of that border. And we have ourselves   A Jamaican feast, mon!|Phyllis
 If I wanted Jamaican food Id just hire a bunch of bodyguards and go there.|Andy
 Additional trivia factoid, this food comes to us through Val. And our server is none other than Brandon, her boyf!|Val
 Hey.|Brandon
 How you doing, Val? |Oscar
 Jamaican, huh? I just read about the elections down there. Crazy stuff.|Brandon
 Oh no, Im not actually Jamaican.|Oscar
 Terrific.|Darryl
 Whats up man? Im Darryl.|Brandon
 Darryl, I heard about you. You doing good?|Darryl
 Oh yeah.|Brandon
 Must be doing real good since youre f***ing my girlfriend.|Everyone
 Whoa.|Kevin
 Dude, you didnt tell me you were f***ing Val. High five!|Darryl
 Im not sleeping with your girlfriend.|Val
 Brandon, what the hell are you talking about?|Brandon
 Dont play dumb with me. I know whats up.|Val
 Honey, I am not sleeping with-|Andy
 Heyyy lets get back to the food. Brandon, tell us about these delicious looking goops!|Brandon
 Hope you all like goat.|Andy
 Goat|Nellie
 Blow in my ear.|Packer
 Alright.|Nellie
 Like Im on the beach.|Dwight
  Seagull. |Nellie
 And a wave crashing a wave crashing.|Nellie
 Oh, that is lovely.|Jim
 Alright, thats gonna do it for me tonight. Have a lovely evening.|
Jim| Hey, hows it going?
Cathy| Hey, uh, good. Uh, the heating system though in my room is all messed up. Its like 90 degrees in there. Maintenance is working on it. Can I hang out here?
Jim| Uh yeah, Im just watching basketball.
Cathy| Okay, yeah.
Jim| Okay.
Cathy| Cool  Is this March Madness? I love March Madness.
Jim| Oh, no, thats not this cause thats in March. Uh, this is just the NBA. Professional. Miami Heat, actually, so 
Cathy| LeBron James.
Jim| Yes, nice. Good word association
Cathy| 
|Nellie
 Impressive.|Dwight
 Oh please, anyone can tie a knot, the real skill is in untying it |Andy
 Thornwood Wholesalers.|Kevin
 One order.|Brandon
 I read the text you sent to Val, man.|Val
 Thats messed up.|Angela
 Is this spicy?|Brandon
 No, baby girl. It would be messed up if I didnt find anything, but I did, so-|Andy
 Im pretty sure if Darryl sent Val a text, it was about some paper emergency or something.|Brandon
 At midnight?|Andy
  yeah|Kevin
 It happens! Like a hospital needs more napkins for surgery|Kelly
 Guys, were not gonna settle anything this way. I think we just need to be grown-ups here.|Andy
 Thank you.|Kelly
 I thin were gonna need to here those texts.|Andy
 Kelly, remember how you wanted to go home before?|Kelly
 No. Theres no way in hell Im leaving. Something interesting is happening here for once in my life, I am staying here. Darryl, read the texts.|
Jim| Yup, coming.  All right.
Stanley| My mini bar is oddly out of rum.
Jim| We have plenty.
Stanley| Oh, hello. 
Jim| Do you want to watch the game with us? Were watching a game. The Heat game. Just a game.
Stanley| Got it. Good night. Careful Jim, it gets easier and easier.
Jim| No, no, no, Stanley.
Stanley| mm-hmm. 
Jim| Stanley. Stanley.
Stanley| uh-huh.
Jim| Stanley. Uhh you know what? Just bring back those bottles!
Erin| Whoa. the lights are still on.
Ryan| Yeah, they keep them on cause its less expensive than turning them on and off.
Erin| I like how guys just know stuff all the time.
Ryan| Girls know a lot of stuff too, okay? And nobody knows more than you. Especially me.
Erin|  Hello, waffle iron.
Ryan| Hello, what do we have here?
Erin| Okay, so the recipe says we need a mixing bowl
Ryan| Right.
Erin|  a measuring cup
Ryan| Got that.  Get down.
Erin|  Its the fuzz!
Ryan|  Shh! do you want us to get scolded? Shut your beautiful, beautiful mouth, please.
Darryl| "I got too much ice cream. You want some?" "Getting my fry on."
Kelly| Boring.
Darryl| Uh, "The moon is huge tonight."
Phyllis| Ooh, gosh, the moon ones damning. Yeah, sorry.
Darryl| Thats regular text talk.
Brandon| You forgot one.
Darryl| "Youre such a great friend."
Brandon| With the dots.
Darryl| "Youre such a great friend, dot dot dot dot dot."
Kelly| Five dots, Darryl, are you kidding me? Okay, cause three dots means to be continued, four dots is a typo, but five dots means "Whoa, do not make me say what I want to say, baby, but if I did, it would blow your mind, dot, dot, dot, dot, dot.
Everyone| Oh
Brandon| See? Yes. Thank you, sister.
Val| Brandon, Darryl and me? Thats ridiculous, right?
Darryl| Yeah, totally crazy. Puts me in an insane asylum just thinking about it. Im stranded on shutter island over here.
Nellie| You look like Ed Harris if they stretched him a little bit.
