Dwight| Today is the test launch day for the inaugural Sabre store. Brr brr brr BRR  and I, Dwight Schrute, am in charge of the entire operation. If I can prove myself today and the store is a hit with the media and Nellie sees this, the vice presidency is mine.
Ryan| Are you holding this chair?
Dwight| Yes.
Ryan| â€˜cause I feel like Im gonna fall off.
Dwight| Yes. Yes.
Ryan| Im not wearing the right shoes for this.
Dwight| We went over this, ok? Your tiny fingers make the best knots.
Erin| Hey Strangers. So stoked for the Sabre store opening.
Erin| Hey, my names Tabitha. Im camped out in front of the Sabre store so I can be first in line for the new Pyramid. Psst. Its me Erin. Dwight had me pretend to be a hipster to create hype, and its working. Theres already people camped out behind me.
Nellie| Test launch day, people. Now, I would like to fill you in on a little secret about me to inspire you today. Now, I know you probably all think Im this patrician goddess. But heres the truth. I was born in the little working class town of Basildon, and until the age of 32,  I talked like this, which was bloody horrendous, innit? I came from dirt, no lower than  whats lower than dirt?
Dwight| Loam, magma, mantle, outer core, inner core.
Nellie| Yeah, thank you. Loam. Bloody loam, I came from. I hit rock bottom when I auditioned for the Spice Girls. I didnt even get a callback.
Jim| Which Spice Girl?
Nellie| The black one. I never stood a chance.
Jim| Okay.
Nellie| Now, think about my journey here today, and let it inspire your journey.
Dwight| Okay. Nellie, thank you. Thank you so much.
Todd Packer| Yep
Dwight| Today is press day and press is gonna make or break this store. And for a tech company, press can only mean one thing â€“ bloggers. Dossier on bloggers. Bloggers are gross. Bloggers are obese. Bloggers have halitosis. Youre gonna love â€˜em. Ryan is going to be the main event today. He is the pitchman who is going to give the feisty yet profound speech worthy of a worlds fair. Ryan, you ready to do this?
Ryan| When people see this presentation, theyre gonna  in their pants.
Dwight| Okay.
Jim| Come on, man.
Cathy| Seriously disgusting.
Dwight| Cathy, you will be the hot girl who talks to bloggers.
Cathy| Ugh. Kill me. That was my idea.
Dwight| Packer, you will be the sexual predator who has come to prey on the trendy teenage girls who are obsessed with the Pyramid.
Todd Packer| Uh
Nellie| Uh that is excellent.
Todd Packer| I dont see what that gets us, but Im a team player.
Dwight| Perfect casting, right?
Todd Packer| Schrutes out to get me. But Im playing the long game. As soon as he messes up, I swoop in like a sexual predator.
Nellie| I want to create a sense of wonder and enthusiasm as if, at the end of E.T., candy poured out of the screen. Do you understand? I wanna get goose pimples.
Dwight| Speaking of pimples, lets release the BLOGGERS!
Andy| Morning, everyone.
Kevin| Oh, Andy, guess what happened to me this morning?
Andy| Dont care. Tell me later.
Kevin| Listen, its important. Youve gotta hear this.
Andy| What do you got?
Kelly| Oh, my god!
Phyllis| Do you have a black eye?
Andy| Yes, I do. Phyllis.
Kevin| I woke up at 4 am by accident in time for the paper to be delivered. Guess what?
Andy| What?
Kevin| Its not a kid on a bike. Its a man in a car.
Darryl| Andy, who punched you?
Meredith| Hey, I was on the can. Whats this about a black guy in the office?
Angela| Black eye, Meredith.
Kelly| Will someone please explain whats going on here? Since the interesting thing happened til now, so much time has passed, its like my life is buffering.
Andy| Heres what happened. Pam and I were arriving for the day. And there was a gang in the parking lot on bikes, on, on motorcycles. And they were just hassling Pam
Pam| Thats true.
Andy| They had, uh weapons.
Pam| Weapons.
Andy| I just stepped in to talk some sense into them.
Pam| But these were not the kind of people who use their words.
Andy| Punches were going, and I ducked a few, landed a couple, and I was fighting them off. It was totally, like, like, senseless crime.
Pam| Thank goodness he was there.
Oscar| Good job Andy.
Kevin| Yeah 
Andy| I didnt do anything any of you wouldnt have done.
Dwight| Open the gates! Theres plenty for everyone. No need to panic. Theres plenty for everyone!
Man| Quit it.
Dwight| Theres plenty. Dont stampede. No need to stampede, sir.
Erin| I was ahead of you!
Dwight| Okay, okay. Hey, hey. Its gonna be fine. Its gonna be fine. Theres plenty of Pyramids.
Erin| Come on. I was in line before you.
Cathy| So youre a blogger right?
Blogger| Yeah. Blogger.
Cathy| God, stay away. Oh, I always get in trouble around bloggers. Im trying to be a good girl for once.
Erin| Uh yeah. I already bought my Pyramid, but I dont want to leave yet. I havent had so much fun since seeing zoo-Ey Desh-channel at the Couch-arilla music festival. So fun.
Oscar| How can we feel safe knowing that there are gangs here? We should call the police right now!
Andy| No.
Angela| Yes.
Andy| No, no, no, no, no, we dont need to call the police. Theyll just ask everybody questions, get up in everyones business, right, Pam?
Pam| Police are a hassle. We settled this on the street.
Andy| And my eye will heal. But if the police come, then we will forever stain our neighborhood as a troubled area.
Angela| Why would you care what the police think of our neighborhood?
Andy| Because I have neighborhood Pride. 1-8-5-0-5.
Pam| 1-8-5-0-5.
Darryl| Guys, guys. Thats so vague. You gotta do the zip plus four. 1-8-5-0-5 dash 7-4-2-7.
Phyllis| Look, I dont feel safe. I think we should call the police.
Angela| Yes.
Andy| Exactly. We need to feel safe, which is why Toby is giving us self defense training.
Toby| Me?
Andy| Right Toby? Will you teach us self defense?
Toby| Yeah, um... I cant believe you remembered. I do self-defense. Um, Ill go put on my cup.
Andy| Great.
Nellie| Yes!
Blogger| Okay.
Nellie| I wasnt really sure which one of you is Chuck.
Jim|  Yeah, no, it seems to be going great. Andy got beat up by a fifth grade girl?
Blogger| Look at that guy. Hes got his Sabre phone on, and hes not even using it.
Blogger 2| This is a perfect photo for my Daily Fail blog.
Jim| Uh, I - I gotta go. Okay.
Nellie| Dwight, what is a fail? That sounds bad.
Dwight| Oh, no, no, no. Its good. Its really -- on the Internet, its a really -- thats a really good, good, thing.
Dwight| Are you trying to sabotage this entire event?
Jim| Im very sorry.
Nellie| We gave you an Arrowhead for free for the day. How hard would it have been to do this, hmmm? â€œHello. Hi sweetie. Its Jim. Im calling you from the new Arrowhead, which is why my voice is crystal clear. And my hand will never get tired because of the ergonomic shape.â€
Jim| Im really sorry. Is there anything I can do, maybe pretend to be Chuck?
Dwight| You could have pretended to be Chuck. I begged you to pretend to be Chuck, but you chose to be yourself, and you can no longer be Chuck! Â Surrender the tripack. You know what you have to do.
Dwight| Point it towards the store, idiot!
Dwight|  You know what I mean? One of these buttons is -- damn it. Take over.
Dwight| Oh hey, Hey, hey, you guys, you must be lost. Listen. Excuse me, sir. Yeah, the fountain where you can feed the pigeons is out behind the bank. Tell your great-grandson to bring his kid by. Okay. So long. Here we go. Erin! Psst! Come on! The elderly suck the life out of the young. Get them out of here!
Erin| We are closed! Come on.
Toby| Self-defense is not some fun boxing match, okay? This is about escaping with your life. So... strike, scream, and run. All right? Lets try it.
Creed|   
Meredith| Ow.
Toby| That may have been my fault.
Meredith| What the hell, Toby?
Toby| Okay, look, in a real crisis situation, youre not gonna have to time to think, okay? So just remember, I-A-A-T-G. â€œIts all about the groin.â€ 
Andy| What if youre being attacked by a  smallish man who happens to not have a groin?
Toby| I dont think thats very common.
Andy| What if youre being attacked by a 411â€ man who is penisless?
Oscar| Why are you fixated on this hypothetical transgendered attacker?
