Andy|  Everyone stop what youre doing, I have terrible news. Dwight is no longer with us.
Everyone|  What?! Why is that?
Andy| Hes gone, damn it! Hes been promoted to VP of Sabre Retail and hes staying in Florida forever.
Angela| So, hes alive.
Andy| Yeah. That was him on the phone. He sounds wonderful.
Angela| Well, the way you said it made it sound like he was dead.
Andy| How could I have been more clear? He had a massive stroke  of good fortune and he is now in a better place.
Phyllis| If Dwights not coming back, does that mean we can open his treasure?
Oscar| You guys, weve gone over this, there is no treasure. 
Oscar| When the team left for Tallahassee, Dwight told everyone not to touch his treasure.  Obviously he wants us to obsess about it. Theres nothing in there.  Which is obviously what he would want us to think, making it the perfect place to hide a treasure. Oh god, Im Wallace Shawn in The Princess Bride. 
Andy| I think that Dwight wanted us to realize that this conversation among friends is the true treasure. 
Oscar| I am dying to know whats in there.
Andy| Yeah, I know, Oscar we all are but nobodys gonna open it. Youd have to be insane. 
Creed| Hi, hello.
Andy|  Now, carefully... open the box. 
Creed|  Its a photo of all of us.
Pam| Aw, thats so sweet! 
Dwight|  A dart? Are you kidding me? Who would put a poison dart, well, I mean, I dont know that its poison. I mean, I just have to imagine. God, Im glad hes OK though. Kinda sounds like he deserved it, opening another mans treasure and all. Wow!
Dwight|  Well, mister ball, its been a pleasure. Now, give my regards to hell. Da! 
Nellie| Oh, all right! Well swung my VIP VP.
Robert California| I am loving the chemistry between you two.
Nellie| I am so happy Dwight is gonna be working alongside me. We are a regular Archibald and his man George.
Robert California| I bet. Im excited.
Nellie| Trick... theres no such thing. Its not even a real English duo.
Dwight| Ah!
Nellie| I just made you look like the goat of Dover. And that doesnt exist either.
Dwight|  You think youre excited? You should feel my nipples. 
Jim| Oh, that reminds me.  Little something from all of us. 
Dwight|  Oh my gosh, thank you Jim, thats so thoughtful.  Four!  Oh yeah!
Nellie| He doesnt even care.
Dwight| Dont even care! 
Jim| This is the last time Ill ever see Dwight. Its a weird feeling, its, um, whats the word? Its not, its not bittersweet. Its uh... sweet. Yeah.
Darryl|  Hey, man. Selling cookies for Jada. Want the same as last year?
Andy| Would if I could. And I can so I will. Put me down for one box. Dont care what it is, dealers choice.
Darryl| Ill put you down for shortbreads.
Andy| Damn it. 
Toby|  Knock, knock. Hey, Sashas first year in the troops, so Im selling cookies for her. Anyway, would you like some?
Darryl| No. No.
Toby| What?
Darryl| I been selling here for five years. This is my spot.
Toby| You cant claim territories. This is the only place I interact with people. Cant you sell at your church or barber shop?  Or chess club, or?
Darryl| You know what? Its your first time, lets split the office. You can have sales, the annex, Creed, and I dont know Ill just take, uh, accounting.
Toby| Thats it? Yeah, well, ok. Thanks Darryl.
Darryl| OK, great.
Darryl|  All I need is Kevin. Dude buys more cookies than everyone combined and then some.  When I first started selling cookies he was a relatively thin man. Not a thin man, mind you. Relatively thin.
Erin|  Hellosi, Im home, babaloo.
Elderly Woman|  Oh, here let me help.
Erin|  I got it. It was so busy at the store today. Really good cheese samples. I had, like, a hundred.
Erin| Irene hired me as her live-in helper. We met at the store launch. I told her I was moving here and I needed a place and it just sort of made sense. I basically do everything for her.  I run errands. I do chores around the house. I cook and clean. Honestly, I dont know how she survived without me.
Irene| When can I introduce you to my grandson? Hes a wonderful swimmer. Shallow end, deep end. He does it all.
Erin| Well, today might be kind of tough, Irene. I have to talk to my old boss, Andy, and tell him Im staying in Florida. 
Irene|  Thank you.  Oh, what kind of tea is this?
Erin| Oh, I boiled some Gatorade.
