Pam| Hey Jim. Stanleys back from the hospital today. Can you sign his card?
Jim| Oh, great.  "Glad they didnt mix up your tonsillectomy with a moustachectomy." Oh thats not good.
Phyllis| Oh, because your jokes are all hilarious.
Pam| Its nice. Its funny. It mentions his tonsillectomy and makes a funny little joke about his moustache.
Jim| Stanley doesnt have a moustache.
Pam| Yeah he does.
Oscar| Pam, hit the brakes. Stanley does not have a moustache. I misspoke. Im not sure. I think he has one, now that- I think he has a moustache.
Pam| Okay, Phyllis sits across from him every day. Phyllis, does he have a moustache or not?
Phyllis| Oh, I dont know. Now I think he doesnt.
Pam| Phyllis! What are you talking- The whole card depends on this!
Jim| Okay, the mans worked here for 25 years. How can none of us picture his face?
Angela| Cause we come here to do our jobs. We dont stick our noses in other peoples business.
Pam| Okay, which one of these looks more right? 
Dwight| Neither of those looks like any person that has ever existed or been dreamt of in the history of human insanity. That said, the one on the left.
Gabe|  Guys, thats the elevator. What if its him?
Jim| Okay, quick. Who says moustache? 
Dwight| Yep.
Jim| Who says no moustache? 
Gabe|  Ah! Ha ha ha!
Phyllis| He does have a moustache.
Dwight|  Yes!
Pam| Welcome back, Stanley. 
Robert| "Good morning, Robert," says no one because our receptionist is in Florida.  Pam!
Pam| Oh! 
Robert| Is this a video conference youre having with "Drake, featuring Swizz Beatz"?
Pam| Um, no, I was just, um, just having a cup of coffee, kind of warming up for the day.
Robert| People, you should come to work already warm. Nine to ten a.m. is the most productive potential that a human being-
Nellie| Sorry, sorry, everyone, Im late! But you all are here, so no harm done at all by my lateness.
Robert|  Nellie, really, nine fifty?
Nellie| Oh, heres what happened. Seven forty-six, my alarm clock goes off. I hear it. Whack the snooze.
Robert| Ah.
Nellie| Nine minutes. Bzz! Off it goes again. Whack! Seven more times I did that. Bzz, whack. Bzz, whack! By the time I got up, it was ten minutes ago. No willpower. That is my curse!
Robert|  Ive never believed willpower was very important in a woman.
Nellie| Ah ha!
Robert| I dont think you would have shown up to work nearly an hour late for no reason.
Nellie| Oh, I assure you, I would have done. I did, and I will keep doing it.
Robert| No, no, no, no. Theres something going on. Some stress in your life.
Nellie| Well, yes, uh... there is the whole moving to Scranton nonsense. Thirty boxes arrived yesterday from England and two trunks from Florida. Then I have to move in to my apartment in this dreadful, God knows where it is backwater suburb of a suburb, and I mean, no offense but are there a lot of Irish people living around here?
Kevin &amp; Meredith|  Yes.
Nellie| Ugh! I hate that! No offense.
Kevin| None taken.
Oscar| Actually, Nellie, this monologue youre delivering is very offensive.
Nellie| oh! Ay, carumba! The natives are getting restless!
Stanley| Whos a native?
Nellie| Uh, excuse me, the tone here is getting quite hostile. I would appreciate it if you would keep that stuff on the basketball court. 
Oscar| What does that mean?
Dwight| Okay, okay.
Nellie| If youd let me finish- Or the squash court, or the Supreme Court. Hmm?
Robert| Nellie?
Nellie| Yes, Robert!
Robert| Youre clearly under a lot of... stress with the moving and the work situation youve found yourself in.
Nellie| Yeah.
Robert| Lets help her out, shall we? Go above and beyond today to show her some of that warm Scranton hospitality. Jim. Dwight. Take the day. Help Nellie move those boxes into her new place.
Dwight| Why Jim?
Robert| The rest of you, lets throw a party at the end of the day to welcome the newest member of our little community.
Pam| Im sorry, were throwing a party for someone because theyre being horrible?
Jim| Im sorry, were taking work time to move someones personal belongings into their new apartment.
Pam| Im still not sure why this woman is even here.
Jim| Why is she here?
Andy|  Two crazy kids on the journey of life.
