Phyllis| Whoo! Wow, it is raining cats and dogs out there. Holy moley.
Jim| Phyllis says the same twelve clich̩s every time it rains. So, I promised everyone that if she says them all by noon today, I will send out for hot chocolates.
Darryl| So how was the drive in?
Phyllis| Oh, nobody knows how to drive in the rain.
Darryl| You dont say?
Phyllis| Yeah. You know the roads are actually the slickest in the first half hour?
Phyllis| Oh, the plants are gonna love this.
Oscar| Yeah.
Phyllis| I actually sleep better when its raining.
Meredith| Tell me about it.
Oscar| Times almost up. How many are left?
Pam| Just one. "This weather makes me want to stay at home, curled up with a good book."
Darryl| Phyllis. This rain... does it make you wanna be doing something?
Phyllis| What do you mean?
Pam| You know, like arent some things just so nice and cozy in the rain?
Jim|  Hey, come on.
Phyllis| Lots of things are cozy in the rain.
Jim| And thats noon. Exactly. 
Phyllis| I mean, normally the rain would make me want to stay home, curled up with a good book. But everybodys being so nice to me today.  Im really happy being here.
Andy|  My girlfriends back and theres gonna be trouble-
Andy &amp; Erin| Hey la, hey la...
Andy| ...my girlfriends back!
Erin|  ...his girlfriends back! 
Andy| Anyway, I know its the end of the day. We just wanted to stop by and say hi.
Kevin| Welcome home.
Erin| Thank you.
Andy| Hey, Kev.
Kevin| Yeah.
Andy| Nice sweater.
Kevin|  Thank you. Nellie was nice enough to give it to me. Shes sweet. I just wish there was pockets.
Andy| What happened to old salty?
Dwight| Nellie let me bobble-ize him. His name is now Captain Mutato.
Dwight| Ive written quite a bit of X-Men fan fiction. Captain Mutato is half man, half mermaid. So he can fight crime as a man and make love as a mermaid. Most of my writing involves the latter.
Andy| Okey dokey. 
Nellie| Yes?
Andy| Whoa. Well, you must be the famous Nellie Bertram Ive been hearing all about. I am the famous Andy Bernard youve been hearing all about.
Nellie| Oh yes.
Andy| I just want to thank you for jumping in and minding the store during my temporary absence.
Nellie| You are most welcome.
Andy| Anyway, now that Im back, I would love to have my office back, whenever you get a chance.
Nellie| No.
Andy| Obviously, well figure out the, uh, logistics of moving all this stuff out of here. But, you know, the sooner the better.
Nellie| Mm-hmm.
Andy| Get back to normalcy.
Nellie| Hmm, no.
Ravi| ...and then just lay him in his crib, and then bicycle his legs. And then after Jim quiets down, you do the same thing with your baby.  But if he keeps having problems, just give me a call.
Pam| Oh my gosh, thank you so much. But seriously, we dont want to bother you any more than we already have.
Jim| Thats it.
Kelly| Its no bother, you guys are our friends.
Pam| Ravi, our amazing pediatrician, was asking us if we knew any girls and I said I know the perfect girl.
Jim| Yep. Because Kelly is Indian and... oh, thats it.
Pam| Race had nothing to do with it. I just knew theyd be good together.
Pam|  Kelly has been a handful in the past.
Kelly|  Why?
Pam|  But shes had a bad influence. Shes like an addict.  And I just had to get her clean.
Kevin|  Get lower.
Ryan| Um, also, little tip, never shake the baby.
Jim| Sorry, just to be clear, youre saying do NOT shake the baby.
Ryan| Dont shake the baby. Um, a lot of times, parents get frustrated cause the babys crying and they shake the baby. And you got to, um, you cant do that.
Pam| Dont shake our baby?
Ryan| Yeah.
Pam| Okay. Id never heard that before. So, thank you.
Ryan| Oh, my God.
Pam| Yeah, Im glad you said something.
Ryan| Me too.
Ryan| Kelly and I broke up and she can do whatever she wants. And her new boyfriend seems awesome, if youre into Indian people. Im not.
Ryan| Hey, um, whats the deal with this guy? Hes really into Kelly, huh?
Pam| Yeah, theyre really great together.
Ryan| Maybe we werent right together, but... its weird. Id rather she be alone than with somebody. Is that love?
