Ryan|  No, no, no, no, no, no, no! No, no, no, no, no, no.
Pam| Okay fine. Ryan, something the matter?
Ryan| Smokeys dead.
Pam| Smokey, the bear?
Ryan| Smokey Robinson Pam. He died like an hour ago, I guess Im the first to know.
Jim| Wow Thats terrible, I really liked him.
Ryan| Oh you liked him? Thats nice. Did you like when he changed the course of American music like two or three times? Did you like that tracks of my tears is maybe the last true love song ever written? Im glad you liked him Jim. I am completely devastated right now.
Jim| Well, I second that emotion.
Ryan| Huh?
Nellie| I know a few of his songs, but what were his big ones?
Ryan| Oh God, Nellie! What wasnt his? I mean, um, "Tracks of my Tears"? 
Nellie| Yeah
Ryan| Um... God, so many, Nellie!
Pam| No, no, no, "Tracks of My Tears" and what else? What are some more? Whats one more?
Ryan| Okay, Im not... Im not playing this game, Pam. Not today.
Pam| I dont think you love Smokey Robinson. I think youre just doing all of this to prove how deep you are about music
Ryan| Okay, Im sorry Im not a fan of Jason Mraz or the Beatles.
Dwight| You dont like the Beatles?
Ryan| Thats... Thats not the point!
Dwight| Eleanor Rigby? Paperback writer?
Ryan| Okay, you know, you always think you have time to see these legends before they go. What was I so busy doing?
Oscar| It says here this Smokey Robinson dead thing was a hoax. Its on CNN as of two minutes ago.
Ryan| Okay well, thats a relief!
Jim| Wow! Look at that! It says hes actually playing State College. Thats only three hours away!
Pam| Oh my God, Ryan! Thats perfect! You have to go!
Jim| Tickets are 250 bucks.
Pam| 250 dollars is nothing to the worlds biggest Smokey Robinson fan.
Ryan| Yeah... Whos opening?
Jim| Paul Anka.
Ryan| Paul Anka?! How can they make the Smoke Man play with someone like that? I dont think I can see this.
Jim| Okay, you could just show up late though.
Ryan| How much is parking, like 30 bucks? Thats not what Smokey would have wanted. Does want.
Pam| Tears of a clown!
Ryan| Dont call me a clown, Pam. Youre better than that!
Darryl| Looking good, RC!
Robert| Ugh, I hate ties! I feel like Im being strangled like Im at some erotic asphyxiation sex club over on I-84. The red room say? Or Dominicks?
Angela| Robert! The senator was going to wear dark brown tonight... Im sure it will be fine.
Angela| My husband is sponsoring a fundraiser tonight for local dog shelters! Robert California bought two tables for everyone here! These people were lucky to get seats because it is going to be a whos who of the northern 22nd district!
Dwight| I dont want to alarm people, but there is a distinct chance that we are all about to be killed
Jim| Well, as long as you dont want to alarm people...
Oscar| Whats going on?
Dwight| There is a disgruntled ex-employee sitting in his car in the parking lot.
Erin| Oh thats Andy. Hes just hanging out
Dwight| Thats how workplace tragedies always begin. A middle aged white male "hanging out". Call the cops!
Pam| Dwight, I dont think hes going to hurt anybody.
Phyllis| How do you? I mean, why do you think hes there?
Dwight| I dont even know what kind of weapon he has. Could be a knife, could be a gun. Could be a series of guns all lined up to shoot parallel. Im going up to the roof.  And Im gonna bring my gym bag just in case.
Nellie| I knew this would happen! Everybody told me if I moved to America, Id be murdered.
Andy| Hey!
Erin| Hey, just wanted to say hi and hear you say everything is normal. Maybe video tape you saying that so that everyone upstairs can see.
Angela| We think you might kill Robert.
Andy| What?
Kevin| because he fired you which means apparently youre living in your car now.
Andy| guys, everything is fine! Im just here to pick up Erin. Were going to the Fundraiser.
Pam| Oh, great! That sounds good!
Kevin| Wait, what? Youre going to the fundraiser tonight? Thats going to be weird.
