Gabe| Ugh, man. My delts are blasted. I wish they had a chart for how much protein powder to scoop for a 180 pound man with no fat.
Dwight| Protein powder, huh? You cut it with water? Why dont you just take estrogen?   There you go boys. See how papa takes care of you?  Mwah.
Gabe| I remember when people thought biceps were all that. Theyd flex them all night at the discotheque.
Dwight| Oh, I bet you think its all about core, huh?
Gabe| Yeah.
Dwight| Oh, please.
Gabe| Cores critical. There are four tenets of pilates that I live my life by. One â€“ lengthen. Two â€“ elongate.
Jim| Listen, guys, I think we all want to know the same thing, right? Whos the strongest? Well, theres only one way to solve that â€“ flat curl contest.
Jim| All right, here we go everybody. May the manliest man win. Go.
Dwight| Feast on this, Lewis.
Gabe| I love the burn. The burn is where I live.
Jim| Come on, Gabe, you cant handle his hamstrings. Youre getting hypno-thigh-zed.
Gabe| Speed set. One. Two.
Jim| Here, this is for your elbows, for your elbows.
Dwight| Oh, thank you.
Jim| Youre welcome.
Gabe| Five. Six.
Jim| Quick phone call from you guys, keep going,
All| Eight, nine, ten.
Gabe| We got it?
Dwight| Very funny Jim.
Gabe| Yeah, Jim. Way to mock us for perfecting our bodies.
Robert| Everyone, conference room, now.  
Jim| All right, easy there, grandpa.
Dwight| I dont need your help.
Jim| Okay. You dont need my help?
Dwight| Here, here Just
Andy| Morning.
Erin| Hey.
Andy| Somebody left in such a hurry this morning that she forgot these.
Erin| Oh.
Andy| You know the only thing more delicious than your feet is the feast that I am going to prepare for everyone.
Erin| Andy, if youre gonna hang out for a while, uh
Andy| Whats this?
Erin| This dumb rule Robert made, he just wants visitors to sign in.
Andy| Is this Roberts attempt to embarrass me?
Erin| No, of course not. Its just â€“ I think its like if we make an exception for you, then we have to make an exception for the water guy, and then, its like, where does it end? So just 
Andy| Why is it when other people spend all their time at the office, theyre rewarded for it, and when I do it, I am told its a little much? Is it because I am not an employee anymore, because thats what it feels like.
Jim| All right, well, enjoy the alumni game.
Dwight| Good, we have a deal?
Jim| Thanks Janet.
Dwight| Thanks so much Earl.
Jim| Wow, simultaneous sale.
Dwight| And they said it couldnt be done. Boom!
Jim| Screw â€˜em.
Andy| Lot going on guys. Whats happening?
Jim| Binghamton branch closed last night and their clients are up for grabs.
Andy| That was a fine branch. Things are really bad under Robert California, I guess. Its like a festival of poo.
Jim| Hey, hey, come on, language.
Dwight| Yeah, and were not interested in your sour grapes, okay? Jim, tell him where he can stick his grapes.
Jim| In the fridge.
Dwight| No, Jim, the butt, in his butt.
Jim| Sorry, man, I cant focus on zingers. Theres too many potential clients.
Stanley| You two better watch yourselves.
Phyllis| Yeah, the Syracuse branch cant be happy youre taking New York clients.
Robert| Shh shh 
Jim| Robert?
Oscar| Why did Binghamton close?
Robert| Can everyone just, please I had a one-man saturnalia last night, in celebration of the finalization of my divorce. I got into a case of Australian reds, and â€“ how should I say this â€“ Columbian whites. What â€“ what is this about, uh, Binghamton?
Kevin| The branch closed. Forever.
Robert| Closing the Binghamton branch never occurred to me before today. Or, I guess, last night. But, in vino veritas as they say, Im not gonna start doubting my drunken self now.
Nellie| I got your voicemail. From â€“ from last night.
Robert| Wonderful.
Nellie| And the answer is yes, yes, yes, yes, and never. 
Robert| Pam, whens the last time you lived so intensely that your brain literally couldnt hold the memories in?
Pam| Oh, it was this summer â€“
Robert| Apparently, I left a phone message for Nellie last night, and I need you to find out what I said.
Pam| Um, I am a little busy.
Robert| Yes, â€˜course. Why dont you list the things that would keep you from helping me.
Pam| Yeah, I can make you a list.
Robert| Lets do it now. Whats number one?
Pam| Why dont I help you now?
Robert| There we go.
Pam| Okay.
Jim| The salesmen have a commission cap, but we figured out a way around it.
Dwight| Lloyd Gross is a fictional salesman we invented to â€“ how do I put this â€“ steal from the company. Embezzle. To commit fraud.
Jim| Okay, it sounds sketchy, but it helps us get more money.
Dwight| Yes.
Jim| Pam made a drawing of Lloyd. He is a blend of all the salesman. 
Dwight|  There he is. Thats Lloyd.
Toby| Me?
Creed| Yeah, you.
Harry| Where do you get off crossing state lines?
Toby| Now, were actually a lot closer to Binghamton than you are. Kimosabe.
Toby| I like to think Lloyd Gross is a no-nonsense guy who doesnt back down from anybody. And he calls people â€œKimosabeâ€. 
Harry| Theyre New York. Were New York. Sate line is the dividing line. Thats the way its always been.
Jim| Theres actually not a rule that says that.
Dwight| Thats true.
Toby| Thats true. Theres no rule. You can check the employee handbook. Oh, can I check the employee handbook Lloyd? Well, does it say anything about me choking a man with my bare hands?
Toby| No.
Dwight| Wait, no? Are you kidding me? You told me there was a rule. I couldve choked so many people by now.
Harry| Stay out of my state. Its in your best interest to stay out of my state.
Toby| Ive seen guys like you. Big guys who like to push the little guys around. Lloyd Gross eats bullies like you for breakfast.
Harry| Just stay out of New York, Lloyd.
Toby| Hey, text from the old wife. Gonna take that. 
Jim| How about this? How about we just ask Robert? Can we all agree that maybe the C.E.O should decide this?
Harry| Roberts here. Look at us. Bickering like schoolgirls, looking around the room for things to hit each other with. I dont think we were doing that.
