Oscar|  Hello. My names Oscar. Im an accountant in Scranton, Pennsylvania and Im gay. And Im here to tell you that yes- it does get better. When I was younger, um-
Phyllis| Whats he doing?
Dwight| Hes searching out younger gays.
Phyllis| Oh.
Oscar| No, its just a way to tell young people, no matter how hard it gets for them, theres a brighter future ahead.
Dwight| ...with you. 
Oscar| No matter how hard it gets for you, eh- Kelly, seriously, I-
Kelly| Just keep chatting. Im just checking my makeup in your webcam.
Oscar| Do you not own a mirror?
Kelly| Webcams make me look the way I do in my fantasies.
Pam| I know, right? What is it? You always look so good in those things.
Kelly| Im throwing out all my mirrors.
Oscar| Okay, as you can see, I now have a cool job at a dynamic workplace. Being gay is a celebration of life, its a simple-
Robert| No, Im sorry, I just cant sit idly by and have the gay youth of America misled by some reductionist-
Oscar| Its not misleading.
Robert| -pep talk. Sexuality is a spectrum. Its a paradox to think of any sexual activity as "normal." It gets better but it also gets vastly more complicated.
Kevin| Hey, Robert, that guy, he looks just like you.  Ooh! 
Robert| Ow! Damn it, Kevin! God!
Dwight| You okay, Robert?
Robert| Fine.
Dwight| Put some ice on it.
Oscar| In any case, it gets better.  Maybe- maybe not much better... but better.
Sasha| One, two, three!
Dwight| I wanted to give a nice gift to the tenants in the building. At first I thought, "muffin basket." Then I thought, "Whats even more precious to people than muffins?"
Jake| Can you just smile, please?
Meredith| I dont want to!
Dwight| ...their own children.
Dwight| Hey everybody, just a few hours left for the free family portrait studio. Darryl. Wed love to see little Jada come by. Angela? Why dont you bring by your little angel?
Angela| No thank you.
Dwight| Jim, youve got those two cute kids. We sure would love to see them.
Jim| I know why youre doing this, Dwight.
Jim| Last week, I may have gone too far. Ill explain it quickly. Basically, I found out where he gets his clothes dry-cleaned. Custom ordered the same suit, made with tear-away Velcro. And... you can fill in the rest.
Dwight|  Wha-?  Damn it, Jim!
Jim| Now hes trying to get me to bring my children in to work. I think its fair to be cautious.
Darryl| Let me get this straight. You lost all of it. All your winnings. A hundred and fifty thousand dollars.
Hide| Bad economy. Bad investment.
Darryl| You mean to tell me no one wanted an energy drink for Asian homosexuals?
Calvin| They did not.
Darryl| And you got half a million of these? Well I gotta try it.
Calvin| I wouldnt.
Darryl| Aw, come on. Whats the harm?  Mmm. What flavor was that?
Hide| Coconut penis.
Darryl| The coconuts pretty subtle.
Calvin| Come on, man. Cant you just give us a yes or a no?
Darryl| I dont know, man. Yall quit with a lot of confidence. I mean, it was like, yall came up in here dancing and everybody was-  ooh, hold on a second.  Oh.
Darryl| If I were Val, I would break up with Brandon. Then I would date the hell out of me. I wouldnt give in to me too fast, let me buy myself some nice dinners and such. But when I finally did give in, I would go crazy on myself.
Andy|  Hi guys.
Jim| Hows it going, man?
Andy|  Im- Im good, thank you. And how are you?
Jim| Great, yeah, good.
Gabe| Oh, how the mediocre have fallen.
Nellie| Oh God.
Andy| Look, Im not here to get my old job back. I had my opportunity, I blew it, Im moving on. I just wanted to come in here and literally beg you for something, anything. I will sweep the floors, water the plants...
Nellie| No, you dont understand-
Andy| Clean the toilets.
Nellie| I dont need anyone to-
Andy| Pull the poop out of the toilets.
Nellie| Thats not even a thing.
Andy| Just, please...
Nellie| Andy.
Andy| Please!
Nellie| Andy.
Andy| Give me something!
Nellie| Why dont you clean the carpets for today?
Andy| Thank you.
Nellie| Youre welcome. Up you get then. Pick yourself up. There it is.
Andy| Thank you.
Nellie| You dont need to-
Andy| I have a delicious secret.
Creed| Good, good. This carpets overdue for a good mopping.
Jim| Is a mop the most efficient tool to use on a carpet?
Andy| Yeah, it is actually.
Andy| Mmm, I cant hold it in any longer. Um, I am faking this, okay? Because I convinced David Wallace to buy Dunder Mifflin back from Sabre. And at three oclock today hes gonna walk in here and reinstate me as manager.
Pam|  Family picture!
Jim| Pam? No!
Pam| What? Honey, we talked about this.
Jim| No, we talked about not bringing them in to Dwights photo studio slash trap.
Pam| Yes, and then we decided that was crazy.
Jim| No, we decided it was crazy not to worry about it.
Pam| No, we settled in a much more rational place, remember?
Jim| Nope.
Pam| We decided that theres no way Dwight would harm a child.
Jim| But are you a hundred percent sure? I dont think any of us are.
Pam| No, no.
Jim| Nope.
Pam| But its free. And well keep our eye on them.
Jim| Thats-
Pam| Yes!
Jim| Thats-
Pam| And well make sure Dwight doesnt do anything C-R-A-Z-Y.
Jim| Okay.
Kevin| Wait, C-R-A-Z...
Dwight| Great, right up there.
