Kevin| To me, the Sixers are a five seed tops.
Jim| I think theyre going to the conference finals.
Kevin| No.
Jim| Bynum, obvious monster and the three point shooting, dont even-... 
Jim| I bit my lip at lunch today.
Darryl| Sucks. Anyway, I just dont see it. The Knicks are tough.The Nets are tough.
Kevin| Oh, the Nets are super tough.  
Jim| Now I have this big bump in my lip that hurts. I hate it.
Kevin| The Hawks are terrible. Theyre always terrible.
Jim| Okay, you need to think about it before you come with the... 
Jim| Whatever. Its not a big deal. You know I always tell my three year old, if this is the worst thing thats gonna happen... You gotta be kidding me! Ok! Pam! Thats it, Im going home!
Erin| Good morning, Meredith.
Pam| What?
Erin| Oh, sorry, Pam. Yikes.
Pam| Jims been spending a few days a week in Philly and Im not gonna lie, its been challenging. Yesterday, things took a turn for the worse. I found out Cece has lice. So I was up all night disinfecting every sheet, towel, toy, item of clothing in the entire house. Im exhausted. But dont tell Jim. He has a huge meeting today, under a lot of pressure and hes doing it all for the family.
Jim| I am meeting Dr. J today, otherwise known as Julius Irving, famed 76er and my own personal hero. But i have to be careful not to rub it in Pams face because lets be honest, how would I feel if I was at home stuck with the kids while she was go carting with John Stamos.
Jim|  You sound tired. Everything ok?
Pam| Great. Everythings great. Hey are you nervous about your big meeting?
Jim| Uhh, a little bit. Its a lot of pressure, you know, but thats what I signed up for right?
Worker| Jim, limos here.
Jim| Uh, you know what, I gotta hop off because my, uh, taxi is here to take me to the meeting.
Pam| Oh, call me later!
Jim| Ok
Pam| Good luck!
Jim| Thanks!
Pam| Love you.
Jim| Love you too. Bye.
Val| How you doing?
Darryl| Alright. I mean, its what you want, so...
Val| Its how it has to be.
Darryl| I know, I know. Its just hard.
Darryl| Me and Val were going nowhere and if Im gonna be working in Philly, Im gonna need my freedom. So, I convinced Val to breakup with me. Heres how you do it. You say, "What are you gonna do, breakup with me?" Like its a joke, and then you gain a lot of weight.
Darryl| Ill never be sorry, not for a moment of it.
Val| Me neither. Come here. 
Pam| Hey Meredith, I need your supplier requests today.
Meredith| Jeez H. in the morning. Will you stop your nagging already? No wonder Jim left you.
Pam| He didnt leave me. He just went part time.  Can you just fill out the form please?
Meredith| Yes.
Pam| Im sure shes just confused. People scratch their heads when theyre confused. Not always like an ape, the way Meredith just did, but it happens.
Meredith| Hurry up already.
Erin|   Trust me, I know what Im doing. Between the foster homes and the orphanage, I had lice 22 times.
Erin| Holy wow, thats a big one. Alright, pencils down everyone, we got lice!
Angela| Oh God, Meredith, lice? Did you not sign a pledge to shower?
Dwight| What? Lice? Oh my god. Lock the doors, we are on full quarantine.
Pam| Dwight, relax. Its just lice. Maybe, possibly.
Dwight| Just lice Pam?
Dwight| Of all of the vermin in Gods great green kingdom, lice are the ones I detest the most. My first day of school, I had lice, and no one would play with me. For 15 years, they called me freak and four eyes and sci-fi nerd and girl puncher. All because I had lice when I was 7.
Dwight| Make way, nope, inspect me.
Erin| Oh, this is the cleanest scalp Ive ever seen. You are all clear.
Dwight|  Should be. I use lice shampoo every morning. 
Pam| Stop that!
Angela| Dwight!
Erin| Next!
Angela|  Geez Meredith, you know, this is an office not one of your bean bag orgies.
Pam| Alright, lets give her a break. We dont know for sure this is Merediths fault.
Oscar| Pam, really? Come on.
