|New Instant Message
 Stone & Son Suit Warehouse contract expired with their paper provider! Go get it! â€“David Wallace|Dwight
 Stone and Son Suit Warehouse recently lost their paper provider. Theyre a family owned business . Jim and I used to clean up at those. Wed go in pretending to be family â€“ brothers. We did it at a family owned law firm, at a family owned construction company, and a family owned motorcycle store.  Jim and Dwight Shrupert. I was the dynamic, likeable winner that was doted upon by Mom. And Jim was the closeted foot fetishist pretending to belong. The client never knew any of that, but I knew.|Dwight
  I hope youve been paying your wig storage bills Jimbo, because its time for another episode of â€œHandsome and Stinky, paper brothers for hireâ€.|Jim
 Sorry, Stinky, cant do it. Too busy.|Dwight
 Oh, god, this again? Youre Stinky.|Jim
 Okay. Theres no possible way I can get there, so just ask Phyllis. She can be your older sister or something.|Dwight
 Phyllis, my sister? More like my dead great great grandmother who died of stupidity.|Phyllis
 I have ears, Dwight.|Dwight
 Oh, do you really have ears, Phyllis? Like all human beings? We all have ears.  See what you leave me with here, Jim?|Jim
 Hey, Im in Philadelphia right now.|Dwight
 How is that my problem? Get in your car and drive down here. You can make it in 30 minutes if you drive 240 miles per hour.|Jim
 Huh. How long would it take me if I drove 300 miles an hour?|Dwight
 Mmm. Thats a good question. 300 times  180 Um that comes to 25 minutes.  Yes. Oh, well, thank you Jim. Yes, I am better than you. Thanks for acknowledging that. Okay, bye bye. Love you.|Nellie
 Darryl, looking good!|Darryl
 Heading to Philly. Interview with Jims company.|Pam
 Hey, good luck. When you get to Philly, will you tell Jim I miss him?|Darryl
 Why dont you come along and tell him yourself?|Pam
 Ha ha. Thatd be great. Kind of like ditching school, except instead of getting suspended, you get What do you get? Oh my god! Why didnt I think of this? Andys not here. Oh, hey, Erin, um, Im expecting a shipment of pens. Can you cover that?|Erin
 Mhm. Cover that. What does that mean, exactly? What are we talking here? Details.|Pam
 A delivery guy will deliver a box of pens, and you just make sure everythings in order.|Erin
 What? Everything? What, how do I make sure its in order? I  havent been trained for this.|Pam
  Okay, see you later.|Clark
 Hey guys.|Phyllis
 Clark!|Meredith
 Hey!|Oscar
 Hey, look whos back, Dwight Junior.|Kevin
 Hey, so how was it? I mean the sex with Jan.|Clark
 A gentleman doesnt discuss such matters. Especially when the feelings of a lady are involved.|Clark
 Women reach their sexual peak at whatever age Jan was last week. I mean it was like making love with a wild animal. But not like a cougar like you might think. It was uh like a swarm of bees. Bees that just find something wrong with every hotel room.|Meredith
 Nothing wrong with being a gentleman. Like my mom used to say, â€œTalk classy, act nastyâ€.|Clark
 Whats with the wig Meredith?|Meredith
 What, is it on backwards? |Clark
 Nope, you got it. You fixed it. Uh, I have a gift from Jan. Its an espresso maker! We came to be quite fond of espresso on the Amalfi Coast so bon appetite.|Phyllis
 Ooo! 16 types of espresso! Now thats Italian.|Oscar
 My friend has one of these. Fool-proof espresso every time.|Meredith
 Always with the friends Oscar. Cant we just enjoy the new espresso machine?|Oscar
 Actually, its pronounced â€œespressoâ€ Wait. Thats what you said. I apologize, I just assumed you would mispronounce it. So|Dwight
 There he is!  We are all so proud of you for the small part that you played in landing the white pages. Prouder of me, but|Clark
 If you really want to show appreciation, just give me half the commission.|Dwight
